mode,mu,sr_weight,plain_weight,residual_power
1,13786.311,1,1,0.31020893
2,6168.1354,1,0.44741016,0.029797421
3,5905.3135,1,0.42834618,0.017494858
4,1468.1798,1,0.10649548,0.040903265
5,1368.0186,1,0.099230221,0.0023908561
6,550.62451,1,0.039939947,0.067008439
7,426.89089,1,0.03096484,0.14234005
8,216.72827,1,0.015720542,0.044557689
9,196.19514,1,0.014231156,0.0020600524
10,142.02299,1,0.01030174,0.047483373
11,127.08405,1,0.0092181337,0.25077586
12,117.72708,1,0.0085394191,0.017694187
13,63.435266,1,0.0046013229,0.74361218
14,55.571736,1,0.0040309361,0.18475891
15,49.955734,1,0.0036235752,0.010095149
16,42.110414,1,0.0030545093,1.2704654
17,32.959842,1,0.002390766,0.015864551
18,30.498874,1,0.0022122578,0.90043339
19,28.100741,1,0.0020383075,0.07464629
20,26.377642,1,0.0019133214,0.48679361
21,24.086907,1,0.0017471612,0.10784293
22,23.452813,1,0.0017011667,0.13515948
23,21.741593,1,0.0015770422,0.26215875
24,21.440928,1,0.0015552332,0.011813518
25,19.481616,1,0.0014131131,0.028981511
26,18.306074,1,0.0013278443,0.017890764
27,16.180014,1,0.001173629,0.0033629767
28,13.898919,1,0.0010081682,0.63009101
29,9.4456762,1,0.00068514895,0.081225506
30,6.8699421,1,0.00049831622,0.20954463
31,6.4191296,1,0.0004656162,0.64943064
32,5.665136,1,0.00041092473,0.2692142
33,4.6846678,1,0.00033980576,0.1239188
34,4.3877322,1,0.00031826733,0.28004003
35,4.2760107,1,0.00031016353,0.49169688
36,3.8569857,1,0.00027976925,1.3454985
37,3.6003834,1,0.00026115642,0.49905337
38,3.5009296,1,0.00025394246,0.1958416
39,3.2533195,1,0.00023598188,0.049705611
40,2.9208043,1,0.00021186265,0.12692304
41,2.8816117,1,0.00020901978,0.061284051
42,2.5768373,1,0.00018691276,0.19119111
43,2.3969002,1,0.00017386089,0.039220904
44,2.3545636,1,0.00017078997,0.16571481
45,1.9879749,1,0.00014419919,0.10360995
46,1.8279255,1,0.0001325899,0.01260108
47,1.7271228,1,0.0001252781,0.010936576
48,1.51421,1,0.00010983432,0.88651098
49,1.422605,1,0.00010318968,0.058991278
50,1.3000402,1,9.4299358e-05,0.34530727
51,1.2273062,1,8.9023544e-05,0.0063368455
52,1.1796268,1,8.5565085e-05,0.099431859
53,1.1158507,1,8.0939039e-05,0.52973025
54,1.084413,1,7.8658684e-05,0.074741453
55,0.93702011,1,6.7967431e-05,0.0089648213
56,0.90429979,1,6.5594039e-05,0.39830105
57,0.87911526,1,6.3767261e-05,0.015949435
58,0.87071384,1,6.3157858e-05,0.088929668
59,0.82260111,1,5.9667966e-05,0.0090809893
60,0.74650285,1,5.4148124e-05,0.099981843
61,0.70993809,1,5.1495873e-05,0.0059832769
62,0.69026841,1,5.0069118e-05,0.05148122
63,0.61485274,1,4.4598788e-05,0.10275965
64,0.59327876,1,4.3033904e-05,0.61604906
65,0.54750352,1,3.9713564e-05,0.05607853
66,0.54555179,1,3.9571993e-05,0.22758152
67,0.52267647,1,3.7912715e-05,0.17332464
68,0.51200763,1,3.7138844e-05,0.1693512
69,0.50257503,1,3.6454643e-05,0.084552397
70,0.47067738,1,3.4140924e-05,1.3439794
71,0.42748533,1,3.1007958e-05,0.001209287
72,0.3957951,1,2.8709284e-05,0.095653987
73,0.37317998,1,2.7068879e-05,0.2756262
74,0.35841931,1,2.5998204e-05,0.00043181621
75,0.32850909,1,2.3828644e-05,0.32761675
76,0.30634098,1,2.2220665e-05,0.0073446715
77,0.29788258,1,2.1607129e-05,0.050937151
78,0.27390363,1,1.9867798e-05,0.012040833
79,0.24565414,1,1.7818701e-05,0.0011755522
80,0.24091766,1,1.7475137e-05,0.10692013
81,0.23374789,1,1.6955072e-05,0.032289921
82,0.22564811,1,1.6367549e-05,1.0621875
83,0.21760138,1,1.5783873e-05,0.0026726694
84,0.20974966,1,1.5214343e-05,0.88287013
85,0.20580323,1,1.4928086e-05,0.17747645
86,0.19235126,1,1.3952338e-05,0.02073243
87,0.19106697,1,1.3859181e-05,0.042336133
88,0.17715273,1,1.2849902e-05,0.017125794
89,0.16552483,1,1.2006464e-05,0.050026757
90,0.15800287,1,1.1460852e-05,0.0018900639
91,0.15334939,1,1.1123309e-05,0.10612377
92,0.14853544,1,1.0774125e-05,0.0057165477
93,0.13785501,1,9.999413e-06,0.039995878
94,0.12960168,1,9.4007515e-06,0.0060914337
95,0.12517703,1,9.0798065e-06,0.11218653
96,0.1194362,1,8.6633909e-06,0.051324915
97,0.11803882,1,8.5620314e-06,0.013485121
98,0.10732361,1,7.7847959e-06,0.097684163
99,0.1045286,1,7.5820577e-06,0.002020443
100,0.10181633,1,7.3853213e-06,0.034119516
101,0.098938322,1,7.1765627e-06,0.52698797
102,0.096663967,1,7.0115907e-06,0.13724571
103,0.091595963,1,6.6439794e-06,1.1319127
104,0.088417218,1,6.4134068e-06,0.31735013
105,0.084479178,1,6.1277583e-06,0.047969951
106,0.079092605,1,5.7370393e-06,0.19967659
107,0.073978771,1,5.3661036e-06,0.0029876122
108,0.073815574,1,5.354266e-06,0.015894659
109,0.070608465,1,5.1216361e-06,1.0081749
110,0.066890546,1,4.8519541e-06,0.024390107
111,0.066647398,1,4.8343172e-06,0.16829786
112,0.064475011,1,4.6767416e-06,0.11699277
113,0.062335641,1,4.5215608e-06,0.0024373366
114,0.057957003,1,4.2039531e-06,0.86037923
115,0.05533768,1,4.0139586e-06,0.067247922
116,0.052467869,1,3.8057948e-06,0.094208729
117,0.051139028,1,3.7094064e-06,0.018372224
118,0.050245151,1,3.6445683e-06,0.010547512
119,0.048387232,1,3.5098028e-06,0.053377745
120,0.047361675,1,3.4354133e-06,0.0013675571
121,0.0457467,1,3.3182699e-06,0.093606444
122,0.044762835,1,3.2469046e-06,0.022558645
123,0.043981095,1,3.1902005e-06,0.08412548
124,0.041800017,1,3.0319944e-06,0.060115925
125,0.038298406,1,2.7780025e-06,0.036874546
126,0.037587033,1,2.7264026e-06,0.0027410582
127,0.035525283,1,2.5768521e-06,0.10708235
128,0.034774106,1,2.5223649e-06,0.14441446
129,0.034132494,1,2.4758251e-06,0.0036037243
130,0.032931055,1,2.3886779e-06,0.064598908
131,0.031919294,1,2.3152891e-06,0.044087494
132,0.031310783,1,2.2711503e-06,0.32672806
133,0.02968381,1,2.1531367e-06,0.20201812
134,0.02940575,1,2.1329673e-06,0.044533577
135,0.028567959,1,2.0721975e-06,0.21516747
136,0.02655643,1,1.9262898e-06,0.0040451683
137,0.026078405,1,1.8916159e-06,0.020017837
138,0.025871485,1,1.8766068e-06,0.013754487
139,0.025474003,1,1.8477752e-06,0.023517486
140,0.023943594,1,1.7367659e-06,0.14209361
141,0.023558782,1,1.7088533e-06,0.24428378
142,0.023098224,1,1.6754464e-06,0.13264898
143,0.02277187,1,1.651774e-06,0.63976138
144,0.021975944,1,1.594041e-06,0.023084489
145,0.02151236,1,1.5604146e-06,0.04739862
146,0.020834561,1,1.51125e-06,0.025116058
147,0.020421812,1,1.4813109e-06,0.026649253
148,0.019473497,1,1.4125242e-06,0.1940587
149,0.019266056,1,1.3974773e-06,0.023675956
150,0.018305696,1,1.3278169e-06,0.07188445
151,0.017696302,1,1.283614e-06,0.051261875
152,0.016897318,1,1.2256592e-06,0.0062612429
153,0.016622559,1,1.2057294e-06,0.34921084
154,0.015801594,1,1.1461801e-06,0.34188683
155,0.015407362,1,1.1175842e-06,0.0049500225
156,0.015348212,1,1.1132936e-06,0.1232787
157,0.014774895,1,1.0717077e-06,0.22815981
158,0.01455182,1,1.0555268e-06,0.88837856
159,0.014477796,1,1.0501574e-06,0.029522287
160,0.01399522,1,1.0151534e-06,1.0360806
161,0.013333618,1,9.6716359e-07,0.05652988
162,0.013072249,1,9.4820501e-07,0.0024908449
163,0.012687268,1,9.2028014e-07,1.000664
164,0.012387272,1,8.9851975e-07,0.14701587
165,0.01216452,1,8.8236223e-07,0.40276589
166,0.011553594,1,8.380483e-07,0.0049518197
167,0.011318916,1,8.2102574e-07,0.0022382564
168,0.011210744,1,8.1317939e-07,0.089859204
169,0.010513238,1,7.6258535e-07,0.15959709
170,0.010248942,1,7.4341438e-07,0.010608068
171,0.010107638,1,7.3316483e-07,0.27719523
172,0.0098912981,1,7.1747246e-07,0.063003004
173,0.0096979795,1,7.0344995e-07,0.009331776
174,0.0095443399,1,6.9230559e-07,0.15766025
175,0.009239931,1,6.7022507e-07,1.1527667
176,0.0091025968,1,6.6026344e-07,0.025015795
177,0.0086005586,1,6.2384773e-07,0.22702904
178,0.0085088641,1,6.1719661e-07,0.13163828
179,0.0083742316,1,6.0743095e-07,0.0005203253
180,0.0078632287,1,5.7036498e-07,0.035398979
181,0.0077844285,1,5.6464915e-07,0.072809041
182,0.0075971312,1,5.510634e-07,0.74408394
183,0.0073581451,1,5.3372837e-07,0.018183156
184,0.0071887646,1,5.2144224e-07,0.081016185
185,0.0070929924,1,5.1449533e-07,0.078295038
186,0.0069087001,1,5.0112755e-07,0.2358339
187,0.0065185812,1,4.7283e-07,0.52943688
188,0.0063489978,1,4.6052915e-07,0.00058308097
189,0.0062277091,1,4.5173138e-07,0.065382573
190,0.0059781128,1,4.3362673e-07,0.27154443
191,0.0059101229,1,4.2869504e-07,0.050698748
192,0.0058495905,1,4.2430427e-07,0.4111978
193,0.0058035218,1,4.2096265e-07,0.57924289
194,0.0056235951,1,4.0791154e-07,0.12063164
195,0.0054841489,1,3.9779671e-07,0.20111425
196,0.0054238893,1,3.9342573e-07,0.11330028
197,0.0052426376,1,3.8027851e-07,0.051563513
198,0.0050918938,1,3.693442e-07,0.10991963
199,0.0050572244,1,3.6682942e-07,0.62147338
200,0.0049574427,1,3.5959169e-07,0.42018932
201,0.0047733304,1,3.4623697e-07,0.033579863
202,0.0047179956,1,3.4222322e-07,0.024899774
203,0.0045765166,1,3.3196094e-07,0.012462778
204,0.0044830213,1,3.2517919e-07,0.0023095442
205,0.0044343052,1,3.2164553e-07,0.49479157
206,0.0043625182,1,3.1643841e-07,0.63168981
207,0.0043115468,1,3.1274117e-07,0.016627326
208,0.0040544151,1,2.9408993e-07,0.26994836
209,0.0039547657,1,2.8686179e-07,0.17269201
210,0.0038578618,1,2.7983279e-07,0.091377233
211,0.0037978767,1,2.7548174e-07,0.011940029
212,0.0036960051,1,2.680924e-07,0.13915403
213,0.0036519443,1,2.6489642e-07,0.021754422
214,0.0035549208,1,2.5785875e-07,2.2458924e-09
215,0.0034940496,1,2.5344341e-07,0.2621374
216,0.0033815532,1,2.4528341e-07,0.0023349628
217,0.0032794158,1,2.378748e-07,0.81274022
218,0.0032115786,1,2.3295418e-07,0.61852858
219,0.0031628063,1,2.2941644e-07,0.56052174
220,0.003106143,1,2.2530633e-07,0.090300391
221,0.0030449056,1,2.2086443e-07,0.21743868
222,0.0030052336,1,2.179868e-07,0.032632581
223,0.002928012,1,2.1238547e-07,0.075795477
224,0.0028706547,1,2.0822501e-07,0.0036840973
225,0.0027533431,1,1.9971573e-07,0.090346662
226,0.0027085675,1,1.964679e-07,0.56475387
227,0.0026595189,1,1.9291013e-07,0.056071179
228,0.0026246085,1,1.9037788e-07,0.26197438
229,0.002590541,1,1.8790676e-07,0.17411586
230,0.0025270716,1,1.8330296e-07,0.15612685
231,0.0024701572,1,1.7917464e-07,0.24684419
232,0.0024070369,1,1.7459616e-07,0.039493478
233,0.0023915166,1,1.7347039e-07,0.73496626
234,0.0023766892,1,1.7239487e-07,0.071961244
235,0.002281958,1,1.6552348e-07,0.37842803
236,0.0022667813,1,1.6442262e-07,0.42484156
237,0.0022449052,1,1.6283582e-07,0.52202133
238,0.0022049699,1,1.5993908e-07,0.02463545
239,0.0021398309,1,1.5521418e-07,0.24708102
240,0.0021033401,1,1.5256729e-07,6.2907053e-06
241,0.0020616954,1,1.4954656e-07,0.0022990992
242,0.002025832,1,1.4694519e-07,0.0027710198
243,0.0019408124,1,1.4077823e-07,0.18593635
244,0.0018982783,1,1.3769299e-07,0.005862211
245,0.0018709924,1,1.3571379e-07,0.88353207
246,0.0018169336,1,1.3179259e-07,0.12946779
247,0.0018031756,1,1.3079464e-07,0.029728817
248,0.0017727758,1,1.2858957e-07,3.6048447e-11
249,0.0017334017,1,1.2573355e-07,0.089470354
250,0.0017071653,1,1.2383047e-07,0.0023754134
251,0.0016431136,1,1.1918444e-07,0.02918502
252,0.0015923539,1,1.1550254e-07,0.58404401
253,0.0015864225,1,1.150723e-07,0.042485658
254,0.0015661145,1,1.1359925e-07,0.11250564
255,0.0015247644,1,1.1059988e-07,0.16971128
