index,eigenvalue
1,19.440748
2,8.4493582
3,8.0866712
4,1.8692235
5,1.8203448
6,1.0988907
7,0.71579552
8,0.3087641
9,0.28365252
10,0.1901379
11,0.17042771
12,0.15065745
13,0.10066797
14,0.077708091
15,0.069094872
16,0.065627636
17,0.048093105
18,0.040566552
19,0.03855073
20,0.036215695
21,0.032860444
22,0.031974282
23,0.030105258
24,0.028784825
25,0.026316097
26,0.025181238
27,0.02402869
28,0.016400012
29,0.012633423
30,0.011677921
31,0.0090608818
32,0.0081834744
33,0.0071352944
34,0.0067910171
35,0.0061423628
36,0.005161588
37,0.0050876322
38,0.0049423202
39,0.0045816007
40,0.0041441312
41,0.0040012689
42,0.0038043966
43,0.003600642
44,0.0031468085
45,0.0027161156
46,0.0024611007
47,0.0022993672
48,0.0021125709
49,0.0019617542
50,0.001878699
51,0.0018096039
52,0.0016270712
53,0.0014701319
54,0.0014080433
55,0.0013636054
56,0.0013001406
57,0.0012376927
58,0.0011695007
59,0.00107383
60,0.0010526453
61,0.00097868478
62,0.00095425927
63,0.00091718745
64,0.00086038443
65,0.00079412564
66,0.00075220049
67,0.00072874316
68,0.0007137101
69,0.0006887619
70,0.00065216571
71,0.00062301322
72,0.00058137436
73,0.00056940563
74,0.00052527443
75,0.00051436265
76,0.00048972181
77,0.00047029031
78,0.00042542989
79,0.00040621505
80,0.00037304005
81,0.00036167839
82,0.00034766333
83,0.00033294046
84,0.0003198431
85,0.00030467922
86,0.00029039178
87,0.00025656115
88,0.0002467556
89,0.0002419936
90,0.00023176279
91,0.00022076524
92,0.00021489833
93,0.00020798897
94,0.00020099727
95,0.00019379884
96,0.00018460519
97,0.00017779889
98,0.00017116287
99,0.00016504405
100,0.000163111
101,0.0001501551
102,0.00014631581
103,0.00014350674
104,0.00013471224
105,0.00012645362
106,0.00012150979
107,0.00011706126
108,0.0001158436
109,0.00011022537
110,0.00010931138
111,0.0001043666
112,0.00010053409
113,9.6596052e-05
114,9.03556e-05
115,8.7405876e-05
116,8.2332743e-05
117,7.888787e-05
118,7.4548209e-05
119,7.2316035e-05
120,6.7631116e-05
121,6.6481862e-05
122,6.226271e-05
123,5.9514693e-05
124,5.7576344e-05
125,5.5424682e-05
126,5.4923407e-05
127,5.2766436e-05
128,5.1202504e-05
129,4.8831729e-05
130,4.7699796e-05
131,4.6754305e-05
132,4.5704286e-05
133,4.3806621e-05
134,4.1990646e-05
135,4.0415271e-05
136,3.9874268e-05
137,3.8350944e-05
138,3.6570368e-05
139,3.6334067e-05
140,3.5866637e-05
141,3.425606e-05
142,3.3440625e-05
143,3.2651616e-05
144,3.1966067e-05
145,3.1395986e-05
146,3.1257744e-05
147,3.0268815e-05
148,2.9733362e-05
149,2.8635927e-05
150,2.7618222e-05
151,2.6886314e-05
152,2.5506665e-05
153,2.4799784e-05
154,2.4455783e-05
155,2.4265358e-05
156,2.3533052e-05
157,2.2740603e-05
158,2.197149e-05
159,2.1682764e-05
160,2.1313304e-05
161,2.0893812e-05
162,2.0352619e-05
163,1.9057033e-05
164,1.8619876e-05
165,1.8376228e-05
166,1.7697946e-05
167,1.6883373e-05
168,1.6597498e-05
169,1.6382691e-05
170,1.6003375e-05
171,1.5806315e-05
172,1.5079229e-05
173,1.4642622e-05
174,1.4459207e-05
175,1.4121731e-05
176,1.3877256e-05
177,1.3578834e-05
178,1.328556e-05
179,1.2938571e-05
180,1.2362368e-05
181,1.2177935e-05
182,1.1797321e-05
183,1.1685372e-05
184,1.1133219e-05
185,1.0936062e-05
186,1.0884432e-05
187,1.0771012e-05
188,1.0315026e-05
189,1.0169418e-05
190,9.9372761e-06
191,9.7440483e-06
192,9.5147884e-06
193,8.9881765e-06
194,8.866882e-06
195,8.6386444e-06
196,8.3474308e-06
197,8.0894419e-06
198,7.9559709e-06
199,7.8749411e-06
200,7.5689134e-06
201,7.3862404e-06
202,7.3481919e-06
203,7.1608057e-06
204,6.9782765e-06
205,6.6172012e-06
206,6.5812817e-06
207,6.4129308e-06
208,6.3276039e-06
209,6.1763844e-06
210,5.9863773e-06
211,5.8536417e-06
212,5.7800576e-06
213,5.7123459e-06
214,5.4877136e-06
215,5.4349045e-06
216,5.3273276e-06
217,5.1730841e-06
218,5.1169544e-06
219,5.0575291e-06
220,5.0052239e-06
221,4.9033085e-06
222,4.8364422e-06
223,4.6437032e-06
224,4.5227827e-06
225,4.4812708e-06
226,4.3796452e-06
227,4.2827365e-06
228,4.2611907e-06
229,4.1606121e-06
230,4.1173068e-06
231,4.0153947e-06
232,3.8663084e-06
233,3.7797339e-06
234,3.7275439e-06
235,3.6566915e-06
236,3.5424049e-06
237,3.5291374e-06
238,3.3551389e-06
239,3.3111058e-06
240,3.1715526e-06
241,3.1366737e-06
242,3.1132638e-06
243,3.0822141e-06
244,3.0480954e-06
245,2.9836677e-06
246,2.9698382e-06
247,2.8131035e-06
248,2.7896795e-06
249,2.6585384e-06
250,2.6467875e-06
251,2.6295699e-06
252,2.5789677e-06
253,2.539021e-06
254,2.4478118e-06
255,2.3550661e-06
256,2.3345721e-06
257,2.2970721e-06
258,2.2643511e-06
259,2.1887177e-06
260,2.135004e-06
261,2.1318474e-06
262,2.1041429e-06
263,2.0460277e-06
264,2.0144526e-06
265,1.9936467e-06
266,1.9467879e-06
267,1.9388354e-06
268,1.8543133e-06
269,1.8318527e-06
270,1.8160156e-06
271,1.7475532e-06
272,1.716024e-06
273,1.6952291e-06
274,1.6688209e-06
275,1.5938512e-06
276,1.5755052e-06
277,1.5505711e-06
278,1.5223777e-06
279,1.5168418e-06
280,1.4859065e-06
281,1.4406492e-06
282,1.3876766e-06
283,1.368959e-06
284,1.3542353e-06
285,1.3282579e-06
286,1.3052226e-06
287,1.303041e-06
288,1.2765926e-06
289,1.2718862e-06
290,1.2205877e-06
291,1.2069103e-06
292,1.1786053e-06
293,1.1670493e-06
294,1.1431826e-06
295,1.1315817e-06
296,1.1102719e-06
297,1.0800025e-06
298,1.0521448e-06
299,1.031994e-06
300,1.0245878e-06
301,1.0058161e-06
302,9.9996667e-07
303,9.845791e-07
304,9.6331271e-07
305,9.4695057e-07
306,9.2546899e-07
307,9.1703883e-07
308,8.849907e-07
309,8.8087199e-07
310,8.6809967e-07
311,8.4003802e-07
312,8.3412017e-07
313,8.2673117e-07
314,8.0933567e-07
315,8.0067974e-07
316,7.8938962e-07
317,7.6521415e-07
318,7.5521026e-07
319,7.4440303e-07
320,7.3504451e-07
321,7.292174e-07
322,7.0551769e-07
323,6.857919e-07
324,6.7863604e-07
325,6.6632523e-07
326,6.645693e-07
327,6.4914104e-07
328,6.313663e-07
329,6.249261e-07
330,6.2001588e-07
331,6.1156409e-07
332,6.0296882e-07
333,5.9098805e-07
334,5.8565841e-07
335,5.716177e-07
336,5.5485564e-07
337,5.5085009e-07
338,5.4407372e-07
339,5.4071937e-07
340,5.3316763e-07
341,5.2631499e-07
342,5.139773e-07
343,5.0772298e-07
344,4.9980889e-07
345,4.9709553e-07
346,4.9239912e-07
347,4.8193224e-07
348,4.7641965e-07
349,4.6239215e-07
350,4.6025848e-07
351,4.4680723e-07
352,4.4250181e-07
353,4.3781784e-07
354,4.2780547e-07
355,4.1968176e-07
356,4.1486714e-07
357,4.1268214e-07
358,4.0791791e-07
359,4.0305396e-07
360,3.9641223e-07
361,3.9107212e-07
362,3.8673999e-07
363,3.7571324e-07
364,3.6780426e-07
365,3.6294857e-07
366,3.5710272e-07
367,3.5285414e-07
368,3.4136324e-07
369,3.3740073e-07
370,3.3353532e-07
371,3.2843436e-07
372,3.2436152e-07
373,3.1655339e-07
374,3.1382452e-07
375,3.0831683e-07
376,3.0136479e-07
377,3.0002456e-07
378,2.9494766e-07
379,2.90402e-07
380,2.8319717e-07
381,2.8205708e-07
382,2.7520023e-07
383,2.734085e-07
384,2.6791214e-07
385,2.6635686e-07
386,2.5887348e-07
387,2.5482633e-07
388,2.533353e-07
389,2.493443e-07
390,2.4906317e-07
391,2.4514125e-07
392,2.4292449e-07
393,2.3837423e-07
394,2.3612658e-07
395,2.305755e-07
396,2.2545655e-07
397,2.2103281e-07
398,2.1640458e-07
399,2.1454675e-07
400,2.1417182e-07
401,2.0867557e-07
402,2.0858835e-07
403,2.031029e-07
404,1.9848171e-07
405,1.9609896e-07
406,1.9506149e-07
407,1.9112426e-07
408,1.8577513e-07
409,1.8504631e-07
410,1.8341551e-07
411,1.8093977e-07
412,1.7944404e-07
413,1.7625608e-07
414,1.7280231e-07
415,1.7194874e-07
416,1.6986402e-07
417,1.6562886e-07
418,1.6308344e-07
419,1.6172995e-07
420,1.5824318e-07
421,1.5762038e-07
422,1.5692255e-07
423,1.5241788e-07
424,1.4852932e-07
425,1.4777034e-07
426,1.4648128e-07
427,1.4540332e-07
428,1.4099496e-07
429,1.3999843e-07
430,1.3783326e-07
431,1.3662806e-07
432,1.3482783e-07
433,1.3353671e-07
434,1.3161193e-07
435,1.2835092e-07
436,1.2749165e-07
437,1.266028e-07
438,1.2278101e-07
439,1.2225751e-07
440,1.207094e-07
441,1.1780943e-07
442,1.1479161e-07
443,1.1461093e-07
444,1.1164995e-07
445,1.1123953e-07
446,1.1073299e-07
447,1.0909592e-07
448,1.0727244e-07
449,1.0641937e-07
450,1.060799e-07
451,1.0352762e-07
452,1.0177214e-07
453,1.0130835e-07
454,1.0074753e-07
455,9.6865619e-08
456,9.6171745e-08
457,9.4589533e-08
458,9.4361241e-08
459,9.1502519e-08
460,9.1233126e-08
461,8.8984236e-08
462,8.8113478e-08
463,8.5687196e-08
464,8.5443127e-08
465,8.4190584e-08
466,8.2745257e-08
467,8.1750626e-08
468,8.0875093e-08
469,8.0336817e-08
