step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
31,1,0.2548037,1.3227075e+09,3.4522856,383
41,1,0.12953306,1.4280632e+09,3.2238994,383
54,1,0.16424154,3.7281105e+09,4.2660255,383
71,1,0.22515443,5.1208805e+09,3.849219,383
94,1,0.21546517,4.1936974e+09,3.9817869,383
124,0.99913422,0.21743979,1.4288369e+10,3.7803859,383
164,0.99993657,0.13359039,1.1520445e+10,3.7928694,383
217,1,0.09759979,6.0926977e+09,3.7000727,383
286,1,0.081717232,8.3011982e+09,3.4050183,383
378,0.99772881,0.1969404,1.7051639e+10,3.4644076,383
499,0.99639528,0.1419672,1.7478949e+10,3.5777353,383
658,0.99626659,0.1193019,1.3931879e+10,3.6952553,383
869,1,0.13117354,9.493223e+09,3.7029939,383
1147,1,0.17874614,8.7549212e+09,3.3993258,383
1515,1,0.078226288,3.9134115e+09,3.4475194,383
2000,1,0.16024088,1.415276e+09,3.2309456,383
3200,0.98536493,0.069588356,2.0982838e+10,3.6019673,767
