step,E_raw,E_clip,stderr,var
31,20.260899,20.256654,0.035544988,0.50215871
41,20.253488,20.258005,0.041219615,0.71315926
54,20.232611,20.232611,0.035915465,0.61306832
71,20.191685,20.190873,0.030295799,0.34789135
94,20.231833,20.229146,0.027807214,0.37912424
124,20.151237,20.164555,0.031753186,0.3600904
164,20.183885,20.194457,0.020085678,0.17947226
217,20.225796,20.222286,0.018158239,0.14850917
286,20.206724,20.19725,0.019417714,0.15332035
378,20.223426,20.222761,0.020597598,0.120098
499,20.185445,20.191289,0.020329618,0.14789194
658,20.196598,20.196615,0.017524169,0.12829071
869,20.229845,20.219235,0.019162901,0.1514668
1147,20.19461,20.201884,0.017278572,0.092726698
1515,20.197882,20.198231,0.013441675,0.111636
2000,20.181702,20.180519,0.015367885,0.080152843
3200,20.179267,20.179055,0.0069672712,0.091712488
