r,J_learned,J_learned_std,count
0.43364309,13.394162,0.81490643,768
0.72596786,13.45942,0.80366317,768
0.88880788,13.546511,0.81055694,768
1.0176479,13.59061,0.83206509,768
1.1251696,13.64552,0.85363854,768
1.2166595,13.66431,0.84315662,768
1.2999485,13.640324,0.83482132,768
1.3842204,13.678573,0.86875184,768
1.460158,13.722909,0.83975555,768
1.5314419,13.723859,0.8146818,768
1.6028563,13.729665,0.84421773,768
1.6681588,13.709302,0.8200154,768
1.7350656,13.764918,0.83416158,768
1.7986622,13.737476,0.85735061,768
1.8601288,13.789543,0.85816939,768
1.9234335,13.799814,0.85090018,768
1.9892508,13.801153,0.83747481,768
2.0537382,13.717266,0.80859636,768
2.114956,13.804956,0.83785833,768
2.1772825,13.774924,0.83356855,768
2.2408197,13.8509,0.8145652,768
2.305175,13.819428,0.83268398,768
2.3694953,13.868886,0.80491783,768
2.4354076,13.882373,0.81716215,768
2.5005931,13.887562,0.78151965,768
2.5660857,13.908075,0.77445814,768
2.6309175,13.903577,0.80335529,768
2.7014859,13.92212,0.77970901,768
2.7761434,13.924724,0.789718,768
2.8502633,14.038055,0.77890215,768
2.9286028,14.049159,0.74778863,768
3.0110318,14.098051,0.75149238,768
3.1005531,14.111541,0.7219925,768
3.2000264,14.127055,0.72388694,768
3.3100133,14.148342,0.73677407,768
3.4350158,14.219819,0.70509697,768
3.577036,14.345083,0.69591708,768
3.7599109,14.422242,0.67910344,768
4.0083795,14.512488,0.66406466,768
4.56784,14.812786,0.68628821,768
