model,family,measure,n_samples,eff_rank,kappa,num_rank,n_params
ctnn_seed1,CTNN,pooled,256,1.5193972136702305,2691915.6091734143,255,66498
ctnn_seed1,CTNN,pooled,512,1.5120446713601756,21053823.887496326,511,66498
ctnn_seed1,CTNN,pooled,1024,1.5309079790892228,190943519.60997757,1023,66498
ctnn_seed1,CTNN,pooled,2048,1.5040753885724427,2743750227.7406654,2047,66498
ctnn_seed1,CTNN,ctnn_density,2048,1.4669400377854,2855701285.5222774,2047,66498
ctnn_seed1,CTNN,ds_density,2048,1.5021676575414677,2457042090.1981473,2047,66498
ctnn_seed2,CTNN,pooled,256,1.1889647035551782,36309782.1329836,255,66498
ctnn_seed2,CTNN,pooled,512,1.189603844320346,551346391.6407598,511,66498
ctnn_seed2,CTNN,pooled,1024,1.1992823966073867,8699669570.153254,1023,66498
ctnn_seed2,CTNN,pooled,2048,1.195116647042934,207468274782.75388,2047,66498
ctnn_seed2,CTNN,ctnn_density,2048,1.178739165885785,232267870059.4956,2047,66498
ctnn_seed2,CTNN,ds_density,2048,1.191195492065972,210939014892.92328,2047,66498
ctnn_2x2sr,CTNN,pooled,256,1.673152598760936,2277261.515323286,255,66498
ctnn_2x2sr,CTNN,pooled,512,1.665417385639758,21250282.17855793,511,66498
ctnn_2x2sr,CTNN,pooled,1024,1.7004747160575062,252282130.55248424,1023,66498
ctnn_2x2sr,CTNN,pooled,2048,1.6608206331750976,4671358671.839624,2047,66498
ctnn_2x2sr,CTNN,ctnn_density,2048,1.6168998899231,5546283979.961952,2047,66498
ctnn_2x2sr,CTNN,ds_density,2048,1.6575342939092763,4708184873.299224,2047,66498
deepset_s_20k,DeepSet,pooled,256,3.572314035490929,20670690.385281105,255,6874
deepset_s_20k,DeepSet,pooled,512,3.556056091758751,442747627.95503604,511,6874
deepset_s_20k,DeepSet,pooled,1024,3.696175666857548,13281096090.2477,1023,6874
deepset_s_20k,DeepSet,pooled,2048,3.633892930867838,927891614613.2037,2047,6874
deepset_s_20k,DeepSet,ctnn_density,2048,3.424246433815379,991380466336.2246,2046,6874
deepset_s_20k,DeepSet,ds_density,2048,3.6066809684340684,901132110591.7715,2047,6874
deepset_m_48k,DeepSet,pooled,256,3.233245810400597,433988474.44650227,255,34354
deepset_m_48k,DeepSet,pooled,512,3.2276962328708323,27259710335.642418,511,34354
deepset_m_48k,DeepSet,pooled,1024,3.4154640564399044,995324381264.4946,1002,34354
deepset_m_48k,DeepSet,pooled,2048,3.3662159645971697,996114639568.7595,1332,34354
deepset_m_48k,DeepSet,ctnn_density,2048,3.109984026110145,997104223793.9279,1309,34354
deepset_m_48k,DeepSet,ds_density,2048,3.3182496064194082,994026290685.1902,1324,34354
deepset_match_89k,DeepSet,pooled,256,3.518915362657176,80310756.24755934,255,76106
deepset_match_89k,DeepSet,pooled,512,3.55457535772201,3047082262.4575047,511,76106
deepset_match_89k,DeepSet,pooled,1024,3.705574315785178,104151626228.52986,1023,76106
deepset_match_89k,DeepSet,pooled,2048,3.6471724193553445,994775971615.0034,1830,76106
deepset_match_89k,DeepSet,ctnn_density,2048,3.4233549470956026,995114067657.7538,1812,76106
deepset_match_89k,DeepSet,ds_density,2048,3.6218006047223636,999114405602.918,1828,76106
deepset_xl_164k,DeepSet,pooled,256,2.861270749111126,1653177387.0550423,255,150754
deepset_xl_164k,DeepSet,pooled,512,2.8540020859355426,134946536631.80086,511,150754
deepset_xl_164k,DeepSet,pooled,1024,3.00411955381515,991707148498.777,889,150754
deepset_xl_164k,DeepSet,pooled,2048,2.944966505944914,994918258963.2557,1081,150754
deepset_xl_164k,DeepSet,ctnn_density,2048,2.7254424980707985,999117040436.9097,1067,150754
deepset_xl_164k,DeepSet,ds_density,2048,2.8968345773847384,997384788840.816,1079,150754
