tag,family,optimizer,N,omega,arch,n_params,error_pct,error_pct_zv,var_EL,eff_rank_S,kappa_S,cos_plain,rep_fraction,n_samples
2x2_N6w1_ctnn_adam,CTNN,adam,6,1.0,ctnn_vcycle_big,79813,0.029061618787504993,-0.06622521106993325,0.028507182297137734,1.5211468258322627,115874964.41011521,0.06376017004521325,0.9999999999999999,768
2x2_N6w1_ctnn_sr,CTNN,sr,6,1.0,ctnn_vcycle_big,79813,0.029149397038296283,0.017633334990653164,0.026396119976340646,1.6039907993843965,82725082.61732523,0.07876477051417961,0.9999999999999998,768
2x2_N6w1_deepset_adam,DeepSet,adam,6,1.0,deepset_big,47669,0.07793651808108329,-0.7848807053772772,0.09252810290398665,3.2408335284672503,25517073093.8702,0.06862149796538264,0.9926941699098916,768
2x2_N6w1_deepset_sr,DeepSet,sr,6,1.0,deepset_big,47669,0.07100357381973235,-0.7479527004539626,0.09659891786034432,3.3538129882222414,19395230369.508713,0.06798448290156923,0.9867596966294088,768
N2_w1_ctnn_acc,CTNN,,2,1.0,ctnn_vcycle,9842,-0.0254966857049214,0.061416042993138,3.0127234074912315e-06,1.1207162593873925,983199144661.9894,0.12543513446431553,0.983413359514335,1024
eq_N6w1_ctnn_seed1,CTNN,,6,1.0,ctnn_vcycle_big,79813,0.04013729192491475,0.021528947533724054,0.025644278036209788,1.460366116472411,69358762.23486379,0.09676380615459129,1.0000000000000002,768
eq_N6w1_ctnn_seed2,CTNN,,6,1.0,ctnn_vcycle_big,79813,-0.012182989989510038,-0.051630212629831834,0.02282475158452337,1.392895921833089,51615494.55325767,0.04678301303553542,0.9999999999999996,768
eq_N6w1_ds_m,DeepSet,,6,1.0,deepset_m,47669,0.013935953220729809,0.14802308858670926,0.030397097223582463,4.353672699467425,33602471.892439894,0.1183733270642933,1.0,768
eq_N6w1_ds_s,DeepSet,,6,1.0,deepset_s,20189,0.0581469073783885,-0.1022263971118357,0.09038929583783344,3.559591817908341,3240393471.050102,0.07474288801586915,1.0,768
eq_N6w1_ds_xl,DeepSet,,6,1.0,deepset_xl,164069,-0.05214130676013731,-0.15999310707302078,0.03323958846344978,4.757442605173264,14408230.319665851,0.15593097738851608,1.0,768
eq_N6w1_dsmatch_adam,DeepSet,adam,6,1.0,deepset_match,89421,0.05422835480251822,-0.15058683672998632,0.09581966530206305,3.6055312688344063,32388140437.375004,0.06293897245029312,0.9869722021243507,768
eq_N6w1_dsmatch_sr,DeepSet,sr,6,1.0,deepset_match,89421,0.09789634136829842,-0.12419253885455671,0.09171248774583068,3.601967286211439,20982837854.728817,0.06958835593156856,0.9853649267221303,768
