r,J_learned,J_learned_std,count
6.531109,64.341401,2.3205898,3072
8.687579,64.703595,2.3310586,3072
9.8336479,64.986967,2.3697385,3072
10.725776,65.194775,2.4019073,3072
11.461202,65.297362,2.3386586,3072
12.114795,65.310045,2.3789206,3072
12.73095,65.452254,2.4031598,3072
13.308038,65.602779,2.3913546,3072
13.863003,65.573469,2.4054129,3072
14.391225,65.600297,2.4262991,3072
14.901576,65.672912,2.4214534,3072
15.402522,65.577182,2.4049806,3072
15.893687,65.662338,2.4858926,3072
16.375391,65.663881,2.4160765,3072
16.859696,65.734651,2.4549718,3072
17.341087,65.75528,2.398791,3072
17.824732,65.6345,2.4380354,3072
18.327832,65.706687,2.4488158,3072
18.832959,65.716466,2.4170423,3072
19.331391,65.762903,2.4474148,3072
19.847038,65.713917,2.4375559,3072
20.370777,65.726204,2.4174458,3072
20.902669,65.809155,2.3492114,3072
21.449097,65.774904,2.3900151,3072
21.995599,65.862045,2.3549945,3072
22.565589,65.875182,2.3752546,3072
23.140338,65.796798,2.3719291,3072
23.705943,65.835493,2.3313757,3072
24.301067,65.903201,2.274926,3072
24.921735,66.009634,2.3581088,3072
25.574398,65.956031,2.2753317,3072
26.250033,66.092916,2.2228624,3072
26.978644,66.222353,2.2433956,3072
27.763347,66.298431,2.1739968,3072
28.600889,66.409031,2.196571,3072
29.502362,66.597988,2.1746543,3072
30.565475,66.764292,2.1150077,3072
31.845911,67.035043,2.0703537,3072
33.526257,67.327995,2.0431598,3072
37.011082,68.156669,2.0003852,3072
