r,J_learned,J_learned_std,count
4.3841997,34.990996,2.101192,3072
6.0659172,35.446003,2.1099348,3072
6.9424491,35.64143,2.1080666,3072
7.6023428,35.755891,2.0673958,3072
8.1622844,35.851435,2.1119327,3072
8.66736,35.91254,2.1030622,3072
9.1258592,36.056937,2.1226841,3072
9.545844,36.113974,2.1396239,3072
9.9544537,36.136912,2.1306904,3072
10.345055,36.191499,2.1675405,3072
10.716731,36.219344,2.1321272,3072
11.085619,36.225086,2.1212739,3072
11.445745,36.221062,2.188113,3072
11.805207,36.301322,2.1883698,3072
12.160049,36.35482,2.1178173,3072
12.525972,36.194314,2.1607396,3072
12.88326,36.326033,2.2215609,3072
13.244941,36.338066,2.2126374,3072
13.616403,36.286344,2.1584616,3072
13.985269,36.260449,2.1860484,3072
14.362476,36.326825,2.1223842,3072
14.747345,36.266973,2.1667359,3072
15.13705,36.404883,2.1226655,3072
15.529015,36.32841,2.1305979,3072
15.922891,36.358427,2.1144176,3072
16.328568,36.484573,2.0442228,3072
16.748349,36.472702,2.0721024,3072
17.180584,36.466073,2.0732444,3072
17.628314,36.490872,2.0135298,3072
18.088733,36.548466,2.0771829,3072
18.56928,36.556433,2.0115858,3072
19.069025,36.678583,1.977863,3072
19.593226,36.792007,2.0060303,3072
20.150652,36.782754,1.9664881,3072
20.757883,36.977663,1.9220196,3072
21.438675,37.041926,1.8918241,3072
22.222673,37.276251,1.8997142,3072
23.180722,37.442878,1.856345,3072
24.454116,37.78648,1.7674763,3072
27.050531,38.490604,1.7365565,3072
