mode,mu,sr_weight,plain_weight,residual_power
1,189087.48,1,1,0.0084491399
2,5848.6482,1,0.030930912,0.00078338207
3,4771.4136,1,0.025233894,0.00032427437
4,4554.0297,1,0.024084247,0.035338771
5,4284.9585,1,0.022661249,1.6915486e-05
6,3229.0382,1,0.017076953,0.0023611552
7,2982.2252,1,0.015771669,0.024372063
8,2877.5627,1,0.015218155,0.0064395158
9,2454.8367,1,0.012982545,0.00071042931
10,2206.7691,1,0.011670625,0.0025874555
11,2056.3962,1,0.010875369,0.0059677786
12,1931.483,1,0.010214758,0.0032296942
13,1714.9024,1,0.0090693594,0.015553613
14,1547.3437,1,0.008183216,0.0056285817
15,1273.7322,1,0.0067362057,0.00063582459
16,1180.1662,1,0.0062413764,0.020976738
17,1103.9883,1,0.0058385056,0.011189984
18,960.53881,1,0.0050798646,0.0094146612
19,941.56015,1,0.0049794948,1.7476822e-05
20,819.90382,1,0.0043361084,0.0069637798
21,726.67731,1,0.0038430746,8.4823946e-05
22,618.36984,1,0.0032702843,0.001635588
23,603.40956,1,0.0031911661,0.0096238455
24,559.34866,1,0.0029581474,0.0055902267
25,541.62614,1,0.0028644209,0.00011244559
26,509.85824,1,0.0026964146,0.00055310738
27,493.6042,1,0.0026104541,0.00068423397
28,480.82552,1,0.0025428734,0.02033519
29,416.08464,1,0.0022004874,0.0067095346
30,395.7059,1,0.0020927134,1.2785642e-05
31,377.4511,1,0.0019961718,0.0071659163
32,368.96487,1,0.0019512919,0.019664003
33,346.91945,1,0.0018347034,0.0078783587
34,323.07299,1,0.00170859,0.0048758377
35,302.6574,1,0.001600621,0.004517586
36,293.12872,1,0.001550228,0.00024388688
37,275.95909,1,0.0014594255,0.0037073756
38,256.73577,1,0.0013577618,0.04450618
39,231.75999,1,0.001225676,0.02642661
40,225.67459,1,0.001193493,0.014734609
41,218.76025,1,0.0011569261,0.014164107
42,215.85819,1,0.0011415784,0.0079151632
43,196.46708,1,0.0010390274,0.0026525105
44,190.91376,1,0.0010096584,3.3233e-06
45,185.11616,1,0.00097899743,0.018783725
46,179.36033,1,0.0009485574,0.0061059184
47,176.35483,1,0.00093266262,0.023965913
48,169.09069,1,0.00089424582,0.00044442558
49,165.59808,1,0.00087577495,0.001723225
50,155.29279,1,0.0008212748,0.0031230384
51,149.48017,1,0.00079053443,1.607152e-06
52,142.88017,1,0.00075562996,0.00063700121
53,137.43768,1,0.00072684706,0.02094319
54,133.70948,1,0.00070713027,5.3717455e-05
55,131.53961,1,0.00069565477,0.01599639
56,120.92518,1,0.00063951973,0.0059351883
57,114.12898,1,0.00060357766,0.0037284209
58,108.87453,1,0.00057578922,0.0021022193
59,107.39519,1,0.00056796562,0.0055144319
60,103.57523,1,0.00054776356,0.00023671055
61,101.10892,1,0.00053472034,0.0091300844
62,96.694409,1,0.00051137392,0.0042185349
63,95.492396,1,0.00050501701,0.015886313
64,93.956172,1,0.0004968926,0.0010708607
65,88.020224,1,0.0004655,0.0079242942
66,86.350723,1,0.00045667075,0.0034269229
67,83.645662,1,0.00044236488,8.1693191e-06
68,79.60864,1,0.00042101486,0.0037466201
69,77.363846,1,0.00040914314,0.014518342
70,73.08581,1,0.0003865185,0.0011249894
71,72.400119,1,0.00038289218,0.0042962827
72,68.229433,1,0.00036083527,0.0011191519
73,66.423827,1,0.00035128622,0.0036284105
74,64.277222,1,0.00033993377,5.0246682e-06
75,62.742581,1,0.00033181774,0.00024987766
76,61.219375,1,0.00032376218,2.4761939e-06
77,60.718552,1,0.00032111355,0.00051037394
78,56.975594,1,0.00030131869,0.027305355
79,55.013354,1,0.00029094128,0.0013164705
80,53.853062,1,0.000284805,0.0070658552
81,52.910052,1,0.00027981784,0.012515319
82,51.591557,1,0.00027284491,0.0098037316
83,49.634446,1,0.00026249461,0.026283807
84,48.354103,1,0.00025572345,0.00097156214
85,47.398131,1,0.00025066773,5.1574035e-05
86,45.253642,1,0.00023932648,0.047867078
87,44.410272,1,0.00023486627,0.00068873241
88,42.747702,1,0.00022607367,0.0047151004
89,42.363169,1,0.00022404005,0.0094195868
90,40.451791,1,0.00021393162,0.00088920505
91,39.54805,1,0.00020915213,0.0067515439
92,39.037671,1,0.00020645296,0.0031116326
93,37.899954,1,0.00020043608,0.0085602023
94,36.685947,1,0.00019401574,0.010046902
95,36.283926,1,0.00019188962,0.00087124843
96,35.397746,1,0.00018720301,0.00043906971
97,34.862538,1,0.00018437253,0.00017561253
98,33.143864,1,0.00017528322,0.020351273
99,32.093936,1,0.00016973062,0.041312493
100,31.195485,1,0.00016497911,0.00062708267
101,30.997179,1,0.00016393036,0.026570295
102,30.624655,1,0.00016196024,0.035085365
103,30.137611,1,0.00015938448,0.027391899
104,29.038601,1,0.00015357231,0.011353431
105,28.342733,1,0.00014989217,0.00016105048
106,27.889348,1,0.00014749441,7.6346466e-05
107,27.462559,1,0.00014523732,0.014141562
108,26.587176,1,0.0001406078,0.019095883
109,26.363664,1,0.00013942575,0.00098745251
110,26.285813,1,0.00013901403,0.012773808
111,25.30025,1,0.00013380182,9.5956126e-05
112,24.619471,1,0.00013020149,0.0021980396
113,23.819685,1,0.00012597177,0.0059030827
114,23.570006,1,0.00012465133,0.010808208
115,23.111351,1,0.0001222257,0.00037404519
116,22.717996,1,0.00012014542,0.024481161
117,22.109269,1,0.00011692614,0.0048194585
118,21.701342,1,0.00011476879,2.9339069e-05
119,21.367713,1,0.00011300437,0.0046138083
120,20.902199,1,0.00011054248,0.036698466
121,20.425396,1,0.00010802088,0.0010247352
122,20.164479,1,0.000106641,0.036060329
123,19.845922,1,0.0001049563,5.0594597e-05
124,19.482896,1,0.00010303641,0.0030280196
125,19.137062,1,0.00010120745,0.00041740254
126,18.645509,1,9.8607844e-05,0.0082700746
127,18.300323,1,9.6782308e-05,9.6472675e-06
128,18.192448,1,9.6211802e-05,0.0051942718
129,17.799464,1,9.4133487e-05,0.010545166
130,16.941639,1,8.959683e-05,0.0011724413
131,16.570286,1,8.7632906e-05,0.00045471701
132,16.472964,1,8.7118214e-05,0.00047268581
133,16.121125,1,8.5257495e-05,0.019534997
134,15.916908,1,8.417748e-05,0.04130155
135,15.520867,1,8.2082993e-05,0.010022048
136,15.3646,1,8.1256569e-05,0.00050270409
137,15.035469,1,7.9515942e-05,0.012634439
138,14.77895,1,7.8159324e-05,0.0035916939
139,14.603619,1,7.7232075e-05,0.0051715492
140,14.403209,1,7.6172198e-05,0.014298673
141,14.089284,1,7.4511985e-05,0.0092720778
142,13.954077,1,7.3796939e-05,0.023212622
143,13.770109,1,7.2824012e-05,0.016247329
144,13.436228,1,7.1058263e-05,0.026339935
145,13.064559,1,6.909267e-05,4.7052785e-05
146,12.929303,1,6.8377361e-05,0.026694362
147,12.728021,1,6.7312867e-05,0.001499438
148,12.567622,1,6.6464587e-05,0.030206436
149,12.412534,1,6.5644398e-05,0.0011839738
150,12.183785,1,6.4434645e-05,0.019678826
151,12.015463,1,6.3544463e-05,0.0018549099
152,11.756302,1,6.2173878e-05,1.7164127e-05
153,11.698945,1,6.1870542e-05,0.0053064415
154,11.442265,1,6.0513073e-05,7.1773277e-06
155,11.175841,1,5.9104077e-05,0.0033193117
