mode,mu,sr_weight,plain_weight,residual_power
1,48605.612,1,1,0.0017053722
2,22883.721,1,0.47080408,0.008049952
3,20502.931,1,0.42182229,7.7668774e-05
4,14409.297,1,0.29645337,0.00039596174
5,10753.516,1,0.22124021,0.003065953
6,6645.4436,1,0.13672173,0.0083771191
7,5237.1025,1,0.10774687,0.0051349445
8,4443.8005,1,0.091425667,0.00061387927
9,4014.3707,1,0.082590684,5.6958277e-07
10,3162.8668,1,0.065072049,0.0095597631
11,2363.7791,1,0.048631815,0.0049602859
12,2093.7898,1,0.04307712,0.00063788387
13,1869.0826,1,0.038454049,0.011657765
14,1525.7727,1,0.031390875,0.015577557
15,1417.6003,1,0.029165362,0.0049664203
16,1199.8641,1,0.024685711,0.013564349
17,1019.9596,1,0.020984401,0.005712529
18,840.4592,1,0.017291403,0.0051992482
19,816.73784,1,0.016803365,0.031808387
20,726.68211,1,0.01495058,0.067567916
21,639.04011,1,0.013147455,0.0017722383
22,607.81799,1,0.012505099,0.0051380249
23,593.91886,1,0.012219142,0.026723772
24,545.69059,1,0.011226905,7.4094919e-05
25,501.29895,1,0.010313602,0.088752031
26,457.92263,1,0.0094211885,2.869211e-05
27,417.69107,1,0.0085934741,0.0026505839
28,369.14748,1,0.0075947501,0.00079002438
29,362.47693,1,0.0074575119,0.0030319523
30,351.37467,1,0.0072290967,0.0056398301
31,317.00886,1,0.0065220629,0.0012309197
32,309.87628,1,0.006375319,0.063961743
33,290.35977,1,0.0059737911,0.054457867
34,283.32317,1,0.0058290218,0.017341948
35,268.34608,1,0.0055208868,0.0054914389
36,251.17784,1,0.0051676716,0.0059350897
37,231.54493,1,0.0047637488,0.0048833687
38,222.61789,1,0.0045800861,0.037657442
39,209.9217,1,0.0043188779,7.1257282e-05
40,206.42222,1,0.0042468805,0.0029803422
41,195.49314,1,0.0040220282,0.0088697334
42,191.72628,1,0.0039445298,0.010580937
43,183.09773,1,0.0037670079,0.020625711
44,182.08547,1,0.003746182,0.0012401426
45,168.86328,1,0.0034741518,0.011525157
46,164.39714,1,0.0033822667,0.0050294753
47,157.20052,1,0.0032342052,0.0003334391
48,151.59343,1,0.0031188463,0.00065904594
49,149.02825,1,0.0030660708,0.0025129876
50,138.21109,1,0.0028435213,0.0025325171
51,135.49356,1,0.0027876115,0.028260545
52,132.4519,1,0.0027250332,0.011322812
53,127.68318,1,0.0026269225,0.0069943489
54,118.68408,1,0.0024417774,0.0078157174
55,114.05681,1,0.002346577,0.0091474791
56,107.67415,1,0.0022152617,0.0040393215
57,106.97602,1,0.0022008985,0.024342294
58,99.652456,1,0.0020502253,0.032211901
59,98.008776,1,0.0020164086,0.0010155719
60,95.016901,1,0.0019548545,0.018463546
61,89.714863,1,0.0018457717,0.043921146
62,86.193889,1,0.001773332,0.0014754242
63,84.118602,1,0.0017306356,0.0035025895
64,80.048659,1,0.0016469016,0.010956354
65,76.936481,1,0.0015828724,0.0027724176
66,73.949527,1,0.0015214195,0.0049791902
67,73.013824,1,0.0015021686,0.0010977576
68,72.227317,1,0.0014859872,0.0068341786
69,65.377295,1,0.0013450565,0.00035603481
70,63.792954,1,0.0013124607,0.019165268
71,60.678261,1,0.0012483797,0.019076234
72,59.324606,1,0.00122053,0.02678499
73,57.742512,1,0.0011879803,0.0047661953
74,55.748593,1,0.0011469579,0.0037328526
75,54.139099,1,0.0011138446,0.0012963948
76,52.881041,1,0.0010879616,0.033323066
77,49.247476,1,0.0010132056,0.091561502
78,47.907778,1,0.00098564294,0.0040826911
79,47.144467,1,0.00096993875,0.00016069798
80,46.571917,1,0.00095815926,0.052464441
81,44.967603,1,0.0009251525,0.09795871
82,44.431795,1,0.00091412891,0.00038649786
83,41.26605,1,0.00084899765,0.0026412902
84,39.814871,1,0.00081914145,0.00109968
85,39.348071,1,0.00080953761,0.00060335591
86,38.283096,1,0.00078762708,3.4966577e-06
87,37.570931,1,0.00077297516,0.024028739
88,36.819855,1,0.0007575227,0.00016158406
89,36.554556,1,0.00075206451,0.0060568727
90,33.991662,1,0.00069933616,0.021979186
91,32.826682,1,0.00067536815,0.010058554
92,30.780331,1,0.00063326702,0.0038948547
93,30.306694,1,0.00062352252,0.015193316
94,29.318588,1,0.00060319347,0.043947078
95,28.334206,1,0.00058294104,6.4109467e-05
96,28.118458,1,0.00057850229,0.0065131532
97,27.712735,1,0.00057015505,0.00023809517
98,27.411184,1,0.00056395101,0.0014532323
99,26.612831,1,0.00054752588,0.053789385
100,24.578645,1,0.00050567505,0.024722262
101,23.962222,1,0.0004929929,0.053031527
102,23.797696,1,0.00048960798,0.017987913
103,23.589314,1,0.00048532078,0.0066903518
104,22.466017,1,0.00046221035,0.0041500748
105,21.77437,1,0.00044798057,0.038821247
106,21.312471,1,0.00043847758,0.010914714
107,20.60024,1,0.0004238243,0.0095149356
108,19.983889,1,0.00041114365,0.0016793912
109,19.400814,1,0.00039914761,0.0055257417
110,19.264189,1,0.00039633671,0.0022377711
111,19.181834,1,0.00039464236,0.025868622
112,18.69887,1,0.000384706,0.15032883
113,18.423152,1,0.00037903344,0.0038766314
114,17.749595,1,0.00036517584,0.016852186
115,17.583447,1,0.00036175754,0.010244248
116,17.306208,1,0.00035605371,0.010672795
117,16.579404,1,0.00034110062,0.033737824
118,16.221942,1,0.00033374628,0.0095569454
119,15.820156,1,0.00032548004,3.9419769e-07
120,15.71951,1,0.00032340937,0.0022683086
121,15.134015,1,0.00031136352,0.0054198767
122,14.869969,1,0.00030593111,3.5682384e-06
123,14.725035,1,0.00030294928,0.046280661
124,14.280745,1,0.00029380857,0.011970961
125,13.812014,1,0.000284165,0.10262791
126,13.57088,1,0.00027920397,0.051014807
127,13.445835,1,0.00027663133,0.0061753717
128,13.112109,1,0.00026976532,0.019699674
129,13.060205,1,0.00026869747,0.012261758
130,12.698575,1,0.00026125739,0.021947215
131,12.55782,1,0.00025836153,0.0032012062
132,12.486879,1,0.000256902,5.0661708e-06
133,12.256777,1,0.00025216794,0.01825503
134,12.064864,1,0.00024821957,2.5175465e-05
135,11.970955,1,0.00024628751,0.022728712
