omega,arch,n_params,eff_rank,kappa,var_strong,var_weak,var_ratio
1.0,CTNN,66498,1.2143402510300614,4760235933.199545,0.01993989930075522,22.88816819113398,1147.8577622639796
1.0,DeepSet,34354,3.377883565516109,996313180852.3746,0.045530602629529446,23.098110660856474,507.3095748105891
0.5,CTNN,66498,1.2734728402562971,5987931550.426362,0.007710491450735301,50.08245265459249,6495.36452696753
0.5,DeepSet,34354,3.384611939921919,995574975666.7784,0.0116721969193526,4.264994823667631,365.39777842474825
0.28,CTNN,66498,1.2390837744996364,32932403222.915096,0.005058672064829433,0.9273496476304095,183.31879112659533
0.28,DeepSet,34354,3.574298052266075,999309376526.0209,0.0062356942644320795,1.4980980715144243,240.2455938321833
0.1,CTNN,66498,1.7974403381151955,3382817294.663662,0.0007858826114096319,0.1350750974639632,171.87693874748035
0.1,DeepSet,34354,3.622299437265064,999426102631.008,0.0013081417594564158,0.15318283746233952,117.09956994721504
0.05,CTNN,66498,1.7899661351165224,11179908507.226122,0.00037040713177563446,0.033668433170246835,90.89574763004485
0.05,DeepSet,34354,4.3119835211227935,995297985376.2621,0.0006018772743340056,0.030111476225472333,50.02926262466305
0.03,CTNN,66498,2.5560424221655667,79954924578.12033,0.00016346663698506067,0.012858500960620965,78.66131706004396
0.03,DeepSet,34354,4.210942969003106,336124335632.5849,0.00022973035905241268,0.010256190270123314,44.64447064126765
0.01,CTNN,66498,5.2136616102577245,1128630355.466107,8.497969248960023e-06,0.001082027650192221,127.32779073360838
0.01,DeepSet,34354,3.23913232677208,51140858574.58181,3.2896750657646934e-05,0.0011314135810336276,34.39286733234328
