r,J_learned,J_learned_std,count
15.407877,82.150175,3.0045486,3072
19.452162,82.8834,2.9725666,3072
21.550574,83.158559,2.9931876,3072
23.094505,83.345662,3.072046,3072
24.454851,83.526477,3.0086151,3072
25.643719,83.532842,3.043239,3072
26.724071,83.696016,3.0148484,3072
27.74715,83.911349,3.0132486,3072
28.726519,83.932898,3.0941835,3072
29.706894,83.94017,3.0028057,3072
30.642662,83.947539,3.1368045,3072
31.583658,84.106771,3.0860611,3072
32.518867,84.097329,3.1330722,3072
33.439005,84.219256,3.1417713,3072
34.368306,84.216795,3.1799835,3072
35.303006,84.101088,3.1532687,3072
36.258882,84.243368,3.1830505,3072
37.229059,84.260055,3.1860686,3072
38.227997,84.171703,3.1921209,3072
39.233994,84.287675,3.1984362,3072
40.273952,84.193992,3.2298081,3072
41.351575,84.189635,3.2058862,3072
42.467943,84.058129,3.1778638,3072
43.614324,84.066036,3.0622131,3072
44.772112,84.099027,3.1271696,3072
45.942425,84.156181,3.1636722,3072
47.12199,84.156153,3.1202827,3072
48.380857,84.060552,3.0157915,3072
49.640609,84.189406,3.0494911,3072
50.925639,84.128951,2.908459,3072
52.211849,84.193587,2.9670307,3072
53.576598,84.414062,2.94978,3072
55.005052,84.489267,2.8550242,3072
56.493924,84.624268,2.8857643,3072
58.03528,84.722721,2.8104249,3072
59.749,84.969069,2.7379017,3072
61.682966,85.250031,2.7836279,3072
63.913709,85.575821,2.7547878,3072
66.969715,86.098467,2.733627,3072
73.10279,87.106697,2.7047156,3072
