index,eigenvalue
1,714.90595
2,133.11996
3,120.72281
4,111.90361
5,96.483467
6,52.226343
7,37.47083
8,31.314144
9,28.010003
10,24.412777
11,11.575943
12,9.0047371
13,6.5713467
14,5.4998823
15,4.6128475
16,3.9454242
17,3.1498915
18,2.5065436
19,2.2665728
20,1.9635225
21,1.901365
22,1.76699
23,1.5510666
24,1.429568
25,1.3193659
26,1.2917476
27,1.2260053
28,1.1032403
29,1.0544156
30,1.0051697
31,0.87465954
32,0.85624448
33,0.81755483
34,0.7255518
35,0.70170517
36,0.67250066
37,0.6422108
38,0.60943943
39,0.57037051
40,0.50530908
41,0.48743931
42,0.47196333
43,0.43397609
44,0.42983416
45,0.39168928
46,0.34855919
47,0.33313068
48,0.30828627
49,0.30663323
50,0.28916061
51,0.27772057
52,0.26444728
53,0.2483035
54,0.24647545
55,0.23200174
56,0.21542497
57,0.19416198
58,0.19137788
59,0.18581971
60,0.18248507
61,0.16766778
62,0.16185181
63,0.14812384
64,0.14610332
65,0.13884331
66,0.13619564
67,0.13091866
68,0.12183295
69,0.1182147
70,0.11701716
71,0.11294516
72,0.10887341
73,0.10554002
74,0.10124036
75,0.095866265
76,0.090732958
77,0.089007366
78,0.083838472
79,0.081806796
80,0.0803977
81,0.077606041
82,0.075417688
83,0.073149505
84,0.070088384
85,0.067924077
86,0.065804422
87,0.065161996
88,0.063253665
89,0.062293574
90,0.060973168
91,0.05920395
92,0.055644661
93,0.054496777
94,0.052789945
95,0.052355917
96,0.049747186
97,0.049111072
98,0.048267118
99,0.047765408
100,0.04502525
101,0.044186594
102,0.042720771
103,0.041917997
104,0.040246795
105,0.038853101
106,0.037111422
107,0.036502324
108,0.035677942
109,0.034996099
110,0.03462029
111,0.033033841
112,0.032252736
113,0.031407525
114,0.030956494
115,0.030403586
116,0.029210686
117,0.028536579
118,0.027954493
119,0.027125225
120,0.026888342
121,0.026426373
122,0.025596067
123,0.025365996
124,0.024709919
125,0.024415073
126,0.023572359
127,0.023091031
128,0.022484644
129,0.021629864
130,0.02099122
131,0.020123703
132,0.019825417
133,0.019196029
134,0.01883757
135,0.018601515
