mode,mu,sr_weight,plain_weight,residual_power
1,1270177.1,1,1,4.8716641e-05
2,385653.77,1,0.30362204,0.00025096796
3,221133.03,1,0.17409621,7.0934385e-05
4,145905.79,1,0.11487043,0.00033119811
5,115300.15,1,0.090774857,6.233617e-05
6,106570.88,1,0.083902373,2.6178555e-06
7,91099.158,1,0.071721617,3.5619625e-06
8,55278.378,1,0.043520212,0.00013718573
9,35624.971,1,0.028047246,6.608299e-05
10,26157.756,1,0.020593786,2.1488848e-05
11,17147.442,1,0.01350004,4.9278376e-05
12,15794.735,1,0.012435065,7.8256792e-05
13,7453.2102,1,0.0058678511,1.5202571e-08
14,6234.4698,1,0.0049083467,4.9011701e-06
15,5008.0081,1,0.0039427636,9.7410963e-06
16,4707.3211,1,0.0037060351,2.6692785e-06
17,4236.6153,1,0.0033354524,1.4995337e-06
18,3800.6311,1,0.0029922056,8.6960022e-07
19,3497.8496,1,0.0027538282,6.7985582e-06
20,3308.2899,1,0.0026045894,2.5876973e-05
21,3078.4005,1,0.0024235994,0.00020678154
22,2699.1824,1,0.0021250441,3.4306021e-09
23,2417.2573,1,0.0019030868,9.4243403e-06
24,2094.3846,1,0.0016488917,6.533219e-05
25,1897.4588,1,0.0014938537,2.0062896e-06
26,1790.2258,1,0.00140943,6.1899825e-06
27,1600.0634,1,0.0012597168,8.9038879e-08
28,1505.2651,1,0.0011850828,2.2043883e-05
29,1461.7453,1,0.00115082,0.00022384729
30,1390.5619,1,0.0010947779,0.0001129264
31,1312.4526,1,0.0010332831,1.5002967e-05
32,1298.8791,1,0.0010225968,6.6576773e-05
33,1117.8128,1,0.00088004481,1.2637293e-05
34,1069.9703,1,0.00084237882,3.5247678e-05
35,1057.5321,1,0.00083258631,1.7781844e-05
36,1001.4061,1,0.00078839878,8.691075e-07
37,911.36174,1,0.00071750759,4.1893653e-05
38,897.22805,1,0.00070638025,6.8937821e-06
39,812.60724,1,0.00063975899,5.7310035e-05
40,752.98127,1,0.00059281596,0.00015719145
41,697.75306,1,0.00054933524,1.0826505e-06
42,648.73081,1,0.00051074042,2.8037767e-07
43,618.09211,1,0.00048661883,0.00027678611
44,577.57726,1,0.00045472182,2.2309594e-08
45,512.81676,1,0.00040373641,4.5855789e-05
46,498.00427,1,0.00039207466,0.00011980022
47,485.5261,1,0.0003822507,2.2852392e-05
48,476.11609,1,0.00037484228,9.8071767e-05
49,442.09091,1,0.00034805453,0.0001077105
50,404.83334,1,0.00031872196,1.4055118e-05
51,382.32626,1,0.00030100232,0.00053943783
52,356.63748,1,0.00028077775,4.443837e-07
53,333.90696,1,0.0002628822,9.3281445e-06
54,313.3142,1,0.00024666969,1.8918977e-05
55,307.53654,1,0.00024212099,3.2402996e-05
56,298.99245,1,0.00023539429,5.2884356e-05
57,287.85183,1,0.00022662337,9.9017359e-06
58,262.04795,1,0.0002063082,1.9858423e-05
59,255.22129,1,0.00020093362,1.9914409e-07
60,247.2638,1,0.00019466875,3.7039127e-06
61,239.24193,1,0.0001883532,4.7330384e-06
62,229.38045,1,0.00018058934,5.8954245e-05
63,211.89022,1,0.00016681943,3.6198474e-05
64,207.57893,1,0.00016342518,1.360252e-05
65,198.99213,1,0.00015666486,1.2008328e-05
66,196.14731,1,0.00015442516,3.9487649e-06
67,186.71694,1,0.00014700071,0.00014795011
68,179.27209,1,0.00014113944,5.1195903e-07
69,164.8658,1,0.00012979749,6.1091269e-06
70,157.01346,1,0.0001236154,1.1026789e-05
71,156.34967,1,0.00012309281,3.8765849e-05
72,153.24556,1,0.00012064896,1.9223872e-06
73,151.674,1,0.00011941169,1.9706265e-06
74,143.89195,1,0.00011328495,0.00012749704
75,142.22834,1,0.0001119752,7.2948519e-05
76,135.33431,1,0.00010654759,3.4281566e-07
77,127.27696,1,0.0001002041,4.3621748e-07
78,125.68153,1,9.8948033e-05,5.0836673e-08
79,123.82972,1,9.7490121e-05,6.2194068e-05
80,116.95812,1,9.2080165e-05,0.00020475884
81,111.13455,1,8.7495314e-05,5.2459165e-05
82,107.66073,1,8.476041e-05,3.6098874e-07
83,105.25739,1,8.2868278e-05,2.8943553e-06
84,100.36477,1,7.9016357e-05,9.5224286e-07
85,97.589731,1,7.6831592e-05,2.8147395e-06
86,94.999472,1,7.4792302e-05,3.8621074e-05
87,90.590719,1,7.1321328e-05,0.00010783182
88,90.133152,1,7.0961088e-05,1.7808687e-08
89,85.869489,1,6.7604341e-05,3.5839399e-07
