r,J_learned,J_learned_std,count
15.246647,95.092474,3.0461496,3072
19.351416,95.828301,2.8770987,3072
21.478366,95.989378,3.0368409,3072
23.057369,96.23077,2.9756687,3072
24.409177,96.501189,3.0341658,3072
25.598691,96.593617,3.1141313,3072
26.694537,96.66887,2.9938334,3072
27.729107,96.703621,3.0192648,3072
28.716495,96.782027,3.0835262,3072
29.679954,96.798242,3.0795967,3072
30.627655,96.891868,3.0869388,3072
31.54689,96.961413,3.1035942,3072
32.474023,96.971164,3.0830376,3072
33.41636,97.085043,3.1137786,3072
34.367619,97.040975,3.1496938,3072
35.323916,96.997227,3.1178391,3072
36.302406,97.045826,3.2033227,3072
37.297806,97.007393,3.2056084,3072
38.27703,96.967567,3.1259962,3072
39.314624,97.034808,3.2045847,3072
40.388335,96.992342,3.1131113,3072
41.456183,96.934531,3.1325167,3072
42.559263,97.081157,3.1624849,3072
43.682823,96.906949,3.1042184,3072
44.848704,97.065455,3.1260103,3072
46.033871,97.109467,3.0678412,3072
47.225395,97.040761,3.0882427,3072
48.439002,97.10117,2.9662516,3072
49.638999,97.081322,2.9857986,3072
50.886382,97.042182,2.9696115,3072
52.163389,97.16692,3.0426442,3072
53.489335,97.28559,2.9283545,3072
54.90304,97.406631,2.8851271,3072
56.360516,97.568751,2.8908253,3072
57.976276,97.777922,2.88624,3072
59.759328,97.905069,2.9256282,3072
61.745966,98.163837,2.774944,3072
64.081883,98.409865,2.7527448,3072
67.127304,98.823808,2.7070442,3072
73.446636,99.923087,2.6379351,3072
