mode,mu,sr_weight,plain_weight,residual_power
1,586457.08,1,1,5.9785759e-05
2,527718.04,1,0.89984084,0.00020702423
3,382842.77,1,0.65280612,3.4738976e-05
4,74890.071,1,0.12769915,3.0917989e-06
5,34472.147,1,0.05878034,9.5048529e-05
6,30695.483,1,0.052340544,7.9794288e-06
7,24419.834,1,0.041639593,2.7801078e-05
8,22728.481,1,0.038755574,2.6550762e-05
9,10249.091,1,0.017476284,8.7342499e-05
10,7034.1339,1,0.011994286,2.5850013e-05
11,6568.44,1,0.011200206,1.1933638e-05
12,5655.4592,1,0.0096434322,3.1916683e-06
13,4580.0347,1,0.0078096672,0.000111256
14,3341.6728,1,0.0056980687,4.4418224e-06
15,2613.9302,1,0.0044571552,5.2731766e-06
16,2441.3513,1,0.0041628815,3.7960062e-05
17,1981.652,1,0.0033790231,8.0338205e-05
18,1880.219,1,0.003206064,7.6075507e-08
19,1848.5214,1,0.0031520149,1.7725181e-05
20,1757.6236,1,0.0029970199,4.1847365e-05
21,1342.7706,1,0.0022896315,3.682698e-05
22,883.19426,1,0.0015059828,1.4722743e-08
23,670.13231,1,0.0011426792,5.649242e-06
24,566.44472,1,0.00096587583,9.5960945e-05
25,496.3311,1,0.00084632127,1.0643145e-05
26,461.36912,1,0.00078670568,3.3943547e-05
27,437.8841,1,0.00074666009,1.4011134e-05
28,402.42404,1,0.0006861952,2.0746611e-05
29,315.43897,1,0.00053787221,6.127695e-05
30,261.60084,1,0.00044606988,3.9285019e-06
31,226.31728,1,0.00038590596,7.6866121e-05
32,221.32236,1,0.00037738885,5.4083738e-05
33,185.28389,1,0.00031593768,1.0603046e-05
34,178.3673,1,0.00030414383,3.5329756e-06
35,155.7286,1,0.00026554135,4.0716163e-06
36,153.95571,1,0.0002625183,4.2324053e-06
37,144.66076,1,0.00024666896,2.8671525e-06
38,131.56262,1,0.00022433461,1.6474659e-06
39,130.63672,1,0.00022275581,0.00015934142
40,120.09703,1,0.000204784,5.4494125e-05
41,112.1252,1,0.00019119079,9.2911842e-05
42,99.102445,1,0.00016898499,2.3655404e-05
43,89.342648,1,0.00015234303,0.00024193104
44,80.096794,1,0.00013657742,7.0828838e-05
45,78.066018,1,0.00013311463,9.9905566e-06
46,71.323421,1,0.00012161746,1.4037459e-05
