r,J_learned,J_learned_std,count
2.5628338,22.086343,1.8395706,3072
3.6425821,22.463262,1.7629761,3072
4.222889,22.571678,1.7630766,3072
4.680681,22.672166,1.762563,3072
5.0694255,22.755601,1.7984611,3072
5.4120295,22.835176,1.7604612,3072
5.7210017,22.852049,1.7869072,3072
6.0110029,22.915545,1.8015937,3072
6.2896874,22.915759,1.8103066,3072
6.5596379,22.95558,1.8250745,3072
6.8176247,23.000148,1.8044065,3072
7.0648919,23.074611,1.8012053,3072
7.3092147,22.990346,1.8003704,3072
7.5594763,23.047424,1.8003817,3072
7.8013809,23.070396,1.7808688,3072
8.0422281,23.132195,1.7880878,3072
8.2809646,23.125506,1.7750435,3072
8.5186857,23.097635,1.7700671,3072
8.7561767,23.185066,1.8021947,3072
8.9941812,23.185592,1.7659688,3072
9.2373717,23.102664,1.7376642,3072
9.4771752,23.144359,1.7514176,3072
9.7208516,23.178852,1.7695159,3072
9.9758867,23.20228,1.7358599,3072
10.233463,23.273999,1.6797506,3072
10.502323,23.202567,1.6939738,3072
10.773638,23.308982,1.6701034,3072
11.053681,23.286446,1.6782527,3072
11.337704,23.298294,1.6830036,3072
11.628683,23.399276,1.6468142,3072
11.93666,23.36331,1.6610502,3072
12.263295,23.489822,1.6317251,3072
12.607357,23.586201,1.6155255,3072
12.980151,23.683091,1.592664,3072
13.392074,23.748685,1.5695621,3072
13.844179,23.851857,1.5368874,3072
14.365448,24.000675,1.5262093,3072
15.01318,24.122532,1.4648232,3072
15.909478,24.371848,1.4404265,3072
17.783172,24.964615,1.3854793,3072
