mode,mu,sr_weight,plain_weight,residual_power
1,168612.82,1,1,0.68979373
2,3716.019,1,0.022038769,0.34216075
3,2984.4434,1,0.017699979,0.066475909
4,1629.4714,1,0.0096639825,0.040141108
5,1484.1939,1,0.0088023785,0.26338143
6,1272.8321,1,0.0075488453,0.14989409
7,494.25638,1,0.0029313096,0.00078215984
8,462.55572,1,0.002743301,0.051795789
9,409.16385,1,0.0024266473,0.024845081
10,381.40489,1,0.0022620159,0.60956211
11,241.45692,1,0.0014320199,0.15803007
12,214.84993,1,0.0012742206,0.17363272
13,192.83739,1,0.0011436698,0.38584691
14,183.44402,1,0.0010879601,0.17324942
15,157.97545,1,0.00093691246,0.0016701655
16,128.69586,1,0.00076326259,0.20935575
17,93.547163,1,0.00055480457,0.31989236
18,81.202365,1,0.00048159069,0.28659497
19,76.98146,1,0.00045655757,0.0002740573
20,71.655534,1,0.00042497085,0.65450327
21,57.435218,1,0.00034063375,0.027957899
22,52.14522,1,0.00030926011,0.0089649543
23,50.849529,1,0.0003015757,0.0018049478
24,48.684325,1,0.00028873442,0.71261558
25,43.848028,1,0.00026005156,0.15218949
26,40.711405,1,0.00024144905,0.82307615
27,38.065574,1,0.00022575729,0.028815331
28,36.452925,1,0.00021619308,0.010994143
29,35.874592,1,0.00021276313,0.25082539
30,31.212803,1,0.00018511524,1.3475221
31,30.403099,1,0.00018031309,0.047104299
32,29.076044,1,0.00017244266,0.11512428
33,28.085793,1,0.00016656974,1.0034028
34,26.077856,1,0.00015466117,0.16814183
35,24.144641,1,0.00014319576,0.084950394
36,23.786509,1,0.00014107177,0.0060445363
37,20.776892,1,0.00012322249,0.74306778
38,17.405286,1,0.00010322635,0.5805378
39,17.140345,1,0.00010165505,0.1765519
40,15.982513,1,9.4788243e-05,0.064994622
41,14.901718,1,8.8378321e-05,0.0021628789
42,14.562764,1,8.6368069e-05,0.0085150613
43,13.728643,1,8.1421108e-05,1.4235589
44,12.748269,1,7.5606761e-05,0.54836492
45,12.351436,1,7.3253246e-05,0.22098344
46,11.443899,1,6.7870872e-05,0.042996653
47,10.865449,1,6.444023e-05,0.012366337
48,10.520085,1,6.2391966e-05,0.3517527
49,10.249525,1,6.078734e-05,0.51417163
50,9.2408681,1,5.4805252e-05,0.073280509
51,9.2159502,1,5.465747e-05,0.30310558
52,8.8291258,1,5.2363312e-05,0.44560962
53,8.2507886,1,4.8933341e-05,0.0039064137
54,8.2254977,1,4.8783347e-05,0.31826443
55,7.6472877,1,4.5354129e-05,0.34865039
56,7.5124656,1,4.4554534e-05,0.027870352
57,7.2230181,1,4.2837894e-05,0.00029590356
58,7.124993,1,4.2256531e-05,0.03511861
59,7.0389627,1,4.1746308e-05,0.28025812
60,6.9094226,1,4.0978038e-05,0.0011948622
61,6.4863661,1,3.8468997e-05,0.44822233
62,6.0518623,1,3.5892065e-05,0.52106581
63,5.7876071,1,3.4324834e-05,0.026003421
64,5.6893924,1,3.3742348e-05,0.40023051
65,5.4159204,1,3.2120455e-05,0.0015301464
66,5.2843215,1,3.1339975e-05,0.57502034
67,5.0600848,1,3.0010084e-05,0.071611166
68,4.8084588,1,2.8517753e-05,0.035823997
69,4.7066505,1,2.7913954e-05,0.39576976
70,4.4570687,1,2.6433747e-05,0.033455597
71,4.3543136,1,2.5824333e-05,0.1896319
72,4.2732316,1,2.5343456e-05,0.0006966852
73,4.1004786,1,2.4318902e-05,0.39669841
74,4.0034552,1,2.374348e-05,0.11084489
75,3.9060511,1,2.3165802e-05,0.051123325
76,3.696032,1,2.1920231e-05,0.018048217
77,3.5015023,1,2.0766525e-05,0.42708594
78,3.4127385,1,2.0240089e-05,0.0061587339
79,3.2687178,1,1.9385939e-05,0.33544518
80,3.1474109,1,1.8666498e-05,0.046677322
81,2.9621492,1,1.7567758e-05,0.020528786
82,2.9025701,1,1.7214409e-05,0.025407438
83,2.8293695,1,1.6780275e-05,0.21936865
84,2.7316232,1,1.6200566e-05,0.39028501
85,2.6477932,1,1.5703392e-05,0.15034576
86,2.616613,1,1.551847e-05,0.0099386667
87,2.5851794,1,1.5332046e-05,0.041376336
88,2.5158516,1,1.492088e-05,0.12075124
89,2.4401097,1,1.4471674e-05,0.12122201
90,2.3225396,1,1.3774395e-05,0.020506763
91,2.2268295,1,1.3206763e-05,0.0036631501
92,2.1683133,1,1.2859718e-05,0.014613394
93,2.1461385,1,1.2728205e-05,0.0043541869
94,2.0763224,1,1.2314143e-05,0.45136611
95,2.0153335,1,1.1952433e-05,0.23556426
96,1.9867673,1,1.1783014e-05,0.022399505
97,1.9341603,1,1.1471016e-05,0.14169461
98,1.9082356,1,1.1317263e-05,0.32898262
99,1.8453609,1,1.0944369e-05,0.16402927
100,1.8252531,1,1.0825115e-05,0.19167629
101,1.7271227,1,1.0243128e-05,0.30995528
102,1.6649968,1,9.8746751e-06,0.065421826
103,1.6345508,1,9.6941076e-06,0.74642552
104,1.5765164,1,9.3499198e-06,0.67255102
105,1.5664315,1,9.2901092e-06,0.40831735
106,1.5428346,1,9.1501616e-06,0.22583623
107,1.5170421,1,8.9971931e-06,0.69956067
108,1.4746794,1,8.7459509e-06,0.10835725
109,1.4337633,1,8.5032876e-06,0.010626155
110,1.3640862,1,8.0900504e-06,0.033987574
111,1.3509803,1,8.0123228e-06,0.014837156
112,1.3431261,1,7.9657413e-06,0.020577031
113,1.3150876,1,7.7994518e-06,0.04392114
114,1.3037012,1,7.7319221e-06,0.094424657
115,1.2877433,1,7.6372798e-06,0.06536474
116,1.2151121,1,7.2065226e-06,0.32274779
117,1.1923549,1,7.0715554e-06,0.015838624
118,1.1893544,1,7.0537602e-06,0.051499578
119,1.1607369,1,6.8840371e-06,0.49455821
120,1.1073557,1,6.5674466e-06,2.0185821
121,1.0638334,1,6.3093266e-06,1.3187388e-05
122,1.0421207,1,6.1805543e-06,1.7247246
123,1.0035294,1,5.9516792e-06,0.055071789
124,0.99924003,1,5.9262399e-06,0.40471467
125,0.98453964,1,5.8390556e-06,0.12874238
126,0.96114555,1,5.7003112e-06,0.0030363027
127,0.93474207,1,5.5437188e-06,0.13032224
128,0.92224687,1,5.469613e-06,0.026433337
129,0.90317746,1,5.3565171e-06,1.507487
130,0.89261442,1,5.2938704e-06,0.45935966
131,0.87543041,1,5.1919564e-06,0.12758219
132,0.83795059,1,4.9696731e-06,0.25065405
133,0.83040657,1,4.9249314e-06,0.11657964
134,0.82427529,1,4.8885683e-06,0.22030962
135,0.81311845,1,4.8223999e-06,0.48752239
136,0.7909505,1,4.6909274e-06,0.0013085231
137,0.77825618,1,4.6156406e-06,1.3422434
138,0.7557547,1,4.48219e-06,0.013394508
139,0.74375542,1,4.4110253e-06,0.49883168
140,0.72686061,1,4.3108264e-06,0.28914806
141,0.72640428,1,4.3081201e-06,0.16654113
142,0.70869058,1,4.2030646e-06,0.0011581954
143,0.69378822,1,4.1146825e-06,0.49946918
144,0.68846063,1,4.0830859e-06,0.011990996
145,0.67872104,1,4.0253228e-06,0.24842924
146,0.66830064,1,3.9635221e-06,0.02198339
