mode,mu,sr_weight,plain_weight,residual_power
1,127124.05,1,1,0.0011877518
2,3137.1307,1,0.024677712,0.2184398
3,3037.4751,1,0.023893787,0.012003285
4,2484.8303,1,0.0195465,0.10606213
5,1578.4147,1,0.012416334,0.00058087899
6,834.91427,1,0.0065677128,4.3860023e-05
7,452.3056,1,0.003557986,0.22692257
8,418.70786,1,0.003293695,0.00026111993
9,390.42769,1,0.0030712338,0.05088681
10,328.6781,1,0.002585491,0.015075974
11,209.65753,1,0.0016492357,0.013876694
12,181.61552,1,0.001428648,0.014722351
13,166.55524,1,0.0013101788,0.53691988
14,130.63065,1,0.001027584,0.049482565
15,116.22034,1,0.00091422779,0.00051892326
16,104.61676,1,0.0008229502,0.52895458
17,86.167225,1,0.00067782,0.066812626
18,75.426856,1,0.00059333269,0.003756374
19,65.418149,1,0.00051460087,0.0013271535
20,52.264306,1,0.00041112838,0.0032974017
21,44.838309,1,0.00035271303,0.32714612
22,40.87288,1,0.00032151964,0.0021628993
23,38.859236,1,0.00030567965,0.046814061
24,34.471529,1,0.00027116449,0.014666232
25,33.575443,1,0.00026411558,0.33956905
26,29.595422,1,0.00023280741,0.077727628
27,26.006312,1,0.00020457429,0.12005962
28,23.75921,1,0.00018689784,0.16021389
29,21.814329,1,0.00017159875,0.32528357
30,18.760578,1,0.00014757693,0.0039412628
31,17.041173,1,0.00013405152,7.828275e-06
32,16.282398,1,0.00012808275,0.00044936633
33,15.933523,1,0.00012533838,0.018704727
34,14.709819,1,0.00011571232,0.022069459
35,13.327567,1,0.00010483907,0.0021540105
36,12.094983,1,9.5143154e-05,0.13091243
37,10.982669,1,8.6393318e-05,0.08248461
38,10.551715,1,8.3003294e-05,0.069150694
39,9.9465509,1,7.8242872e-05,0.21259549
40,9.0031748,1,7.0821962e-05,0.00058064632
41,8.9378056,1,7.0307746e-05,0.041867183
42,7.9963672,1,6.2902079e-05,0.11123664
43,7.3142571,1,5.7536374e-05,0.17133171
44,6.9686047,1,5.4817358e-05,0.28683665
45,6.8137537,1,5.3599248e-05,0.11281985
46,6.5391996,1,5.1439515e-05,0.0075700518
47,6.0637521,1,4.7699487e-05,0.1715797
48,5.8583324,1,4.6083587e-05,0.048174203
49,5.6869137,1,4.4735151e-05,0.021920776
50,5.3499881,1,4.2084783e-05,0.001737895
51,5.0832672,1,3.9986667e-05,0.53862991
52,4.6881522,1,3.6878562e-05,0.023930929
53,4.6156222,1,3.6308016e-05,0.037356436
54,4.3220246,1,3.399848e-05,0.049964267
55,4.2045815,1,3.3074634e-05,0.17601701
56,4.0737403,1,3.2045394e-05,0.080453053
57,3.9885125,1,3.1374963e-05,0.13496563
58,3.5670674,1,2.8059736e-05,0.0035802436
59,3.4474767,1,2.7118996e-05,0.0027396741
60,3.2399048,1,2.5486166e-05,0.084809409
61,3.1095244,1,2.4460551e-05,0.1084491
62,2.9944722,1,2.3555512e-05,0.0027895939
63,2.9230689,1,2.299383e-05,0.18728382
64,2.7797555,1,2.186648e-05,0.00021824937
65,2.4744446,1,1.9464803e-05,0.021755663
66,2.4325977,1,1.9135621e-05,0.32550192
67,2.2456182,1,1.7664778e-05,0.27670942
68,2.1757654,1,1.7115293e-05,0.20501959
69,2.1003332,1,1.6521919e-05,0.050941457
70,2.0458631,1,1.6093439e-05,3.7525013e-07
71,1.9304829,1,1.5185819e-05,0.10115159
72,1.8223458,1,1.4335177e-05,0.073489029
73,1.7447185,1,1.3724535e-05,0.0059949104
74,1.669521,1,1.3133007e-05,0.026924247
75,1.6315224,1,1.2834097e-05,0.0048768278
76,1.5890893,1,1.2500304e-05,0.020457011
77,1.5656083,1,1.2315595e-05,0.0080475663
78,1.4868927,1,1.1696392e-05,0.064942993
79,1.4679713,1,1.154755e-05,0.035116997
80,1.4008188,1,1.1019306e-05,0.022747178
81,1.3368618,1,1.0516198e-05,0.0075199408
82,1.2940114,1,1.0179123e-05,5.3884502e-05
83,1.2561387,1,9.8812043e-06,0.00014976851
84,1.2212837,1,9.6070233e-06,0.0032812196
85,1.1802372,1,9.2841376e-06,0.2033359
86,1.1209564,1,8.8178156e-06,0.074617066
87,1.0946719,1,8.6110525e-06,0.034975639
88,1.0452143,1,8.2220029e-06,0.070636634
89,1.031109,1,8.1110457e-06,0.021605255
90,1.004933,1,7.9051366e-06,0.99574693
91,0.99398549,1,7.8190198e-06,0.13130517
92,0.93336597,1,7.3421666e-06,0.004559739
93,0.91064743,1,7.163455e-06,0.018911655
94,0.87378096,1,6.8734511e-06,0.054862614
95,0.85137722,1,6.6972159e-06,0.048371707
96,0.84033428,1,6.6103484e-06,0.3031103
97,0.7820679,1,6.1520058e-06,0.017843333
98,0.76136257,1,5.9891307e-06,0.0063012467
99,0.74004128,1,5.8214104e-06,0.15975092
100,0.72406389,1,5.6957269e-06,0.12212915
101,0.72021212,1,5.6654277e-06,0.18516664
102,0.69884379,1,5.4973372e-06,0.010592957
103,0.66040856,1,5.194993e-06,0.0069397044
104,0.64632489,1,5.0842061e-06,0.0011395585
105,0.63064496,1,4.9608626e-06,0.15024439
106,0.61064125,1,4.8035068e-06,0.12410793
107,0.60155997,1,4.7320704e-06,0.50271121
108,0.59048043,1,4.6449151e-06,0.24995002
109,0.56134158,1,4.4156992e-06,0.004340744
110,0.55437757,1,4.360918e-06,0.36796469
111,0.53474957,1,4.2065176e-06,0.0062950508
112,0.53300877,1,4.1928239e-06,0.014080252
113,0.51611918,1,4.0599648e-06,0.48493377
114,0.49041198,1,3.8577434e-06,0.10065757
115,0.47314316,1,3.7219011e-06,0.033156817
116,0.46800338,1,3.68147e-06,0.15732103
117,0.45092104,1,3.5470946e-06,0.014622627
118,0.44609021,1,3.5090937e-06,0.097671896
119,0.43865228,1,3.4505845e-06,0.13988734
120,0.42962287,1,3.3795561e-06,0.028678911
121,0.40479393,1,3.1842434e-06,0.0051714546
122,0.4011571,1,3.1556349e-06,0.042026744
123,0.39534263,1,3.1098964e-06,0.21493959
124,0.38801728,1,3.0522727e-06,0.28617257
125,0.37585877,1,2.9566299e-06,0.32793786
126,0.36919309,1,2.9041954e-06,0.010668423
127,0.35884289,1,2.8227773e-06,0.44949802
128,0.34656273,1,2.7261775e-06,0.13294386
129,0.32658605,1,2.5690343e-06,0.076391223
130,0.31603065,1,2.486002e-06,0.60436571
131,0.31467815,1,2.4753628e-06,0.47841752
132,0.30976877,1,2.436744e-06,5.3768191e-05
133,0.30679867,1,2.4133802e-06,0.1466973
134,0.29685921,1,2.3351931e-06,0.061067373
135,0.2932731,1,2.3069836e-06,0.015011598
136,0.2891594,1,2.2746239e-06,0.0035145942
137,0.28484693,1,2.2407005e-06,0.67478184
138,0.28221299,1,2.219981e-06,0.099081969
139,0.27162672,1,2.1367059e-06,0.039551869
140,0.26572831,1,2.0903071e-06,0.029840522
141,0.26188988,1,2.0601127e-06,0.33036449
142,0.25277647,1,1.9884237e-06,0.56310482
143,0.25003271,1,1.9668403e-06,0.13085951
144,0.24381882,1,1.9179598e-06,0.38023796
145,0.24217558,1,1.9050335e-06,0.075589158
146,0.22812264,1,1.7944884e-06,0.45911652
147,0.22507275,1,1.770497e-06,8.1056384e-05
148,0.22274574,1,1.7521919e-06,0.34600942
149,0.21597191,1,1.6989067e-06,0.15002432
150,0.20953867,1,1.6483007e-06,0.01987546
