index,eigenvalue
1,2.8096735e+106
2,2.237556e+103
3,7.0539154e+100
4,2.845087e+100
5,6.9507129e+99
6,4.8863121e+99
7,3.4645213e+99
8,9.0641423e+98
9,3.8503396e+98
10,2.4911466e+98
11,2.0629826e+98
12,3.7647819e+97
13,1.4177803e+97
14,1.017203e+97
15,3.7991716e+96
16,2.4598145e+96
17,2.0617173e+96
18,1.1959681e+96
19,4.648681e+95
20,4.1985263e+95
21,3.5164953e+95
22,1.8112515e+95
23,1.2690715e+95
24,1.0680215e+95
25,6.7034148e+94
26,3.304187e+94
27,1.2707066e+94
28,1.1062755e+94
29,7.2294826e+93
30,6.3423915e+93
31,5.6062962e+93
32,4.7040883e+93
33,3.5751174e+93
34,2.7130023e+93
35,2.5241299e+93
36,1.6261635e+93
37,1.5318951e+93
38,1.2116461e+93
39,8.80449e+92
40,4.151511e+92
41,3.0422787e+92
42,2.1649148e+92
43,1.5478987e+92
44,8.7887968e+91
45,8.2310415e+91
46,6.0183506e+91
47,3.2529151e+91
48,2.4076136e+91
49,1.8138761e+91
50,1.1841767e+91
51,1.108592e+91
52,6.6847096e+90
53,5.3580944e+90
54,4.865698e+90
55,1.9371652e+90
56,1.6593115e+90
57,1.2294473e+90
58,1.0724878e+90
59,5.7082053e+89
60,4.5377721e+89
61,2.3856051e+89
62,7.5842496e+88
63,2.8475175e+88
64,2.1976814e+88
65,1.3717122e+88
66,9.6078234e+87
67,8.7355654e+87
68,2.5552007e+87
69,1.6605426e+87
70,1.2487126e+87
71,4.162328e+86
72,1.9064831e+86
73,5.2627194e+85
74,3.0182958e+85
75,1.5517457e+85
76,9.9263173e+84
77,1.2300895e+76
