r,J_learned,J_learned_std,count
59.24511,2.9851114e+54,5.211968e+53,29
102.08672,2.7804311e+54,4.1926658e+53,29
127.56067,3.0396791e+54,4.4769955e+53,29
152.10874,3.0619133e+54,4.2511862e+53,29
181.61647,2.7658987e+54,5.6296936e+53,29
206.13653,2.8603654e+54,4.3678415e+53,29
223.75615,2.8217338e+54,4.7288327e+53,28
241.44366,2.7636774e+54,3.4937227e+53,29
259.28302,2.8461794e+54,4.9087265e+53,29
276.47214,2.7874888e+54,4.4072018e+53,29
293.90363,2.7559944e+54,4.2745588e+53,29
310.82565,2.8034462e+54,4.3562022e+53,29
328.25045,2.8613218e+54,5.6636133e+53,29
345.79651,2.7494119e+54,4.3687507e+53,28
359.0061,2.9733305e+54,3.8318799e+53,29
374.92052,2.8397218e+54,4.1129721e+53,29
389.73328,2.8558128e+54,3.5150811e+53,29
399.97795,2.8231273e+54,3.83883e+53,29
414.62963,2.7646974e+54,3.6893744e+53,29
427.85252,2.8868305e+54,3.4242078e+53,28
443.13722,2.7085559e+54,4.0527181e+53,29
459.71175,2.9216635e+54,3.886841e+53,29
472.80601,2.7156423e+54,4.655615e+53,29
486.3915,2.8068135e+54,3.6868575e+53,29
499.52903,2.8743994e+54,3.3838552e+53,29
514.87906,3.0917072e+54,3.9523857e+53,29
531.37201,3.0314751e+54,3.9666391e+53,28
543.36667,3.0374343e+54,3.7347875e+53,29
558.77194,2.9941821e+54,3.5215568e+53,29
575.66251,3.114589e+54,4.3494093e+53,29
592.26954,3.0017227e+54,3.2245149e+53,29
606.34112,3.0562379e+54,3.8567179e+53,29
619.67996,2.9839649e+54,3.4023308e+53,29
635.43855,3.127934e+54,3.9898586e+53,28
652.03907,3.1232915e+54,4.5022124e+53,29
666.16347,3.2463993e+54,4.0836812e+53,29
680.49486,3.1474879e+54,3.9110911e+53,29
704.59597,3.1730015e+54,4.3536816e+53,29
725.04964,3.0046192e+54,4.5796161e+53,29
741.76665,3.051228e+54,5.2188308e+53,29
