r,J_learned,J_learned_std,count
0.44242996,10.653837,0.78714217,3072
0.73040112,10.792071,0.81153066,3072
0.89574098,10.883527,0.80796688,3072
1.0212736,10.894374,0.82001359,3072
1.1242769,10.905917,0.81910251,3072
1.2189678,10.984423,0.81797833,3072
1.3054143,10.962435,0.82909673,3072
1.3873162,10.984124,0.84818589,3072
1.4645731,10.997356,0.8370243,3072
1.5364032,11.01541,0.84835474,3072
1.6054991,11.01825,0.84646744,3072
1.6730417,11.051798,0.81996864,3072
1.7379035,11.058613,0.86625804,3072
1.8019496,11.024004,0.85988751,3072
1.8663,11.039716,0.82240524,3072
1.9287272,11.07348,0.83955108,3072
1.9895435,11.085439,0.81900559,3072
2.0509245,11.090148,0.82921086,3072
2.1127419,11.108535,0.82377487,3072
2.1740571,11.102836,0.82005964,3072
2.23438,11.104951,0.80725926,3072
2.2947723,11.125786,0.7976717,3072
2.3565634,11.13955,0.81303208,3072
2.4185222,11.211718,0.7773362,3072
2.4829202,11.184307,0.81113047,3072
2.5515538,11.220652,0.79108086,3072
2.621569,11.247707,0.78564756,3072
2.6923199,11.236174,0.77717295,3072
2.7641319,11.273952,0.75946398,3072
2.8397378,11.290747,0.77370098,3072
2.9199289,11.344273,0.77768565,3072
3.0053517,11.350338,0.75950643,3072
3.0952453,11.379171,0.75057288,3072
3.1944444,11.451932,0.73661275,3072
3.3032568,11.463813,0.74292488,3072
3.426612,11.51552,0.72009052,3072
3.5712496,11.602989,0.71777148,3072
3.7535677,11.709042,0.68252919,3072
4.0068808,11.837663,0.67455222,3072
4.5563674,12.159002,0.66995929,3072
