mode,mu,sr_weight,plain_weight,residual_power
1,73603.788,1,1,0.0069288846
2,35901.33,1,0.4877647,0.017890749
3,29235.109,1,0.39719572,0.11616052
4,6716.2347,1,0.091248493,0.034337792
5,6235.5632,1,0.084717966,0.16780924
6,717.92992,1,0.0097539806,0.28640798
7,550.18634,1,0.0074749732,0.37568033
8,520.82071,1,0.0070760042,0.075980432
9,362.67222,1,0.0049273581,0.040030835
10,289.03838,1,0.0039269498,0.14516869
11,213.48448,1,0.0029004551,7.7518947e-05
12,161.65698,1,0.0021963133,0.45473661
13,142.797,1,0.0019400768,0.012438451
14,131.03881,1,0.001780327,0.12036851
15,112.23436,1,0.0015248449,0.58058864
16,105.51479,1,0.0014335511,0.017602823
17,91.240426,1,0.0012396159,0.035071348
18,84.873713,1,0.0011531161,0.22945576
19,74.116678,1,0.0010069683,0.0023138386
20,43.934824,1,0.00059690983,0.076113048
21,31.334089,1,0.000425713,0.1082077
22,24.950631,1,0.00033898569,0.38801446
23,18.646826,1,0.00025334057,0.019259818
24,11.457839,1,0.00015566915,0.097318456
25,9.2553581,1,0.00012574568,0.045632153
26,8.509065,1,0.00011560635,0.088003023
27,7.7752116,1,0.00010563603,0.075355831
28,7.7380212,1,0.00010513075,0.12044414
29,7.3540329,1,9.9913783e-05,0.0034539236
30,6.9833036,1,9.4876959e-05,0.00069202153
31,6.5540661,1,8.9045229e-05,0.053485185
32,6.0670968,1,8.2429138e-05,0.10181564
33,5.8296776,1,7.92035e-05,0.46316533
34,5.3413933,1,7.2569544e-05,0.048816053
35,5.1400484,1,6.983402e-05,0.20983239
36,4.3566008,1,5.91899e-05,0.076304377
37,4.2952638,1,5.8356559e-05,0.00355438
38,4.0762727,1,5.538129e-05,0.041349651
39,3.4116452,1,4.6351489e-05,0.3665944
40,3.1721333,1,4.309742e-05,0.010709457
41,3.0324476,1,4.1199614e-05,0.013004856
42,2.8192125,1,3.8302546e-05,0.0016394123
43,2.6796222,1,3.6406037e-05,0.053892397
44,2.2576886,1,3.0673538e-05,1.2520933
45,2.1703372,1,2.948676e-05,0.055070962
46,1.9583199,1,2.6606238e-05,0.015328163
47,1.8548531,1,2.5200511e-05,0.016703495
48,1.7669151,1,2.4005764e-05,0.067210421
49,1.7029901,1,2.3137261e-05,0.0046014879
50,1.5902891,1,2.1606077e-05,0.051886802
51,1.4990243,1,2.0366129e-05,0.51232037
52,1.4319024,1,1.9454195e-05,0.035320433
53,1.350827,1,1.8352683e-05,0.068193235
54,1.2252045,1,1.6645943e-05,0.2354855
55,1.157445,1,1.5725346e-05,0.95223448
56,1.0356458,1,1.407055e-05,0.089652008
57,1.0073971,1,1.3686757e-05,0.84978277
58,0.9840999,1,1.3370235e-05,0.025743858
59,0.97392322,1,1.3231971e-05,0.025210345
60,0.93109762,1,1.2650132e-05,0.0092011994
61,0.80514917,1,1.0938964e-05,0.48378921
62,0.75928344,1,1.031582e-05,0.014761762
