r,J_learned,J_learned_std,count
15.280894,100.97943,3.0302103,3072
19.47959,101.77757,2.955934,3072
21.548906,102.0313,2.9824695,3072
23.108995,102.17835,3.0516236,3072
24.468438,102.42569,3.0142075,3072
25.681605,102.5002,3.0012473,3072
26.76877,102.67477,3.0467528,3072
27.798931,102.68531,3.073556,3072
28.789659,102.80223,2.9929695,3072
29.772956,102.87054,2.9950769,3072
30.715087,102.86489,3.1453297,3072
31.65314,102.96624,3.1235184,3072
32.600491,102.90382,3.1190812,3072
33.546729,103.07441,3.08646,3072
34.511128,102.90762,3.1952749,3072
35.463959,102.91059,3.119847,3072
36.418396,103.03545,3.1845198,3072
37.43226,102.94176,3.174355,3072
38.445042,102.95993,3.1242069,3072
39.485896,102.901,3.1336988,3072
40.538998,102.9102,3.150245,3072
41.603442,102.90291,3.0951218,3072
42.726763,102.96879,3.0833787,3072
43.889513,102.89122,3.1340925,3072
45.061577,102.97013,3.0439475,3072
46.211722,103.01119,3.1219185,3072
47.404393,102.94792,3.0470926,3072
48.594526,102.93253,3.0552847,3072
49.801807,103.01885,3.1061514,3072
51.045454,103.0593,2.9589168,3072
52.336376,103.20232,2.9368823,3072
53.676304,103.29063,2.9344474,3072
55.063685,103.41842,2.904332,3072
56.541492,103.58403,2.8078346,3072
58.136615,103.64119,2.8788176,3072
59.874229,103.75683,2.7528598,3072
61.847899,104.02182,2.7502127,3072
64.186467,104.33737,2.724253,3072
67.303706,104.78077,2.6561053,3072
73.577721,105.80685,2.6647311,3072
