mode,mu,sr_weight,plain_weight,residual_power
1,77677.278,1,1,0.33876293
2,33855.405,1,0.43584696,0.038765451
3,27810.433,1,0.35802534,0.10018697
4,6465.4064,1,0.083234205,0.07862446
5,5081.5779,1,0.065419104,0.2198975
6,776.13986,1,0.009991852,0.83019779
7,586.79535,1,0.0075542729,0.080900625
8,520.53169,1,0.0067012093,0.082024969
9,314.18585,1,0.0040447588,0.17646119
10,270.63635,1,0.0034841122,0.16011252
11,222.92213,1,0.00286985,0.16765253
12,171.21809,1,0.0022042236,0.00026797055
13,155.70378,1,0.0020044958,0.0095057032
14,131.45126,1,0.0016922742,0.0056680716
15,121.12556,1,0.0015593435,0.75011302
16,109.79252,1,0.0014134444,0.22313101
17,96.800403,1,0.0012461869,0.11124659
18,89.445035,1,0.0011514955,0.12604004
19,86.64737,1,0.001115479,0.43786532
20,65.689951,1,0.00084567783,0.97852245
21,39.294179,1,0.00050586453,0.029039824
22,32.41453,1,0.00041729745,0.0018962758
23,20.357255,1,0.00026207477,0.57774102
24,11.411853,1,0.00014691366,3.2086917
25,9.817145,1,0.00012638374,0.099009125
26,8.5066296,1,0.00010951246,0.75794466
27,7.5768719,1,9.7542965e-05,0.026313933
28,7.3656768,1,9.4824086e-05,0.049984974
29,6.8978905,1,8.8801909e-05,0.19851607
30,6.5107479,1,8.3817921e-05,0.00057570954
31,6.020293,1,7.7503913e-05,0.1691462
32,5.964919,1,7.6791042e-05,0.13662993
33,5.1106696,1,6.5793624e-05,0.088335391
34,4.9831768,1,6.4152311e-05,0.065857855
35,4.4002885,1,5.6648336e-05,0.16784033
36,3.9530684,1,5.0890923e-05,0.24978033
37,3.5310204,1,4.5457572e-05,0.12596259
38,3.4716429,1,4.4693159e-05,0.18261774
39,2.8597545,1,3.6815844e-05,0.093903346
40,2.7992492,1,3.6036912e-05,4.282718
41,2.4216674,1,3.1176008e-05,2.2624382
42,2.3097966,1,2.9735808e-05,0.21725064
43,2.1136547,1,2.7210721e-05,0.029271663
44,1.9470557,1,2.5065963e-05,0.14256847
45,1.8973296,1,2.44258e-05,0.011294921
46,1.7396721,1,2.2396152e-05,0.04892153
47,1.6300898,1,2.0985414e-05,0.036086655
48,1.4367375,1,1.8496239e-05,0.46882244
49,1.3785854,1,1.7747602e-05,0.20807811
50,1.3664326,1,1.7591149e-05,0.23900198
51,1.3579618,1,1.7482098e-05,0.30252568
52,1.1911446,1,1.533453e-05,2.6408919
53,1.1635414,1,1.4979174e-05,0.036096672
54,1.0527014,1,1.3552244e-05,0.54653447
55,1.0138971,1,1.3052685e-05,0.69486996
56,0.94645314,1,1.2184427e-05,1.4200717
57,0.82644753,1,1.0639502e-05,1.2239456
58,0.77329777,1,9.9552635e-06,0.10106925
59,0.72383507,1,9.3184917e-06,0.32903612
60,0.66979148,1,8.6227466e-06,0.020539299
61,0.65236204,1,8.3983638e-06,0.14754357
62,0.6195593,1,7.9760687e-06,0.16413465
63,0.60437492,1,7.7805884e-06,0.49929509
64,0.52370751,1,6.742094e-06,0.095808022
65,0.48146778,1,6.1983091e-06,0.0047156589
66,0.46565958,1,5.9947979e-06,2.2172683
67,0.42983061,1,5.5335437e-06,0.96367184
68,0.40403981,1,5.2015187e-06,0.034373378
69,0.38865507,1,5.003459e-06,0.023173384
70,0.37739285,1,4.8584717e-06,1.3828939
71,0.35607273,1,4.5840012e-06,0.0051531797
72,0.3238018,1,4.1685524e-06,0.22837891
73,0.31526571,1,4.0586606e-06,0.65117536
74,0.28749222,1,3.7011109e-06,0.71157636
75,0.28293875,1,3.6424905e-06,0.35669686
76,0.26111519,1,3.3615389e-06,0.097298124
77,0.24325583,1,3.1316214e-06,1.5633174
78,0.21404335,1,2.7555464e-06,0.0025099087
79,0.21000337,1,2.7035367e-06,2.5277399
80,0.20549359,1,2.6454788e-06,2.2981923
81,0.19783611,1,2.5468982e-06,4.3100492
82,0.18742684,1,2.4128914e-06,0.014788968
83,0.1705005,1,2.1949856e-06,2.3191133
84,0.16726916,1,2.153386e-06,1.4509848
85,0.16150662,1,2.0792004e-06,0.11918571
86,0.15971957,1,2.0561943e-06,0.13554388
87,0.1477501,1,1.9021019e-06,0.041125227
88,0.14687487,1,1.8908345e-06,1.9829313
89,0.14056054,1,1.8095452e-06,0.27939507
90,0.12558569,1,1.6167622e-06,0.68125376
91,0.12116367,1,1.5598341e-06,0.24453299
92,0.11618777,1,1.4957756e-06,1.5588395
93,0.11199406,1,1.4417867e-06,0.30870779
94,0.10717332,1,1.3797254e-06,0.55366098
95,0.10489442,1,1.3503875e-06,3.7000249
96,0.10049035,1,1.2936904e-06,1.5070351
97,0.097319641,1,1.2528714e-06,1.6240719
98,0.091995604,1,1.184331e-06,0.2197815
99,0.088500691,1,1.1393382e-06,0.0046449742
100,0.087320471,1,1.1241443e-06,0.64118825
101,0.08135429,1,1.047337e-06,0.046705806
102,0.078740907,1,1.0136929e-06,0.049812055
103,0.076952485,1,9.9066918e-07,0.079737646
104,0.075176329,1,9.6780334e-07,0.083757049
105,0.068956734,1,8.8773366e-07,0.060934834
106,0.068610169,1,8.8327206e-07,1.0820772
107,0.066109852,1,8.5108353e-07,1.9557488
108,0.060426621,1,7.7791888e-07,0.023610196
109,0.060284245,1,7.7608596e-07,0.23714475
110,0.0592365,1,7.6259753e-07,0.035749897
111,0.056427912,1,7.2644039e-07,0.00077715699
112,0.056283384,1,7.2457977e-07,0.0013501586
113,0.052254974,1,6.7271892e-07,0.74060699
114,0.050468691,1,6.4972271e-07,0.48874219
115,0.049801531,1,6.4113384e-07,0.005755183
116,0.04685353,1,6.0318192e-07,1.8336551
117,0.046415784,1,5.9754649e-07,0.35539277
118,0.045390288,1,5.8434447e-07,1.8318672
119,0.04397587,1,5.6613557e-07,0.94995032
120,0.041533633,1,5.3469476e-07,0.10707087
121,0.040661972,1,5.2347319e-07,0.31725978
122,0.039449936,1,5.078697e-07,0.39850977
123,0.038708569,1,4.9832551e-07,0.010466793
124,0.036772818,1,4.7340508e-07,0.13994333
125,0.035855588,1,4.6159686e-07,0.90134601
126,0.034639983,1,4.4594744e-07,0.38426009
127,0.033150507,1,4.2677226e-07,0.063533696
128,0.032910348,1,4.2368051e-07,0.0055415424
129,0.032466893,1,4.1797156e-07,0.029985019
130,0.03150925,1,4.0564308e-07,0.26868321
131,0.03031767,1,3.9030294e-07,0.36529148
132,0.029767865,1,3.8322488e-07,0.1638535
133,0.028750195,1,3.7012362e-07,0.02632678
134,0.027578324,1,3.5503721e-07,1.2959494
135,0.027443301,1,3.5329895e-07,0.051477166
136,0.026952996,1,3.4698687e-07,0.00973796
137,0.026100779,1,3.3601562e-07,0.6439643
138,0.024892027,1,3.2045442e-07,0.10130305
139,0.02352332,1,3.0283399e-07,0.98084096
140,0.023171966,1,2.9831074e-07,0.014420797
141,0.02256387,1,2.9048224e-07,0.072956924
142,0.02204549,1,2.8380874e-07,0.70375651
143,0.021670035,1,2.7897521e-07,1.1696294
144,0.020508169,1,2.6401761e-07,0.26594571
145,0.020018313,1,2.5771131e-07,1.9277794
146,0.019661873,1,2.5312258e-07,0.30757854
147,0.01951055,1,2.5117449e-07,0.0033890857
148,0.018660738,1,2.402342e-07,0.057411911
149,0.018427408,1,2.3723035e-07,0.18090767
150,0.017991211,1,2.3161485e-07,0.0010989793
151,0.017378524,1,2.2372725e-07,0.043957761
152,0.01723132,1,2.2183218e-07,0.15212403
153,0.016920614,1,2.1783223e-07,0.17291615
154,0.015974524,1,2.0565247e-07,0.53481046
155,0.01543701,1,1.9873263e-07,0.058159492
156,0.014941212,1,1.9234984e-07,0.14618487
157,0.014611754,1,1.8810847e-07,0.01908936
158,0.01436104,1,1.8488084e-07,2.4207314
159,0.013863601,1,1.7847691e-07,0.0087611378
160,0.013527076,1,1.7414457e-07,0.024239618
161,0.013398828,1,1.7249353e-07,0.041932358
162,0.013101713,1,1.6866854e-07,0.44055866
163,0.012842108,1,1.6532645e-07,1.3318732
164,0.012305278,1,1.5841542e-07,0.032596154
165,0.012034384,1,1.5492798e-07,0.45139065
166,0.011766292,1,1.5147662e-07,0.0009527036
167,0.011512358,1,1.4820753e-07,0.090905388
168,0.010733179,1,1.3817656e-07,0.69196269
169,0.010514402,1,1.3536008e-07,0.04043529
170,0.010389523,1,1.3375241e-07,0.080422615
171,0.010254856,1,1.3201873e-07,0.23045644
172,0.0098597553,1,1.269323e-07,0.68623761
173,0.0096050576,1,1.2365338e-07,0.035035496
174,0.0094436688,1,1.2157569e-07,0.033334804
175,0.0092610625,1,1.1922486e-07,0.066023202
176,0.00892708,1,1.1492524e-07,0.014201541
177,0.008622389,1,1.1100272e-07,0.064184931
178,0.0085142643,1,1.0961074e-07,0.50660586
179,0.0081944769,1,1.0549387e-07,0.076054632
180,0.0081475814,1,1.0489015e-07,0.25512054
181,0.0079636904,1,1.0252278e-07,0.032280859
182,0.0078552309,1,1.011265e-07,0.042771295
183,0.007682609,1,9.8904201e-08,0.91268076
184,0.0071813811,1,9.2451504e-08,0.1940039
185,0.007011092,1,9.025924e-08,0.60943689
186,0.0069311626,1,8.9230246e-08,0.037968219
187,0.0068075613,1,8.7639031e-08,0.25661288
188,0.0066020405,1,8.4993201e-08,0.34819096
189,0.006468776,1,8.3277585e-08,3.1208128e-05
190,0.0064170811,1,8.2612075e-08,0.61728898
191,0.0062780428,1,8.0822128e-08,0.23296216
192,0.0061312263,1,7.8932045e-08,0.43053015
193,0.0060117516,1,7.7393953e-08,0.40919419
194,0.0058581102,1,7.5416009e-08,0.025007783
195,0.0057011007,1,7.3394703e-08,0.14446251
196,0.0055565797,1,7.1534172e-08,0.2900196
197,0.0055239593,1,7.1114224e-08,0.66125586
198,0.005370252,1,6.913543e-08,0.29094236
199,0.0051672702,1,6.6522288e-08,0.10257595
200,0.0050099302,1,6.4496727e-08,0.26807081
201,0.0050041346,1,6.4422116e-08,0.056079182
202,0.0048765923,1,6.2780165e-08,1.241999
203,0.0047786775,1,6.1519631e-08,0.0032317157
204,0.0045467376,1,5.8533688e-08,1.2254806
205,0.0044587523,1,5.7400985e-08,0.0015453379
206,0.0043791417,1,5.6376096e-08,0.0054711615
207,0.0043118649,1,5.550999e-08,0.0067134873
208,0.0042738578,1,5.5020696e-08,0.00025210619
209,0.0041761073,1,5.3762277e-08,0.095640678
210,0.0040714595,1,5.2415064e-08,0.0053292617
