mode,mu,sr_weight,plain_weight,residual_power
1,385590.02,1,1,11.076944
2,23219.42,1,0.060217898,0.016890849
3,20805.01,1,0.053956298,0.29632638
4,17220.81,1,0.044660932,4.092325
5,8485.8158,1,0.022007353,0.90286949
6,7589.3453,1,0.019682422,0.14577421
7,6021.1058,1,0.015615305,0.0055889646
8,4173.8616,1,0.01082461,0.82094583
9,3804.0883,1,0.0098656296,0.2159646
10,3537.4693,1,0.0091741724,4.8995658
11,2888.3757,1,0.0074907949,0.044367424
12,2423.3988,1,0.0062849105,0.11498569
13,2279.0931,1,0.0059106641,0.0067274805
14,2219.3347,1,0.0057556852,0.036208418
15,1748.4671,1,0.0045345238,1.0535369
16,1492.743,1,0.0038713216,0.017912561
17,1323.0304,1,0.0034311843,0.03125218
18,1194.0754,1,0.0030967488,0.032559474
19,1147.8494,1,0.0029768648,0.11415104
20,1081.0285,1,0.0028035698,0.043973036
21,713.55301,1,0.0018505484,0.016278938
22,690.18607,1,0.001789948,4.5884105
23,627.60276,1,0.0016276427,2.1887677
24,511.71782,1,0.0013271034,0.10927042
25,434.47666,1,0.001126784,0.049796988
26,417.4752,1,0.0010826919,0.032039695
27,356.79792,1,0.00092532975,0.052175938
28,343.04592,1,0.00088966494,0.0085165669
29,317.68083,1,0.00082388241,0.002383633
30,272.01551,1,0.00070545268,0.45638538
31,252.72498,1,0.00065542407,0.25427444
32,226.60481,1,0.00058768328,3.6866387
33,221.21869,1,0.00057371476,0.0075909009
34,215.15191,1,0.00055798102,0.0011606378
35,209.17642,1,0.000542484,0.35097734
36,193.44727,1,0.0005016916,0.72607158
37,192.29824,1,0.00049871167,0.26410227
38,180.63746,1,0.00046847027,1.8188373
39,165.58338,1,0.0004294286,0.067210577
40,161.70926,1,0.00041938134,1.3451968
41,159.62386,1,0.000413973,0.35023819
42,151.11747,1,0.00039191231,0.52497634
43,137.76369,1,0.00035728022,0.020876044
44,133.47168,1,0.00034614921,2.1590368
45,128.42437,1,0.00033305937,0.62983154
46,124.99496,1,0.00032416546,1.7111181
47,115.8206,1,0.00030037239,3.5757085
48,111.90248,1,0.00029021104,0.82495176
49,107.96455,1,0.00027999831,0.078587204
50,97.724978,1,0.00025344271,10.217998
51,95.560866,1,0.00024783024,0.19673904
52,91.8964,1,0.00023832671,1.5904466
53,86.264244,1,0.00022372012,0.46850396
54,84.116964,1,0.0002181513,1.8609077
55,80.228836,1,0.00020806772,0.032371395
56,79.049454,1,0.00020500908,0.19291494
57,74.645761,1,0.00019358842,0.60770069
58,71.103955,1,0.000184403,0.28814135
59,69.521489,1,0.00018029898,0.33222959
60,65.023529,1,0.00016863385,0.63875724
61,62.670584,1,0.00016253166,0.48336421
62,60.426899,1,0.00015671282,0.42232759
63,57.637256,1,0.00014947808,2.0503685
64,55.721088,1,0.00014450864,0.92770284
65,53.036101,1,0.00013754532,0.21376494
66,52.014775,1,0.00013489658,0.11824898
67,51.569476,1,0.00013374173,0.26275434
68,49.817704,1,0.00012919863,0.23179411
69,47.468129,1,0.00012310518,0.5322845
70,46.864333,1,0.00012153928,0.056716881
71,44.441855,1,0.00011525676,0.026368566
72,42.808116,1,0.00011101977,0.068182862
73,41.749279,1,0.00010827375,0.0026512045
74,41.201097,1,0.00010685209,0.13224353
75,40.007048,1,0.0001037554,0.10665063
76,38.121159,1,9.8864486e-05,0.52680621
77,37.986055,1,9.8514105e-05,0.71126475
78,37.386458,1,9.6959092e-05,0.1976481
79,36.522768,1,9.4719174e-05,0.22730494
80,35.16629,1,9.1201245e-05,0.018603159
81,33.032311,1,8.5666924e-05,0.41294378
82,32.563026,1,8.4449868e-05,1.2907115
83,32.228344,1,8.3581893e-05,0.45501507
84,30.174314,1,7.8254914e-05,0.85799477
85,29.394037,1,7.6231322e-05,0.057056949
86,28.950089,1,7.5079974e-05,0.7521358
87,28.30072,1,7.3395883e-05,0.045111921
88,27.640359,1,7.1683283e-05,0.14861937
89,26.344414,1,6.8322344e-05,0.08718433
90,25.910793,1,6.719778e-05,0.041572971
91,25.243536,1,6.5467297e-05,0.037275667
92,24.418423,1,6.3327425e-05,0.55891949
93,23.95898,1,6.2135893e-05,0.0091599978
94,23.672209,1,6.1392172e-05,0.36605739
95,23.106955,1,5.9926226e-05,3.4776266
96,22.533093,1,5.8437958e-05,1.2983849
97,21.72607,1,5.6345002e-05,0.75184311
98,21.485136,1,5.5720155e-05,0.0085961323
99,20.811288,1,5.3972579e-05,0.0021671935
100,19.828681,1,5.1424258e-05,0.31181297
101,19.727422,1,5.1161652e-05,0.00056384366
102,19.230946,1,4.9874075e-05,0.23924458
103,18.955452,1,4.9159604e-05,0.45153585
104,18.746938,1,4.8618838e-05,0.014938374
105,18.038738,1,4.678217e-05,0.24279279
106,17.081586,1,4.4299866e-05,0.068792886
107,16.7721,1,4.3497235e-05,0.0027130117
108,16.52197,1,4.2848542e-05,0.042444191
109,16.321934,1,4.2329763e-05,1.1592763
110,15.692785,1,4.0698109e-05,0.098105054
111,15.674673,1,4.0651138e-05,0.066143445
112,15.163214,1,3.9324706e-05,0.27890033
113,14.706639,1,3.8140613e-05,0.020837581
114,14.602054,1,3.7869379e-05,0.048485236
115,14.105915,1,3.6582677e-05,0.17130177
116,13.995494,1,3.6296309e-05,0.10243813
117,13.670021,1,3.5452216e-05,1.5319835
118,13.259176,1,3.4386719e-05,0.14586936
119,13.098742,1,3.3970645e-05,0.0013757607
120,12.737538,1,3.3033891e-05,1.3115368
121,12.392733,1,3.2139663e-05,0.097651978
122,12.210891,1,3.1668069e-05,0.39204497
123,11.848499,1,3.072823e-05,0.10743607
124,11.40264,1,2.9571927e-05,2.8454237
125,11.042391,1,2.8637647e-05,0.97589829
126,11.029355,1,2.8603839e-05,0.06429041
127,10.798013,1,2.800387e-05,2.001972
128,10.700802,1,2.775176e-05,0.063401066
129,10.499683,1,2.7230174e-05,0.89626967
130,10.173482,1,2.6384194e-05,1.0120967
131,10.154474,1,2.6334898e-05,0.66673444
132,9.8497806,1,2.5544698e-05,0.83479019
133,9.6203408,1,2.4949663e-05,2.4267329
134,9.5213369,1,2.4692903e-05,0.46767429
135,9.1856897,1,2.3822426e-05,2.0836935
136,9.0629075,1,2.3503999e-05,1.4438226
137,8.82265,1,2.2880909e-05,0.38314498
138,8.7085241,1,2.2584931e-05,0.056144378
139,8.6257633,1,2.2370297e-05,0.042222532
140,8.4389339,1,2.1885769e-05,5.1081361e-06
141,8.2851894,1,2.1487043e-05,0.30026275
142,8.236896,1,2.1361798e-05,0.58458272
143,8.0519652,1,2.0882193e-05,0.96311564
144,7.8280875,1,2.0301582e-05,0.32543436
145,7.7342617,1,2.0058252e-05,1.42412
146,7.5316012,1,1.9532666e-05,0.36775545
147,7.432815,1,1.9276472e-05,1.1887288
148,7.2997869,1,1.8931473e-05,1.0650763
149,7.2235385,1,1.8733728e-05,0.64448991
150,7.0636236,1,1.8319e-05,1.9056795
151,7.0327396,1,1.8238905e-05,0.013526663
152,6.7197866,1,1.7427284e-05,0.43993409
153,6.6151961,1,1.7156036e-05,0.0016379457
154,6.5870935,1,1.7083154e-05,0.6113687
155,6.5451357,1,1.6974339e-05,1.4549604
156,6.3958714,1,1.6587233e-05,0.90153844
157,6.2407614,1,1.6184966e-05,0.038519394
158,6.1896038,1,1.6052293e-05,0.18061188
159,6.0662795,1,1.573246e-05,0.072514363
160,5.9599454,1,1.545669e-05,1.9352411
161,5.8728419,1,1.5230793e-05,0.014066502
162,5.8184829,1,1.5089817e-05,0.53856488
