r,J_learned,J_learned_std,count
0.011461784,5666.9492,232.69658,3072
0.018319823,5635.8989,225.66708,3072
0.023421914,5601.1074,228.80857,3072
0.028533675,5569.0671,229.42906,3072
0.034431423,5525.2349,219.87609,3072
0.042032252,5488.9911,218.45983,3072
0.054577112,5424.3735,214.60593,3072
0.68609615,5394.9704,250.34592,3072
1.5580142,5522.4294,243.09637,3072
1.6805693,5513.4865,249.75318,3072
1.7747431,5528.6872,244.0518,3072
1.8829101,5537.4225,248.285,3072
2.0660767,5545.8384,254.66586,3072
2.37156,5518.639,251.17347,3072
2.6352712,5504.0003,255.0253,3072
2.9367246,5503.087,270.99299,3072
3.4044663,5459.5236,274.65838,3072
3.5688299,5496.2548,270.41235,3072
3.663865,5506.8158,253.07177,3072
3.7363474,5488.1517,259.96729,3072
3.799313,5488.8142,247.1364,3072
3.8527746,5501.0924,251.15616,3072
3.900829,5508.4207,237.93607,3072
3.9461741,5510.8407,228.79387,3072
3.9918694,5528.1702,227.42348,3072
4.0406628,5543.5832,235.23122,3072
4.0934868,5555.4961,229.54683,3072
4.1525795,5576.1662,233.73885,3072
4.2256397,5595.6877,229.82702,3072
4.3147154,5570.0831,248.84274,3072
4.4214683,5545.1918,259.92776,3072
4.5346433,5533.9191,264.62723,3072
4.640687,5514.8802,258.04566,3072
4.7366685,5502.5211,255.71025,3072
4.8194628,5510.5811,252.91056,3072
4.8917714,5518.2785,230.23253,3072
4.9609293,5544.6687,219.85948,3072
5.0313777,5570.2357,206.72251,3072
5.1163323,5616.7276,223.79696,3072
5.6243127,5552.3471,326.36242,3072
