index,eigenvalue
1,941.82012
2,175.33816
3,160.70064
4,118.43978
5,51.65568
6,30.243173
7,18.611376
8,10.951868
9,6.2857917
10,5.3851621
11,4.324837
12,4.1137403
13,3.630072
14,3.2765093
15,2.6383798
16,2.3934878
17,2.2478114
18,1.4817142
19,1.4309843
20,1.3495522
21,1.1480293
22,1.0954228
23,1.0301058
24,0.8646306
25,0.85517344
26,0.797645
27,0.7361491
28,0.66192988
29,0.6587935
30,0.62937088
31,0.54083424
32,0.53423925
33,0.52098887
34,0.47332057
35,0.44331297
36,0.44035791
37,0.42572018
38,0.38580495
39,0.3557841
40,0.32227597
41,0.31066043
42,0.28393737
43,0.26459636
44,0.24457687
45,0.22924919
46,0.21547124
47,0.20978046
48,0.19619029
49,0.18972237
50,0.18028302
51,0.17388174
52,0.15532163
53,0.15183963
54,0.14267162
55,0.14185865
56,0.13001395
57,0.11882202
58,0.11833607
59,0.11512978
60,0.11352245
61,0.10564687
62,0.1029491
63,0.094524912
64,0.088952504
65,0.08624536
66,0.085020311
67,0.078088494
68,0.077956195
69,0.074582565
70,0.073074968
71,0.071826771
72,0.06643099
73,0.06464076
74,0.063829348
75,0.06074661
76,0.058521117
77,0.057524026
78,0.055602557
79,0.052211581
80,0.049204309
81,0.046918712
82,0.044525697
83,0.041376341
84,0.039875778
85,0.039125802
86,0.038844335
87,0.036114738
88,0.035267084
89,0.033978326
90,0.033737858
91,0.032213383
92,0.029747263
93,0.029580495
94,0.028373114
95,0.027808733
96,0.027623772
97,0.026156619
98,0.02586816
99,0.025283438
100,0.024045502
101,0.023319036
102,0.02286183
103,0.022587588
104,0.021721818
105,0.020994626
106,0.02020332
107,0.019682585
108,0.019156238
109,0.018323557
110,0.01815007
111,0.017663533
112,0.016904468
113,0.016714911
114,0.016122991
115,0.015571759
116,0.015207096
117,0.014803386
118,0.014509816
119,0.01420103
120,0.013810746
121,0.013471839
122,0.012974007
123,0.012731315
124,0.01230847
125,0.011959499
126,0.011618747
127,0.011552429
128,0.01111773
129,0.010886033
130,0.010643498
131,0.010379336
132,0.010140308
133,0.0099910537
