r,J_learned,J_learned_std,count
15.383261,-10.803549,3.1371568,3072
19.497984,-10.14007,2.9915545,3072
21.646611,-9.8286122,3.1264971,3072
23.272379,-9.5927193,3.0991465,3072
24.612679,-9.3313948,3.0875453,3072
25.79471,-9.2955682,3.1826913,3072
26.908856,-9.1854343,3.1028224,3072
27.934133,-9.0365175,3.1015648,3072
28.890514,-9.0718228,3.1205789,3072
29.877909,-8.8857926,3.0495129,3072
30.815883,-8.9786273,3.1164807,3072
31.754359,-8.8005369,3.1499445,3072
32.658389,-8.797118,3.1687674,3072
33.57378,-8.7829652,3.2131518,3072
34.490237,-8.8041305,3.2218334,3072
35.415507,-8.7407076,3.2083779,3072
36.338732,-8.6664912,3.1543988,3072
37.309627,-8.6354342,3.2500319,3072
38.327332,-8.6083886,3.2182028,3072
39.362966,-8.701454,3.2777556,3072
40.409685,-8.8072652,3.2697277,3072
41.494724,-8.7952675,3.2057995,3072
42.579181,-8.7832588,3.1793875,3072
43.70915,-8.7796694,3.21156,3072
44.878468,-8.9243157,3.0957898,3072
46.097312,-8.9832653,3.2004728,3072
47.343468,-8.9139507,3.200258,3072
48.582847,-8.8375905,3.1039738,3072
49.873542,-8.7575824,3.0535399,3072
51.150109,-8.704016,3.0480749,3072
52.477083,-8.6461268,2.93143,3072
53.828153,-8.4326361,2.9159831,3072
55.244362,-8.4555956,2.8781026,3072
56.685162,-8.2159056,2.8825027,3072
58.256128,-8.1139662,2.8327541,3072
59.93305,-7.8681654,2.7927653,3072
61.825989,-7.6139557,2.7711396,3072
64.127403,-7.2844358,2.7014428,3072
67.188986,-6.8540451,2.6657647,3072
73.281403,-5.826113,2.6520537,3072
