mode,mu,sr_weight,plain_weight,residual_power
1,1928847.6,1,1,3.2657895e-05
2,359092.55,1,0.18616948,7.9243348e-06
3,329114.92,1,0.17062774,2.1794213e-05
4,242564.66,1,0.12575626,6.0979259e-05
5,105790.83,1,0.054846652,3.5092622e-09
6,61938.019,1,0.032111412,9.0051388e-06
7,38116.097,1,0.019761072,0.00043056029
8,22429.426,1,0.011628407,1.2032349e-05
9,12873.301,1,0.0066740894,5.1608845e-05
10,11028.812,1,0.0057178245,1.9278989e-06
11,8857.2662,1,0.004591999,3.6510168e-05
12,8424.9401,1,0.004367862,3.9909322e-05
13,7434.3875,1,0.0038543156,9.2348044e-06
14,6710.2911,1,0.003478912,0.00011277886
15,5403.4019,1,0.0028013628,3.6958927e-07
16,4901.8631,1,0.0025413429,5.1725706e-08
17,4603.5177,1,0.0023866674,1.3888116e-05
18,3034.5506,1,0.0015732454,0.00018579357
19,2930.6558,1,0.0015193817,2.1274095e-05
20,2763.883,1,0.0014329193,4.5875509e-05
21,2351.1641,1,0.0012189476,5.4628115e-06
22,2243.4258,1,0.0011630913,4.4914013e-06
23,2109.6566,1,0.0010937394,5.9665726e-05
24,1770.7635,1,0.00091804218,2.4600822e-06
25,1751.3952,1,0.00090800082,0.0001990685
26,1633.577,1,0.00084691862,6.7353379e-06
27,1507.6334,1,0.00078162388,2.0066361e-08
28,1355.6324,1,0.00070281986,2.0975495e-06
29,1349.2091,1,0.00069948973,4.602601e-05
30,1288.9516,1,0.00066824956,1.7165817e-05
31,1107.6285,1,0.00057424366,0.00015202946
32,1094.122,1,0.00056724127,5.3537468e-05
33,1066.9852,1,0.00055317237,1.9749385e-05
34,969.36053,1,0.00050255942,3.9959938e-06
35,907.90496,1,0.00047069813,4.0525211e-05
36,901.853,1,0.00046756052,3.8045496e-07
37,871.87493,1,0.00045201857,1.7909428e-06
38,790.12853,1,0.00040963761,6.6341432e-06
39,728.64583,1,0.00037776226,5.4530286e-05
40,660.02118,1,0.0003421842,6.2971212e-05
41,636.23255,1,0.00032985113,6.4889788e-06
42,581.50373,1,0.00030147728,6.681915e-05
43,541.89335,1,0.0002809415,1.6592795e-07
44,500.89343,1,0.00025968533,7.8347157e-06
45,469.50234,1,0.0002434108,4.3765449e-05
46,441.2851,1,0.00022878173,2.0542506e-05
47,429.63038,1,0.00022273941,1.323536e-06
48,401.79771,1,0.00020830973,1.6353881e-05
49,388.55141,1,0.00020144225,1.67557e-05
50,369.21962,1,0.0001914198,0.00010206407
51,356.1098,1,0.00018462308,0.000183323
52,318.0987,1,0.00016491645,3.1605367e-07
53,310.96757,1,0.00016121936,8.1888466e-05
54,292.19149,1,0.000151485,3.9205965e-05
55,290.52652,1,0.00015062181,2.4509876e-06
56,266.26857,1,0.00013804542,2.3065315e-05
57,243.34749,1,0.00012616211,1.9055831e-06
58,242.35228,1,0.00012564615,0.00027093414
59,235.78578,1,0.00012224179,3.3433868e-05
60,232.49397,1,0.00012053517,0.00011049939
61,216.36479,1,0.00011217309,1.0569954e-05
62,210.83976,1,0.00010930867,1.0926617e-05
63,193.58702,1,0.00010036408,2.8808707e-07
64,182.17473,1,9.4447445e-05,0.00016533564
65,176.6305,1,9.157307e-05,0.00015040186
66,174.1216,1,9.0272345e-05,3.8781909e-07
67,159.92524,1,8.2912323e-05,5.6269172e-06
68,159.65429,1,8.2771852e-05,4.9629503e-06
69,152.74509,1,7.918982e-05,0.00014102931
70,149.65753,1,7.7589092e-05,4.8968635e-06
71,147.10123,1,7.6263789e-05,5.5742056e-05
72,136.05067,1,7.053469e-05,1.8757296e-05
73,132.38428,1,6.863387e-05,1.2974532e-06
74,130.72251,1,6.7772334e-05,2.0669338e-05
75,124.40906,1,6.4499164e-05,7.2038803e-05
76,119.85125,1,6.2136193e-05,7.0853928e-05
77,117.80921,1,6.1077509e-05,2.8808592e-05
78,113.87404,1,5.9037342e-05,8.477502e-05
79,106.92932,1,5.5436893e-05,2.5767827e-05
80,100.77042,1,5.224385e-05,3.9346627e-05
81,96.089522,1,4.9817063e-05,5.644402e-06
