index,eigenvalue
1,234.01212
2,29.737292
3,29.282441
4,24.975388
5,23.411099
6,7.5082451
7,6.0624501
8,4.0707639
9,2.7496273
10,0.80016819
11,0.67141219
12,0.4756473
13,0.36051232
14,0.3459614
15,0.27311604
16,0.26065127
17,0.25477329
18,0.20848381
19,0.19181191
20,0.18297744
21,0.16380174
22,0.15624322
23,0.14746398
24,0.13867196
25,0.12608058
26,0.1094128
27,0.10169681
28,0.099735928
29,0.098761636
30,0.096340856
31,0.082728469
32,0.08043048
33,0.070985666
34,0.066895413
35,0.062955223
36,0.055573293
37,0.051138718
38,0.046093088
39,0.043007847
40,0.036091011
41,0.03409046
42,0.030914308
43,0.029431892
44,0.025543184
45,0.023800054
46,0.021708465
47,0.020783719
48,0.017768914
49,0.015634018
50,0.015366476
51,0.013843222
52,0.012823241
53,0.012060746
54,0.010993858
55,0.010222079
56,0.0089404578
57,0.008182342
58,0.0076243555
59,0.0069540372
60,0.0067569179
61,0.0061817469
62,0.0058188168
63,0.0053027629
64,0.0051458529
65,0.0046871527
66,0.0043114863
67,0.0040416904
68,0.0040269613
69,0.0037637254
70,0.003713882
71,0.0034043865
72,0.0031349638
73,0.0030409387
74,0.0027106967
75,0.002668348
76,0.0026550949
77,0.0024555716
78,0.0023754887
79,0.0022576402
80,0.0021768903
81,0.0020648171
82,0.0019008831
83,0.0018382032
84,0.0017251035
85,0.0017057728
86,0.0015143703
87,0.0014805304
88,0.0014371766
89,0.0014269952
90,0.0013440093
91,0.0012912159
92,0.0012352362
93,0.0011720024
94,0.0011346793
95,0.001080678
96,0.0010239927
97,0.0010089394
98,0.00097761396
99,0.00090941932
100,0.00085578601
101,0.00082476271
102,0.00080409628
103,0.00080024603
104,0.00077024188
105,0.00074613706
106,0.00070626574
107,0.0006964244
108,0.00065916475
109,0.00063933412
110,0.00061651605
111,0.00056845032
112,0.00055410721
113,0.00053150476
114,0.00051718298
115,0.00049141523
116,0.0004711265
117,0.00046519174
118,0.00041470137
119,0.00039726284
120,0.00039156824
121,0.00037430336
122,0.00036046778
123,0.00034394843
124,0.00033694132
125,0.00032639155
126,0.00031470846
127,0.0003046081
128,0.00027679228
