r,J_learned,J_learned_std,count
1.6424743,59.544225,3.1215717,845
2.5494928,59.425269,3.0214899,845
3.0751049,59.66089,2.9936321,845
3.5030928,59.564762,3.0976108,845
3.8881567,59.626359,2.9741432,844
4.2409768,59.726173,3.0646716,845
4.5802855,59.687062,3.053084,845
4.8920771,59.603457,2.9591745,845
5.1852135,59.909501,3.2709143,844
5.473105,59.65005,3.1027431,845
5.7430726,59.736972,3.0461453,845
6.007402,59.768238,3.1368303,845
6.2747017,59.81528,3.0978625,845
6.5492672,60.046326,3.1854439,844
6.8175387,59.907831,3.0901923,845
7.0865972,59.739315,3.1241864,845
7.34171,59.887978,3.1320962,845
7.6218532,59.96944,3.1018047,844
7.9029258,60.054116,2.9753119,845
8.1824964,59.969835,3.0220747,845
8.45874,59.98158,3.1030689,845
8.7317358,60.265083,3.2222041,845
9.0083173,60.15241,3.0462938,844
9.2896855,60.18133,3.2813186,845
9.5853608,60.237905,3.2313557,845
9.8901727,60.268057,3.0633067,845
10.20463,60.261737,3.1321635,844
10.529728,60.543264,3.2717568,845
10.865807,60.247552,3.0955276,845
11.21674,60.272208,3.1990727,845
11.599038,60.562524,3.3759521,845
12.015321,60.732026,3.367662,844
12.465017,60.529641,3.0829431,845
12.941669,60.79986,3.2219443,845
13.48231,61.095787,3.1750111,845
14.08492,61.242847,3.3222568,844
14.787804,61.281879,3.229156,845
15.642031,61.832776,3.3565955,845
16.866371,62.342643,3.3905839,845
19.547679,63.905174,3.6263686,845
