mode,mu,sr_weight,plain_weight,residual_power
1,30084.421,1,1,25.611277
2,12217.295,1,0.4061004,0.62442584
3,11496.261,1,0.38213337,50.126605
4,6938.7854,1,0.23064381,1.2635983
5,5557.0278,1,0.18471447,68.481762
6,3085.8304,1,0.10257237,1203.4853
7,2462.3888,1,0.081849299,40.214655
8,2126.1422,1,0.070672531,6.6279751
9,1323.1365,1,0.043980786,181.57066
10,541.15962,1,0.017988035,67.927596
11,441.55339,1,0.014677144,9.946729
12,408.4031,1,0.013575235,6.9103337
13,349.3171,1,0.011611229,8.3359867
14,132.03244,1,0.0043887313,2619.7168
15,120.11297,1,0.0039925305,7.3022516
16,83.965739,1,0.002791004,12.671458
17,77.812996,1,0.002586488,67.207421
18,72.679833,1,0.0024158628,0.47241506
19,66.222233,1,0.0022012135,10.27692
20,57.693049,1,0.0019177051,115.61132
21,55.772847,1,0.001853878,123.47211
22,53.676874,1,0.0017842083,31.244954
23,49.098325,1,0.0016320183,0.0079206099
24,45.739154,1,0.0015203601,132.06067
25,41.852362,1,0.0013911639,59.295984
26,36.64089,1,0.0012179357,129.11389
27,34.381508,1,0.0011428343,6.1283454
28,29.473399,1,0.00097968977,52.293027
29,25.385016,1,0.00084379272,17.033777
30,24.474437,1,0.00081352528,0.0061268017
31,22.562789,1,0.0007499825,20.637138
32,20.491639,1,0.00068113788,0.1525236
33,18.985094,1,0.00063106063,7.7264492
34,18.090683,1,0.0006013306,42.282637
35,16.088474,1,0.00053477757,0.16836204
36,15.369705,1,0.00051088584,0.34619973
37,13.324739,1,0.0004429116,12.087045
38,13.044141,1,0.00043358457,9.45817
39,11.048534,1,0.000367251,45.58042
40,10.526682,1,0.00034990476,8.3538962
41,9.9961914,1,0.00033227136,0.26329307
42,8.9053054,1,0.00029601053,46.909091
43,8.1491435,1,0.00027087586,12.128029
44,7.6528138,1,0.00025437797,1.4536107
45,7.3402337,1,0.00024398787,14.382765
46,6.6596542,1,0.00022136554,0.50258528
47,6.0510175,1,0.00020113458,4.4117207
48,5.3848825,1,0.00017899239,60.997259
49,4.5940003,1,0.00015270363,133.30379
50,3.9975925,1,0.00013287916,5.4288522
51,3.9164476,1,0.00013018192,61.01643
52,3.6136707,1,0.00012011768,0.071859978
53,3.4271153,1,0.00011391661,4.5162924
54,3.2630154,1,0.00010846197,0.95777018
55,3.1451714,1,0.00010454486,41.396506
56,2.7422957,1,9.1153349e-05,7.908597
57,2.5777383,1,8.5683494e-05,59.100785
