omega,arch,n_samples,eff_rank,kappa,num_rank,n_params
1.0,CTNN,256,1.2359716508398235,3803241.2018117,255,66498
1.0,CTNN,512,1.2216562819943468,28408028.845082585,511,66498
1.0,CTNN,1024,1.2263326804668244,332495395.3189176,1023,66498
1.0,CTNN,2048,1.214340251030092,4760235933.198812,2047,66498
1.0,DeepSet,256,3.490137901125118,307777850.42963684,255,34354
1.0,DeepSet,512,3.439501415515729,9225229299.450733,511,34354
1.0,DeepSet,1024,3.497914046546778,472146184491.9775,1023,34354
1.0,DeepSet,2048,3.377883565514957,996313180854.375,1570,34354
0.01,CTNN,256,5.75246444530608,684617.55439928,255,66498
0.01,CTNN,512,5.254805276488272,6538137.542988062,511,66498
0.01,CTNN,1024,4.994328022292501,76547034.08730975,1023,66498
0.01,CTNN,2048,5.213661610258052,1128630355.4666076,2047,66498
0.01,DeepSet,256,3.2030021988586443,3844482.077432622,255,34354
0.01,DeepSet,512,3.2987941625014408,54879798.68200063,511,34354
0.01,DeepSet,1024,3.2509686458749316,1478733576.8935614,1023,34354
0.01,DeepSet,2048,3.239132326771974,51140858574.51197,2047,34354
