r,J_learned,J_learned_std,count
0.44483144,22.593604,2.1363967,423
0.72220541,22.900934,2.3586338,422
0.89692781,22.94224,2.2179143,423
1.033591,23.055464,2.2034694,422
1.1500813,23.011116,2.352302,422
1.2545375,23.056913,2.2089916,423
1.3506448,23.036986,2.3350912,422
1.4485696,23.094397,2.1929634,422
1.5354953,22.960284,2.2507506,423
1.6192055,23.210616,2.3093659,422
1.6989669,23.093724,2.3387996,423
1.7840266,23.046482,2.3181353,422
1.865532,23.051386,2.2642968,422
1.946583,22.878957,2.1933158,423
2.026091,23.168122,2.1886884,422
2.1049334,23.129771,2.2711962,422
2.1796096,23.116918,2.1840336,423
2.2578184,23.124792,2.3530975,422
2.3399665,22.989883,2.3950286,423
2.4194322,23.235633,2.3039848,422
2.5000014,23.163903,2.2348675,422
2.583978,23.406041,2.3065703,423
2.6666619,23.262675,2.245922,422
2.7528821,23.268458,2.2704564,423
2.8444027,23.322891,2.4343401,422
2.9293139,23.209479,2.2429404,422
3.0193674,23.361971,2.298156,423
3.1212148,23.201402,2.2406274,422
3.2232715,23.462333,2.1747599,422
3.3227481,23.460695,2.511646,423
3.4252389,23.519863,2.3655697,422
3.5412266,23.527961,2.2882657,422
3.6720757,23.686209,2.2633824,423
3.8098674,23.471252,2.2346976,422
3.9671442,23.553841,2.2164425,423
4.1426607,23.897934,2.2442141,422
4.3387547,24.083885,2.1795033,422
4.5962119,24.144894,2.1893676,423
4.9220361,24.488757,2.1717443,422
5.6312239,25.258104,2.2570322,423
