mode,mu,sr_weight,plain_weight,residual_power
1,14820.423,1,1,0.16942024
2,6062.2548,1,0.40904735,1.7220176
3,4923.4125,1,0.33220458,409.88979
4,3552.1185,1,0.23967726,536.8327
5,2279.7345,1,0.15382385,7.0250044
6,1811.8584,1,0.12225416,97.027143
7,1354.8925,1,0.091420637,26.323763
8,1122.1981,1,0.075719707,1.1566027
9,899.47192,1,0.060691379,0.41756851
10,249.47155,1,0.016832957,1.3309962
11,206.04607,1,0.013902846,201.10269
12,112.00578,1,0.0075575289,43.412141
13,99.372518,1,0.0067051066,20.689066
14,91.146942,1,0.0061500904,4.3969082
15,87.736546,1,0.0059199757,967.23895
16,68.006014,1,0.0045886688,61.298328
17,64.237426,1,0.0043343854,10.367724
18,53.698813,1,0.0036232982,17.560712
19,50.771499,1,0.0034257793,92.696935
20,46.453605,1,0.0031344318,24.301668
21,41.847472,1,0.0028236355,696.9777
22,36.290512,1,0.0024486826,34.498454
23,32.529159,1,0.0021948873,49.323274
24,29.547415,1,0.0019936958,25.428165
25,25.981372,1,0.0017530789,20.163686
26,23.736596,1,0.0016016139,53.621501
27,23.13834,1,0.0015612469,0.013833479
28,19.153938,1,0.0012924015,78.238077
29,18.657062,1,0.0012588751,93.97303
30,16.360212,1,0.0011038964,2.241755
31,14.940748,1,0.0010081189,0.14208853
32,13.787396,1,0.00093029706,10.336317
33,12.533928,1,0.00084571995,0.45152076
34,10.517932,1,0.00070969172,8.5577821
35,10.482616,1,0.00070730884,25.828414
36,7.8933165,1,0.00053259724,1.8169591
37,7.1816881,1,0.0004845805,1.0676366
38,6.9853525,1,0.00047133286,8.241198
39,6.1581018,1,0.00041551457,6.8789751
40,5.8996688,1,0.00039807695,20.332722
41,5.7870342,1,0.00039047698,0.48164896
42,5.4270742,1,0.00036618888,26.661062
43,4.9372566,1,0.00033313871,19.978007
44,4.3987311,1,0.00029680199,4.9400394
45,3.8829042,1,0.00026199685,15.617524
46,3.7349743,1,0.00025201536,0.014503772
47,3.4147215,1,0.00023040647,4.6907517
48,3.2327404,1,0.0002181274,4.3263696
49,2.9693964,1,0.00020035841,1.4373145
50,2.6555659,1,0.00017918287,0.23497629
51,2.4415586,1,0.00016474284,7.5016207
52,2.3843482,1,0.0001608826,8.2929089
53,2.2516056,1,0.00015192586,0.0083016466
54,2.1054923,1,0.00014206695,0.45096898
55,1.9968096,1,0.00013473364,11.225936
56,1.8562329,1,0.0001252483,0.54740573
57,1.6806699,1,0.00011340229,0.69716288
58,1.5298387,1,0.00010322503,0.066899606
59,1.434095,1,9.6764779e-05,0.44015451
60,1.3108231,1,8.8447075e-05,4.1807134
61,1.2562623,1,8.4765618e-05,5.8604814
62,1.1601882,1,7.828307e-05,0.10350539
63,1.0387823,1,7.009127e-05,2.1977427
