bfarch,seed,omega,error_pct,var_EL,deff,bf_rank,T_full,dT_msg
conv,0,0.01,0.44143177236861053,9.386556241883919e-05,1.936649807736455,1.0,0.03598675861456585,nan
conv,0,0.1,0.5661429411787567,0.006253238262755289,1.8985949141871845,1.0,0.3464334413065267,nan
conv,0,1.0,0.1732646625388581,0.2020620856071294,1.858791618755271,1.0694357776923624,3.4884290616809275,nan
conv,1,0.01,0.4474896666643154,9.161024712103078e-05,2.4967310831025324,1.0,0.036108557649316975,nan
conv,1,0.1,0.5517292954935797,0.005316405975855893,2.4788307988680818,1.0,0.3344972009271892,nan
conv,1,1.0,0.19410563444343784,0.19762206181641653,1.6195823235148599,1.7820401900980904,3.91348419757896,nan
ctnn,0,0.01,0.56491898820773,0.00010951209949773762,1.098267091676214,0.0,0.036700614055038314,-4.870718702038035e-05
ctnn,0,0.1,0.6117322249663535,0.006565441679919965,1.4625201881030074,0.0,0.3393769626712022,-0.0029150355685414464
ctnn,0,1.0,0.13422053418238736,0.20409698755718286,1.1196422403924318,0.0,3.748082501816226,-0.16171933229846758
ctnn,1,0.01,0.6154264612987191,0.00010101514559169177,1.223949794656402,0.0,0.03588371364998456,-4.437999912439844e-05
ctnn,1,0.1,0.5741643083254244,0.005999597169316344,1.7131861412615348,0.0,0.32877392889416257,-0.0026506105630330623
ctnn,1,1.0,0.25409151136645153,0.19993883640181104,1.1543049063045594,0.0,3.6481520561046317,-0.1069251109258742
