mode,mu,sr_weight,plain_weight,residual_power
1,228682.91,1,1,0.00030410574
2,63427.541,1,0.27736022,1.7299875e-09
3,56342.198,1,0.24637695,1.3626911e-07
4,22882.8,1,0.10006344,0.00014382021
5,8672.1076,1,0.037921975,8.4207889e-05
6,2586.8026,1,0.011311744,7.733144e-08
7,1975.9966,1,0.0086407708,1.7657914e-06
8,958.54261,1,0.0041915795,0.00069204462
9,811.28388,1,0.0035476367,0.00014895174
10,732.46175,1,0.0032029579,8.7192792e-06
11,510.99785,1,0.0022345257,2.4780928e-05
12,473.00846,1,0.0020684032,7.0537186e-05
13,370.57541,1,0.0016204771,0.00021481837
14,291.69898,1,0.0012755609,9.0548834e-05
15,240.26405,1,0.0010506428,0.00055003679
16,208.43844,1,0.0009114736,3.3479678e-06
17,178.96644,1,0.00078259648,8.1400135e-05
18,159.5258,1,0.00069758512,3.9301529e-07
19,145.22601,1,0.00063505406,0.00020241731
20,125.7403,1,0.00054984564,3.4458224e-05
21,118.70799,1,0.00051909428,0.00028137697
22,115.05694,1,0.00050312872,0.00039024014
23,90.013451,1,0.00039361687,7.2904306e-05
24,87.818173,1,0.00038401721,2.2368455e-05
25,73.775348,1,0.0003226098,1.1326581e-06
26,72.107948,1,0.00031531848,1.7155455e-05
27,69.632749,1,0.00030449477,3.2186363e-06
28,64.735269,1,0.00028307873,0.00011352776
29,60.477211,1,0.00026445881,0.00045531278
30,55.060821,1,0.00024077366,3.385381e-05
31,51.508282,1,0.00022523888,9.1070497e-06
32,47.928693,1,0.00020958581,0.00041697665
33,42.128319,1,0.00018422154,1.1350423e-05
34,37.27915,1,0.00016301677,0.00037112256
35,33.039964,1,0.00014447938,0.00013210908
36,32.052975,1,0.0001401634,1.9034185e-05
37,30.171276,1,0.00013193498,0.00098057739
38,28.162068,1,0.00012314898,0.00015167125
39,26.366469,1,0.00011529707,2.7262982e-06
40,26.093602,1,0.00011410386,5.9028234e-05
41,24.545945,1,0.00010733616,0.00015944937
42,23.42344,1,0.00010242759,0.00012317436
43,21.23133,1,9.2841785e-05,3.5802506e-07
44,19.900774,1,8.7023441e-05,0.00026663738
45,18.835792,1,8.2366417e-05,2.4080894e-05
46,17.932449,1,7.841622e-05,7.9937944e-05
47,16.669515,1,7.2893574e-05,6.3138307e-08
48,15.620042,1,6.8304369e-05,0.00031164176
49,13.928178,1,6.0906072e-05,0.00013971839
50,13.441439,1,5.8777628e-05,3.9978031e-05
51,12.733537,1,5.5682067e-05,6.5488345e-07
52,12.103348,1,5.2926333e-05,2.6476321e-08
53,11.568844,1,5.058902e-05,1.1029792e-05
54,11.05952,1,4.8361813e-05,6.3827724e-05
55,10.947587,1,4.7872346e-05,0.00011978578
56,10.370918,1,4.5350649e-05,5.6387674e-05
