index,eigenvalue
1,9.0775702
2,0.78611364
3,0.61759108
4,0.57573799
5,0.20319948
6,0.15720797
7,0.066379491
8,0.065091282
9,0.033192374
10,0.029976884
11,0.020656105
12,0.015838408
13,0.013555944
14,0.011518322
15,0.0086021871
16,0.008209869
17,0.0076830165
18,0.0068221262
19,0.0060872273
20,0.0058075903
21,0.0055284595
22,0.0050112698
23,0.0046170626
24,0.0042349178
25,0.0039028406
26,0.0037059855
27,0.0031936207
28,0.0030253946
29,0.0027301933
30,0.0026508524
31,0.0024735612
32,0.0022600581
33,0.0018605419
34,0.001794317
35,0.0017131456
36,0.0015936042
37,0.0013808534
38,0.0012271457
39,0.0011759717
40,0.0011252706
41,0.0010045974
42,0.00094809466
43,0.00085408903
44,0.00077306416
45,0.0006480239
46,0.00055599738
47,0.00051800967
48,0.0004670007
49,0.00044673787
50,0.00041493601
51,0.00038989842
52,0.00035427474
53,0.00033193941
54,0.00031128
55,0.00030039499
56,0.00028267636
57,0.00027886122
58,0.00026978839
59,0.00025363193
60,0.00024684444
61,0.00023496381
62,0.00022315111
63,0.0002179913
64,0.0002142782
65,0.00021181808
66,0.00019434393
67,0.00018755784
68,0.00018433686
69,0.00017528331
70,0.00016664207
71,0.00015927742
72,0.00015613047
73,0.0001526688
74,0.00014664206
75,0.00014139307
76,0.00013655823
77,0.00013425931
78,0.00012770149
79,0.00012321133
80,0.00011456816
81,0.00011021743
82,0.00010858366
83,0.00010636583
84,9.8468475e-05
85,9.7302377e-05
86,9.2665633e-05
87,9.0873355e-05
88,8.9471934e-05
89,8.6113706e-05
90,8.1791676e-05
91,8.0148696e-05
92,7.5942689e-05
93,7.5228044e-05
94,7.0965705e-05
95,7.0421698e-05
96,6.6377798e-05
97,6.4512558e-05
98,6.2986002e-05
99,6.1353571e-05
100,5.8683124e-05
101,5.6193815e-05
102,5.4228833e-05
103,5.264111e-05
104,5.1068485e-05
105,4.9398049e-05
106,4.8565022e-05
107,4.5767514e-05
108,4.4897228e-05
109,4.194542e-05
110,3.9829303e-05
111,3.7094088e-05
112,3.6693686e-05
113,3.5549752e-05
114,3.3848627e-05
115,3.263326e-05
116,3.1683719e-05
117,2.9781514e-05
118,2.8810347e-05
119,2.7935353e-05
120,2.7070058e-05
121,2.6179026e-05
122,2.4263063e-05
123,2.3625085e-05
124,2.3250732e-05
125,2.2958463e-05
126,2.2075894e-05
127,2.1322632e-05
128,2.0783127e-05
129,2.0005235e-05
130,1.9058771e-05
131,1.866256e-05
132,1.8552093e-05
133,1.7561784e-05
134,1.7430249e-05
135,1.7217041e-05
136,1.6582797e-05
137,1.630856e-05
138,1.5695531e-05
139,1.5126775e-05
140,1.4742814e-05
141,1.4710378e-05
142,1.3828515e-05
143,1.3407753e-05
144,1.3053001e-05
145,1.29699e-05
146,1.2630018e-05
147,1.2393515e-05
148,1.2254617e-05
149,1.1683657e-05
150,1.1623359e-05
151,1.1469151e-05
152,1.1257851e-05
153,1.0705252e-05
154,1.0277656e-05
155,9.9417058e-06
156,9.6858167e-06
157,9.2944868e-06
158,9.0052455e-06
159,8.9302359e-06
160,8.725596e-06
161,8.630595e-06
162,8.3671116e-06
163,8.2156208e-06
164,7.8804889e-06
165,7.6555637e-06
166,7.4426379e-06
167,7.314635e-06
168,7.2125494e-06
169,6.9429609e-06
170,6.8085806e-06
171,6.552444e-06
172,6.4416361e-06
173,6.3489489e-06
174,6.1277696e-06
175,6.0554232e-06
176,5.8465612e-06
177,5.8088324e-06
178,5.5299475e-06
179,5.4295679e-06
180,5.3331256e-06
181,5.3054184e-06
182,5.18622e-06
183,5.133875e-06
184,5.0200815e-06
185,4.817578e-06
186,4.7233406e-06
187,4.5972521e-06
188,4.4851654e-06
189,4.3646671e-06
190,4.2469005e-06
191,4.2126757e-06
192,4.1103617e-06
193,4.0684307e-06
194,3.8943853e-06
195,3.8250585e-06
196,3.7704431e-06
197,3.6857385e-06
198,3.6332246e-06
199,3.5797459e-06
200,3.4770342e-06
201,3.4328522e-06
202,3.3483481e-06
203,3.3186308e-06
204,3.2799689e-06
205,3.1746227e-06
206,3.0986811e-06
207,3.0093824e-06
208,2.9539784e-06
209,2.9187041e-06
210,2.8961151e-06
211,2.7721418e-06
212,2.7247891e-06
213,2.7088746e-06
214,2.6576938e-06
215,2.5869552e-06
216,2.5319972e-06
217,2.5055892e-06
218,2.4682026e-06
219,2.3732379e-06
220,2.3240631e-06
221,2.2788333e-06
222,2.2472904e-06
223,2.1796673e-06
224,2.1392614e-06
225,2.1127074e-06
226,2.1078892e-06
227,2.0184787e-06
228,1.9418278e-06
229,1.9062649e-06
230,1.8696663e-06
231,1.8285725e-06
232,1.7947163e-06
233,1.7662122e-06
234,1.7399046e-06
235,1.6975272e-06
236,1.6640176e-06
237,1.6369051e-06
238,1.6035178e-06
239,1.5642789e-06
240,1.5330827e-06
241,1.4872253e-06
242,1.473548e-06
243,1.4212855e-06
244,1.3972281e-06
245,1.3648505e-06
246,1.3351193e-06
247,1.2891993e-06
248,1.2619012e-06
249,1.2533944e-06
250,1.2310202e-06
251,1.205529e-06
252,1.1808441e-06
253,1.1633902e-06
254,1.1464948e-06
255,1.1323347e-06
256,1.1257899e-06
257,1.0989348e-06
258,1.0534619e-06
259,1.0304401e-06
260,1.0220899e-06
261,1.0134374e-06
262,9.9094518e-07
263,9.7042179e-07
264,9.3104555e-07
265,9.2717589e-07
266,9.166834e-07
267,8.9576446e-07
268,8.920591e-07
269,8.5543711e-07
270,8.5003604e-07
271,8.343861e-07
272,8.2138361e-07
273,8.138931e-07
274,7.9288982e-07
275,7.7285032e-07
276,7.664618e-07
277,7.6397517e-07
278,7.5094284e-07
279,7.3924033e-07
280,7.3686661e-07
281,7.1913072e-07
282,7.1436828e-07
283,6.8490383e-07
284,6.7152229e-07
285,6.6089095e-07
286,6.58012e-07
287,6.4703009e-07
288,6.4083452e-07
289,6.2770145e-07
290,5.9919576e-07
291,5.8993393e-07
292,5.8401087e-07
293,5.777387e-07
294,5.5905741e-07
295,5.4702198e-07
296,5.3979836e-07
297,5.3467627e-07
298,5.1697034e-07
299,5.111819e-07
300,4.9929008e-07
301,4.8844694e-07
302,4.8547938e-07
303,4.7207368e-07
304,4.6656547e-07
305,4.4995611e-07
306,4.4892081e-07
307,4.3595123e-07
308,4.3388848e-07
309,4.2601909e-07
310,4.2236824e-07
311,4.1160886e-07
312,4.1014471e-07
313,4.0403399e-07
314,3.9791915e-07
315,3.9412986e-07
316,3.8619688e-07
317,3.8005823e-07
318,3.6972025e-07
319,3.6028187e-07
320,3.5528757e-07
321,3.4497092e-07
322,3.3837364e-07
323,3.3606826e-07
324,3.333299e-07
325,3.2594705e-07
326,3.2157833e-07
327,3.179971e-07
328,3.1158017e-07
329,3.0469647e-07
330,2.9809009e-07
331,2.9304143e-07
332,2.8793367e-07
333,2.8170176e-07
334,2.7892873e-07
335,2.7237549e-07
336,2.6929991e-07
337,2.6261975e-07
338,2.5908927e-07
339,2.5455175e-07
340,2.5011821e-07
341,2.4618136e-07
342,2.441317e-07
343,2.3917001e-07
344,2.3495688e-07
345,2.3275756e-07
346,2.281902e-07
347,2.2608813e-07
348,2.2138702e-07
349,2.1801183e-07
350,2.1437843e-07
351,2.079752e-07
352,2.0433371e-07
353,2.0183119e-07
354,2.0063248e-07
355,1.9958372e-07
356,1.9265955e-07
357,1.8723481e-07
358,1.8457396e-07
359,1.8287656e-07
360,1.7884139e-07
361,1.7542871e-07
362,1.7262511e-07
363,1.7004411e-07
364,1.6820051e-07
365,1.6575827e-07
366,1.635945e-07
367,1.6246265e-07
368,1.5880085e-07
369,1.5475098e-07
370,1.5220044e-07
371,1.4965449e-07
372,1.486752e-07
373,1.4708105e-07
374,1.4326252e-07
375,1.4011164e-07
376,1.3725185e-07
377,1.3430134e-07
378,1.3251172e-07
379,1.3122624e-07
380,1.3007249e-07
381,1.2761472e-07
382,1.2642305e-07
383,1.2196549e-07
384,1.2146453e-07
385,1.1846426e-07
386,1.165801e-07
387,1.1455683e-07
388,1.1320761e-07
389,1.1058921e-07
390,1.0915775e-07
391,1.0892058e-07
392,1.0733977e-07
393,1.0548851e-07
394,1.0488274e-07
395,1.0325229e-07
396,1.0135301e-07
397,1.0044864e-07
398,9.8576865e-08
399,9.718448e-08
400,9.6090471e-08
401,9.3738899e-08
402,9.2551524e-08
403,9.1111131e-08
404,8.9905e-08
405,8.9240607e-08
406,8.7434425e-08
407,8.6482951e-08
408,8.4799717e-08
409,8.4279808e-08
410,8.2146175e-08
411,8.1617142e-08
412,8.1139746e-08
413,7.8874388e-08
414,7.6948813e-08
415,7.4606863e-08
416,7.3433535e-08
417,7.3146001e-08
418,7.2657411e-08
419,7.1150611e-08
420,6.9653803e-08
421,6.9200894e-08
422,6.7722851e-08
423,6.6931426e-08
424,6.5295486e-08
425,6.5016554e-08
426,6.3001896e-08
427,6.2070845e-08
428,6.1859132e-08
429,6.1030468e-08
430,6.0207992e-08
431,5.8970161e-08
432,5.7975339e-08
433,5.7445472e-08
434,5.6342203e-08
435,5.629578e-08
436,5.4862133e-08
437,5.4358339e-08
438,5.3322612e-08
439,5.308049e-08
440,5.2604877e-08
441,5.1871725e-08
442,5.1583402e-08
443,5.0420306e-08
444,4.9513003e-08
445,4.8442394e-08
446,4.7801111e-08
447,4.6761616e-08
448,4.6191846e-08
449,4.5427479e-08
450,4.4889167e-08
451,4.4613311e-08
452,4.3684609e-08
453,4.290934e-08
454,4.216455e-08
455,4.1758077e-08
456,4.0454902e-08
457,3.9563085e-08
458,3.9302866e-08
459,3.888365e-08
460,3.8352649e-08
461,3.779533e-08
462,3.7702295e-08
463,3.7300049e-08
464,3.576825e-08
465,3.5435001e-08
466,3.5238357e-08
467,3.4493354e-08
468,3.4261651e-08
469,3.3464634e-08
470,3.3171927e-08
471,3.2995912e-08
472,3.2413935e-08
473,3.2070351e-08
474,3.1463214e-08
475,3.1289935e-08
476,3.1187679e-08
477,3.0470295e-08
478,2.9902465e-08
479,2.9612616e-08
480,2.9517972e-08
481,2.8494254e-08
482,2.8377353e-08
483,2.7368545e-08
484,2.7239621e-08
485,2.6798042e-08
486,2.6721125e-08
