r,J_learned,J_learned_std,count
0.44367989,12.358677,0.7975703,3072
0.7263037,12.483705,0.81780911,3072
0.88973301,12.536828,0.82120444,3072
1.0163954,12.588394,0.8116741,3072
1.1223556,12.62388,0.80291037,3072
1.2173098,12.633623,0.85547048,3072
1.3055808,12.633935,0.81717191,3072
1.3857336,12.653163,0.83331338,3072
1.4617163,12.664251,0.82773805,3072
1.5340122,12.686096,0.81579375,3072
1.6019947,12.697209,0.82822984,3072
1.6686905,12.675191,0.83453997,3072
1.7357417,12.688794,0.8329427,3072
1.8023013,12.740005,0.81201975,3072
1.8662499,12.723109,0.82298188,3072
1.9296897,12.747076,0.80384177,3072
1.9912881,12.745342,0.813505,3072
2.0518971,12.769425,0.81244183,3072
2.1137219,12.7575,0.81060086,3072
2.1747018,12.799238,0.79085354,3072
2.2357024,12.808892,0.78208749,3072
2.2953216,12.814829,0.80137692,3072
2.3597644,12.835996,0.78916787,3072
2.4235123,12.837922,0.78328155,3072
2.4880461,12.859766,0.76673344,3072
2.553692,12.876887,0.76808857,3072
2.6194308,12.920721,0.76288447,3072
2.6876952,12.927148,0.76570266,3072
2.7609119,12.944326,0.7483204,3072
2.8364011,12.973048,0.74199526,3072
2.9152177,13.013053,0.73074003,3072
2.9968307,13.023658,0.75010533,3072
3.0869113,13.064588,0.72560571,3072
3.1886978,13.105491,0.70274792,3072
3.2973179,13.15766,0.71570306,3072
3.4203197,13.197753,0.69471257,3072
3.5680738,13.246841,0.67461434,3072
3.7465379,13.356748,0.65931834,3072
3.9919528,13.448496,0.63488454,3072
4.5257126,13.772881,0.63476533,3072
