mode,mu,sr_weight,plain_weight,residual_power
1,17319.306,1,1,1.7745282
2,528.42223,1,0.030510589,1.8471017
3,132.47,1,0.0076486899,0.16293096
4,122.74694,1,0.0070872895,0.37914848
5,80.090811,1,0.0046243661,0.62245485
6,70.162478,1,0.0040511137,1.5415424
7,37.340465,1,0.0021560024,0.71205353
8,17.573063,1,0.0010146517,3.8747983
9,11.874904,1,0.00068564547,0.1416977
10,8.1609684,1,0.00047120644,0.077517606
11,7.524636,1,0.00043446521,0.097133499
12,6.1450635,1,0.00035481003,0.81685133
13,2.5977249,1,0.00014999013,0.2056391
14,2.3911188,1,0.00013806089,0.1188227
15,1.9458603,1,0.00011235209,1.4173369
16,1.8552362,1,0.00010711955,0.17333027
17,1.6547079,1,9.5541237e-05,1.4608331
18,1.1661772,1,6.7333947e-05,0.020493356
19,0.93805499,1,5.4162389e-05,0.01573555
20,0.72666037,1,4.1956668e-05,0.04779536
21,0.59763616,1,3.4506935e-05,0.38626989
22,0.57462179,1,3.3178107e-05,0.39443974
23,0.5632719,1,3.2522775e-05,0.051844662
24,0.48094106,1,2.7769072e-05,2.4773696
25,0.44925278,1,2.5939421e-05,0.01544599
26,0.39628943,1,2.2881369e-05,0.014813167
27,0.33285432,1,1.9218687e-05,1.5618881
28,0.25836384,1,1.4917679e-05,0.44909835
29,0.1649018,1,9.5212706e-06,5.1242731
30,0.15121607,1,8.73107e-06,0.020380265
31,0.12147668,1,7.013946e-06,0.33743402
32,0.10879142,1,6.2815115e-06,0.026624107
33,0.10127079,1,5.8472775e-06,0.26104919
34,0.098132019,1,5.666048e-06,0.73989225
35,0.083030063,1,4.7940756e-06,0.60024929
36,0.071498998,1,4.1282831e-06,11.154438
37,0.06242567,1,3.6043979e-06,1.0392626
38,0.057491585,1,3.3195086e-06,0.4466376
39,0.05653098,1,3.2640442e-06,1.0659373
40,0.053038848,1,3.0624119e-06,0.0027965695
41,0.050245545,1,2.9011292e-06,0.05008101
42,0.045046819,1,2.6009598e-06,0.45297892
43,0.033759722,1,1.9492537e-06,2.9232163
44,0.029889492,1,1.7257904e-06,0.63723972
45,0.027695949,1,1.5991373e-06,0.32053527
46,0.025796162,1,1.4894455e-06,2.0527269
47,0.025067166,1,1.447354e-06,0.84662802
48,0.02399927,1,1.3856947e-06,1.1533952
49,0.022720935,1,1.3118848e-06,0.94193056
50,0.018944785,1,1.0938536e-06,1.3301192
51,0.016599944,1,9.5846472e-07,0.32248915
52,0.015898449,1,9.1796108e-07,1.1787373
53,0.014830091,1,8.5627516e-07,1.329174
54,0.01438628,1,8.3064989e-07,1.8178652
55,0.01321179,1,7.6283598e-07,1.687865
56,0.012169647,1,7.0266366e-07,1.7392037
57,0.010510993,1,6.068946e-07,2.3515108
58,0.010299809,1,5.9470105e-07,0.035813671
59,0.0096299576,1,5.5602445e-07,0.29317537
60,0.0086830114,1,5.0134869e-07,0.0073157749
61,0.0081308877,1,4.6946961e-07,1.4841495
62,0.0076546264,1,4.4197073e-07,0.0010893187
63,0.0067574833,1,3.9017056e-07,0.33601894
64,0.0060017844,1,3.4653723e-07,0.093489847
65,0.005854603,1,3.3803912e-07,0.53281963
66,0.0054272331,1,3.133632e-07,0.19497381
67,0.0052984255,1,3.0592597e-07,0.049805547
68,0.0050760845,1,2.9308821e-07,0.14935494
69,0.0047341369,1,2.733445e-07,0.33624061
70,0.0045252146,1,2.6128152e-07,0.0061151928
71,0.0041028711,1,2.3689581e-07,0.047371103
72,0.0034882455,1,2.0140793e-07,0.30913025
73,0.0030855951,1,1.7815928e-07,0.054667467
74,0.0029296208,1,1.6915348e-07,0.16716474
75,0.0028683046,1,1.6561314e-07,1.2537731
76,0.0024269817,1,1.4013158e-07,0.89918213
77,0.0020180985,1,1.1652306e-07,3.90317
78,0.0019542036,1,1.1283383e-07,0.11254656
79,0.0018291658,1,1.0561427e-07,0.97446618
80,0.0017652226,1,1.0192225e-07,0.024429403
81,0.0016335499,1,9.4319592e-08,0.068007668
82,0.0015293784,1,8.8304833e-08,0.038957091
83,0.001437505,1,8.3000149e-08,0.13524546
84,0.001290346,1,7.4503334e-08,0.18014961
85,0.0012286315,1,7.0939999e-08,0.84126393
86,0.0011323477,1,6.5380663e-08,0.12418406
87,0.0010819695,1,6.2471875e-08,0.1674737
88,0.0010563192,1,6.0990848e-08,0.14996761
89,0.00095305667,1,5.5028572e-08,4.3886613
90,0.00092889031,1,5.363323e-08,0.011928656
91,0.00090198192,1,5.2079565e-08,0.35220782
92,0.00088197047,1,5.0924123e-08,0.039073292
93,0.00080285352,1,4.6355987e-08,0.73377155
94,0.0007029495,1,4.0587625e-08,0.0039782356
95,0.00066860369,1,3.8604531e-08,0.074511691
96,0.00061508864,1,3.5514624e-08,0.067191669
97,0.00060181313,1,3.4748109e-08,0.086426
98,0.00056872862,1,3.2837841e-08,0.37787151
99,0.00054545099,1,3.1493813e-08,0.072990992
100,0.00053364407,1,3.0812093e-08,0.46662189
101,0.00048601876,1,2.8062254e-08,0.11360779
102,0.00045898338,1,2.6501257e-08,0.30612628
103,0.00043743541,1,2.5257098e-08,0.0021635642
104,0.00042292529,1,2.4419298e-08,0.78876558
105,0.00039355963,1,2.2723753e-08,0.34517452
106,0.00038029287,1,2.1957743e-08,0.18926329
107,0.00036332724,1,2.0978164e-08,1.0051518
108,0.00036034099,1,2.0805741e-08,4.9114138
109,0.00033123285,1,1.9125065e-08,1.707772
110,0.00031650955,1,1.8274956e-08,0.96738657
