index,eigenvalue
1,9.3001472
2,0.33274364
3,0.24396086
4,0.087712416
5,0.031115446
6,0.023156466
7,0.011840463
8,0.0096265112
9,0.0053997467
10,0.0036764314
11,0.0025592537
12,0.0022891419
13,0.0020482112
14,0.001571356
15,0.0013261255
16,0.0010192992
17,0.00087788864
18,0.00067687782
19,0.00059856868
20,0.00048101422
21,0.00045021256
22,0.00034890728
23,0.00033487541
24,0.00028381577
25,0.00024933624
26,0.00021534622
27,0.0001706987
28,0.00015862646
29,0.00015229535
30,0.00013659844
31,0.00011483388
32,0.00010470818
33,0.00010033131
34,8.4526018e-05
35,7.302789e-05
36,6.2253974e-05
37,5.639549e-05
38,5.5513928e-05
39,5.2151952e-05
40,4.7843193e-05
41,4.0475342e-05
42,3.5928186e-05
43,3.4142647e-05
44,3.1292511e-05
45,2.7173188e-05
46,2.6687265e-05
47,2.4328207e-05
48,2.2967788e-05
49,2.265889e-05
50,1.8523061e-05
51,1.7267193e-05
52,1.6466417e-05
53,1.4321782e-05
54,1.3242e-05
55,1.1937086e-05
56,1.0401055e-05
57,1.0270167e-05
58,1.0100313e-05
59,9.9755113e-06
60,9.2148549e-06
61,8.5917178e-06
62,8.434732e-06
63,7.8412504e-06
64,7.3959878e-06
65,6.7649286e-06
66,6.5372966e-06
67,5.4899038e-06
68,5.2371752e-06
69,5.0077441e-06
70,4.8378332e-06
71,4.4929424e-06
72,4.2469406e-06
73,4.0740555e-06
74,3.8190665e-06
75,3.7373833e-06
76,3.6284251e-06
77,3.4594777e-06
78,3.2645891e-06
79,3.0461342e-06
80,3.0056843e-06
81,2.8209645e-06
82,2.780055e-06
83,2.5233773e-06
84,2.4648755e-06
85,2.4156983e-06
86,2.3246551e-06
87,2.1558151e-06
88,2.0791598e-06
89,1.9986029e-06
90,1.8917304e-06
91,1.8050448e-06
92,1.6783078e-06
93,1.5806766e-06
94,1.4589486e-06
95,1.4179125e-06
96,1.317366e-06
97,1.2645742e-06
98,1.1972194e-06
99,1.1093867e-06
100,1.0138305e-06
101,9.8813221e-07
102,9.4971834e-07
103,9.3397479e-07
104,8.9709944e-07
105,8.4323822e-07
106,8.1494749e-07
107,7.3576379e-07
108,7.196888e-07
109,6.8607529e-07
110,6.7686919e-07
111,6.1912412e-07
112,5.6147156e-07
113,5.404613e-07
114,5.3062672e-07
115,5.075389e-07
116,4.6955953e-07
117,4.3790353e-07
118,4.2081901e-07
119,4.04725e-07
120,3.7978934e-07
121,3.7248946e-07
122,3.6791098e-07
123,3.5524665e-07
124,3.3236608e-07
125,3.1076151e-07
126,3.0122508e-07
127,2.8759485e-07
128,2.8256216e-07
129,2.7041697e-07
130,2.6021352e-07
131,2.571434e-07
132,2.4646853e-07
133,2.4055955e-07
134,2.117222e-07
135,2.0446684e-07
136,1.9849906e-07
137,1.9023179e-07
138,1.8087356e-07
139,1.7244461e-07
140,1.6478292e-07
141,1.6254103e-07
142,1.5984982e-07
143,1.5024244e-07
144,1.4284518e-07
145,1.401854e-07
146,1.3836939e-07
147,1.2889641e-07
148,1.2176666e-07
149,1.2039484e-07
150,1.1035909e-07
151,1.0760705e-07
152,1.0123592e-07
153,1.0027928e-07
154,9.4311922e-08
155,9.356459e-08
156,9.1556721e-08
157,8.9684212e-08
158,8.3441245e-08
159,8.2004841e-08
160,7.9499308e-08
161,7.5336787e-08
162,7.2895099e-08
163,6.9286477e-08
164,6.8235162e-08
165,6.5412446e-08
166,6.4653917e-08
167,6.1188412e-08
168,5.94943e-08
169,5.5309593e-08
170,5.2760205e-08
171,5.1411547e-08
172,5.0669099e-08
173,4.9658186e-08
174,4.7235249e-08
175,4.6606617e-08
176,4.5529101e-08
177,4.3475931e-08
178,4.1754232e-08
179,4.0302792e-08
180,3.8641513e-08
181,3.7519961e-08
182,3.6849662e-08
183,3.5380209e-08
184,3.4470737e-08
185,3.3911687e-08
186,3.2653997e-08
187,3.0148226e-08
188,2.9633032e-08
189,2.9054331e-08
190,2.6287467e-08
191,2.5867003e-08
192,2.4237275e-08
193,2.373352e-08
194,2.3331624e-08
195,2.2792514e-08
196,2.092705e-08
197,2.0686398e-08
198,1.982773e-08
199,1.901094e-08
200,1.8532092e-08
201,1.7426804e-08
202,1.7169753e-08
203,1.687543e-08
204,1.6699961e-08
205,1.618863e-08
206,1.5532011e-08
207,1.4759942e-08
208,1.4339442e-08
209,1.4131926e-08
210,1.3613407e-08
211,1.3150807e-08
212,1.2820536e-08
213,1.2684065e-08
214,1.1933191e-08
215,1.1525011e-08
216,1.1455845e-08
217,1.1243005e-08
218,1.0656487e-08
219,1.0492235e-08
220,1.0065835e-08
221,9.7849654e-09
222,9.4360912e-09
223,9.1293751e-09
224,8.945424e-09
225,8.4755596e-09
226,8.3310421e-09
227,7.9166799e-09
228,7.5713775e-09
229,7.4614165e-09
230,7.1409853e-09
231,6.8813929e-09
232,6.7124501e-09
233,6.4115335e-09
234,6.368508e-09
235,6.2055376e-09
236,6.0743838e-09
237,5.8092397e-09
238,5.7357986e-09
239,5.3993007e-09
240,5.2137342e-09
241,5.145816e-09
242,4.9710367e-09
243,4.7962145e-09
244,4.7525876e-09
