r,J_learned,J_learned_std,count
0.4348825,12.434974,0.81420402,3072
0.71727733,12.550295,0.81371313,3072
0.88302474,12.652063,0.82865438,3072
1.0100152,12.674759,0.82432646,3072
1.1171389,12.685713,0.83098632,3072
1.2128376,12.711491,0.83107972,3072
1.2982636,12.739252,0.83661779,3072
1.3794159,12.753133,0.82314666,3072
1.4564448,12.762622,0.84487374,3072
1.5319118,12.792657,0.84679254,3072
1.6018419,12.810238,0.82648489,3072
1.6694842,12.782014,0.82898006,3072
1.733916,12.800364,0.83044791,3072
1.7981248,12.822087,0.81469183,3072
1.8596839,12.817818,0.82295927,3072
1.9204736,12.798987,0.81226737,3072
1.9810945,12.838368,0.81547553,3072
2.0419295,12.838622,0.81035886,3072
2.1035545,12.876731,0.82619989,3072
2.1646268,12.877828,0.7961788,3072
2.2269949,12.925657,0.81455502,3072
2.2884451,12.889088,0.78033715,3072
2.351807,12.938531,0.77672617,3072
2.4147679,12.926041,0.78450696,3072
2.4781465,12.933327,0.79375883,3072
2.5445859,12.972974,0.77727693,3072
2.6124618,12.989676,0.77519545,3072
2.6808776,12.99841,0.7863736,3072
2.7530976,13.036409,0.76475015,3072
2.828896,13.082274,0.74272534,3072
2.9098226,13.105504,0.74724454,3072
2.9953311,13.128909,0.72505111,3072
3.0846554,13.16789,0.73652826,3072
3.1819582,13.182728,0.74036091,3072
3.2903158,13.264353,0.70624796,3072
3.4120504,13.288823,0.7017859,3072
3.5572405,13.371339,0.68259994,3072
3.7403503,13.461681,0.68811081,3072
3.9906455,13.568344,0.65661419,3072
4.5298686,13.877841,0.6458237,3072
