index,eigenvalue
1,233.39974
2,3.8427595
3,2.4466091
4,1.9232848
5,1.0265997
6,0.47886627
7,0.39584184
8,0.30512839
9,0.16088524
10,0.076642843
11,0.07325614
12,0.05049533
13,0.018606485
14,0.017185159
15,0.014234189
16,0.012838758
17,0.010128733
18,0.0085469023
19,0.0082475454
20,0.0078669589
21,0.0071960799
22,0.0058204904
23,0.0037072892
24,0.0034313978
25,0.0031552277
26,0.0030099961
27,0.0028329562
28,0.0024521525
29,0.0022586729
30,0.0013591296
31,0.0011803999
32,0.0010514423
33,0.00099475189
34,0.00097266725
35,0.00084898903
36,0.00078509329
37,0.00071198701
38,0.00060622089
39,0.00055298815
40,0.00054350654
41,0.00046903887
42,0.00042576711
43,0.00036071456
44,0.00032130099
45,0.00029982436
46,0.00027429864
47,0.00023379366
48,0.00023057343
49,0.00020869772
50,0.00019140263
51,0.00016780663
52,0.00015709085
53,0.0001399841
54,0.00013054528
55,0.00012524111
56,0.00011062945
57,0.0001088813
58,0.00010469571
59,9.0122294e-05
60,8.1177261e-05
61,7.5061196e-05
62,7.0533022e-05
63,6.1827003e-05
64,6.1170466e-05
65,5.719577e-05
66,5.3948643e-05
67,5.1337276e-05
68,4.9593808e-05
69,4.7070226e-05
70,4.4969242e-05
71,4.1459781e-05
72,3.8150808e-05
73,3.727696e-05
74,3.4957666e-05
75,3.2287987e-05
76,3.1857409e-05
77,2.8538268e-05
78,2.585908e-05
79,2.380943e-05
80,2.2818083e-05
81,2.1666049e-05
82,2.075207e-05
83,1.8437918e-05
84,1.6769646e-05
85,1.6187495e-05
86,1.4574936e-05
87,1.2463181e-05
88,1.1998464e-05
89,1.0793912e-05
90,1.0511979e-05
91,1.0459317e-05
92,9.715685e-06
93,9.2037523e-06
94,8.2374981e-06
95,7.3972588e-06
96,7.1548089e-06
97,6.4451119e-06
98,6.2597361e-06
99,5.9194263e-06
100,5.7913823e-06
101,5.0079093e-06
102,4.7161782e-06
103,4.2552639e-06
104,4.0563095e-06
105,3.7618521e-06
106,3.6375017e-06
107,3.5275756e-06
108,3.3548753e-06
109,3.2321384e-06
110,3.1706764e-06
111,2.9365584e-06
112,2.8009591e-06
113,2.7234834e-06
114,2.6660324e-06
115,2.4105568e-06
116,2.3021582e-06
117,2.2470646e-06
118,2.1730947e-06
119,2.0851975e-06
120,2.0149022e-06
121,1.8879623e-06
122,1.8313929e-06
123,1.8074213e-06
124,1.7111772e-06
125,1.6542443e-06
126,1.6316181e-06
127,1.5591885e-06
128,1.4852299e-06
129,1.4532206e-06
130,1.3924478e-06
131,1.311716e-06
132,1.2655597e-06
133,1.2618615e-06
134,1.2068521e-06
135,1.1697268e-06
136,1.0983828e-06
137,1.0708219e-06
138,1.034833e-06
139,9.8843834e-07
140,9.4118094e-07
141,9.1202346e-07
142,8.844067e-07
143,8.435227e-07
144,8.0846874e-07
145,7.9091551e-07
146,7.2639302e-07
147,6.8659264e-07
148,6.7192656e-07
149,6.5722931e-07
150,6.3491654e-07
151,5.9457692e-07
152,5.7940765e-07
153,5.5108953e-07
154,5.3181368e-07
155,4.9490349e-07
156,4.7656294e-07
157,4.6811195e-07
158,4.5553894e-07
159,4.3104117e-07
160,4.1456412e-07
161,4.0876305e-07
162,3.9585214e-07
163,3.7733525e-07
164,3.6333191e-07
165,3.4020593e-07
166,3.3783024e-07
167,3.2384019e-07
168,3.1259908e-07
169,2.9329739e-07
170,2.7108711e-07
171,2.6997104e-07
172,2.5760484e-07
173,2.5603213e-07
174,2.3592936e-07
175,2.3505982e-07
176,2.2415654e-07
177,2.1296122e-07
178,2.126663e-07
179,1.9533586e-07
180,1.858548e-07
181,1.8210606e-07
182,1.8084604e-07
183,1.7192346e-07
184,1.6374053e-07
185,1.5370398e-07
186,1.5258311e-07
187,1.487743e-07
188,1.411238e-07
189,1.3756228e-07
190,1.3365859e-07
191,1.2585601e-07
192,1.2320434e-07
193,1.2034167e-07
194,1.1573776e-07
195,1.1235015e-07
196,1.0619177e-07
197,1.0343184e-07
198,9.9546604e-08
199,9.6736684e-08
200,9.541125e-08
201,9.2215442e-08
202,9.0452414e-08
203,8.3619027e-08
204,8.2004552e-08
205,8.1728262e-08
206,7.5358798e-08
207,7.3176787e-08
208,7.1186487e-08
209,6.9122967e-08
210,6.678204e-08
211,6.5497506e-08
212,6.4597177e-08
213,6.0958591e-08
214,5.9935082e-08
215,5.9179497e-08
216,5.850507e-08
217,5.6663924e-08
218,5.4977427e-08
219,5.1538806e-08
220,5.0521205e-08
221,4.9505382e-08
222,4.8620687e-08
223,4.7273322e-08
224,4.6427084e-08
225,4.4613135e-08
226,4.3582007e-08
227,4.2554934e-08
228,4.1393699e-08
229,3.9521999e-08
230,3.8794451e-08
231,3.7444598e-08
232,3.7180639e-08
233,3.5469219e-08
234,3.4372969e-08
235,3.2924376e-08
236,3.184595e-08
237,3.1506697e-08
238,3.0898161e-08
239,3.0073921e-08
240,2.9493565e-08
241,2.8669165e-08
242,2.8060642e-08
243,2.693522e-08
244,2.6729525e-08
245,2.5553769e-08
246,2.4981988e-08
247,2.4350369e-08
248,2.3963944e-08
249,2.3836397e-08
250,2.2817042e-08
251,2.1735694e-08
252,2.1418885e-08
253,2.09327e-08
254,2.0185504e-08
255,1.9491909e-08
256,1.8971001e-08
257,1.8513916e-08
258,1.8308836e-08
259,1.7652547e-08
260,1.6769569e-08
261,1.6238725e-08
262,1.5945539e-08
263,1.5599475e-08
264,1.5394222e-08
265,1.5127913e-08
266,1.4374273e-08
267,1.3789754e-08
268,1.3591816e-08
269,1.3341697e-08
270,1.3019831e-08
271,1.2593966e-08
272,1.1966477e-08
273,1.1424351e-08
274,1.1303372e-08
275,1.0969176e-08
276,1.0840216e-08
277,1.0736154e-08
278,1.0448089e-08
279,9.9631296e-09
280,9.8170215e-09
281,9.3137064e-09
282,9.2569974e-09
283,8.8052512e-09
284,8.5587728e-09
285,8.131057e-09
286,8.007795e-09
287,7.7826094e-09
288,7.6656402e-09
289,7.4331404e-09
290,7.1980936e-09
291,7.098739e-09
292,6.8432128e-09
293,6.6529132e-09
294,6.5353495e-09
295,6.5059525e-09
296,6.3046172e-09
297,6.1175194e-09
298,5.8144662e-09
299,5.7394515e-09
300,5.6187639e-09
301,5.3461031e-09
302,5.1762039e-09
303,5.1395659e-09
304,4.9418258e-09
305,4.9144663e-09
306,4.8377579e-09
307,4.7153352e-09
308,4.4772255e-09
309,4.3936714e-09
310,4.2841023e-09
311,4.0874269e-09
312,3.9304793e-09
313,3.826807e-09
314,3.5647452e-09
315,3.5257892e-09
316,3.4828821e-09
317,3.4295259e-09
318,3.3077594e-09
319,3.2970375e-09
320,3.2311214e-09
321,3.1912882e-09
322,3.1059847e-09
323,3.0567439e-09
324,2.9801564e-09
325,2.8534687e-09
326,2.8458702e-09
327,2.7650154e-09
328,2.6578177e-09
329,2.5941013e-09
330,2.5779504e-09
331,2.4948091e-09
332,2.4206654e-09
333,2.3383121e-09
334,2.2305423e-09
335,2.2064455e-09
336,2.1120972e-09
337,2.0563028e-09
338,2.0343934e-09
339,2.0100112e-09
340,1.9171275e-09
341,1.8969718e-09
342,1.8369025e-09
343,1.8210909e-09
344,1.7688757e-09
345,1.6890786e-09
346,1.6767854e-09
347,1.6235642e-09
348,1.6027536e-09
349,1.5178301e-09
350,1.5011889e-09
351,1.4795261e-09
352,1.4423916e-09
353,1.3956669e-09
354,1.361637e-09
355,1.3301385e-09
356,1.3100305e-09
357,1.2467318e-09
358,1.1981248e-09
359,1.1766056e-09
360,1.1726034e-09
361,1.1277082e-09
362,1.119715e-09
363,1.0866975e-09
364,1.0630334e-09
365,1.0542888e-09
366,1.0247016e-09
367,1.0168481e-09
368,9.7637534e-10
369,9.5361581e-10
370,9.2400751e-10
371,9.0636126e-10
372,8.9914425e-10
373,8.6072515e-10
374,8.5268073e-10
375,8.0900468e-10
376,8.0286105e-10
377,7.8428506e-10
378,7.6632953e-10
379,7.5178149e-10
380,7.3338937e-10
381,7.2516127e-10
382,7.0729584e-10
383,6.7426474e-10
384,6.5561415e-10
385,6.449079e-10
386,6.3611879e-10
387,6.1466273e-10
388,6.0841982e-10
389,6.0375013e-10
390,5.7749817e-10
391,5.7561064e-10
392,5.6834691e-10
