mode,mu,sr_weight,plain_weight,residual_power
1,478002.66,1,1,2.124078e-05
2,7869.9715,1,0.016464284,0.00041395311
3,5010.6554,1,0.010482484,0.00037558493
4,3938.8873,1,0.0082403041,5.5122926e-05
5,2102.4762,1,0.0043984612,0.00043892051
6,980.71813,1,0.0020517002,0.00022566349
7,810.68409,1,0.0016959824,1.0397568e-06
8,624.90295,1,0.0013073211,1.4661654e-05
9,329.49297,1,0.00068931199,0.00015338041
10,156.96454,1,0.00032837588,0.0016719813
11,150.02858,1,0.00031386557,0.00058631204
12,103.41444,1,0.00021634699,6.5898343e-05
13,38.106081,1,7.971939e-05,0.0003472532
14,35.195206,1,7.3629728e-05,0.00011142123
15,29.151619,1,6.0986312e-05,4.6058548e-07
16,26.293776,1,5.5007593e-05,0.00056102532
17,20.743645,1,4.3396505e-05,2.0352915e-05
18,17.504056,1,3.661916e-05,9.9887707e-06
19,16.890973,1,3.5336567e-05,0.00022424145
20,16.111532,1,3.3705946e-05,0.00015608511
21,14.737572,1,3.0831568e-05,3.2082549e-05
22,11.920364,1,2.4937862e-05,8.6699801e-05
23,7.5925282,1,1.5883862e-05,0.00024128786
24,7.0275026,1,1.4701806e-05,2.3306195e-05
25,6.4619063,1,1.3518557e-05,0.00056026881
26,6.164472,1,1.2896313e-05,8.314843e-05
27,5.8018943,1,1.2137787e-05,0.00028339927
28,5.0220084,1,1.0506235e-05,0.00022670204
29,4.6257622,1,9.6772729e-06,0.00011294068
30,2.7834974,1,5.823184e-06,7.2737005e-05
31,2.4174591,1,5.0574176e-06,0.00022391211
32,2.1533539,1,4.5048993e-06,0.00015066739
33,2.0372519,1,4.2620095e-06,0.00016800627
34,1.9920225,1,4.167388e-06,0.0011606252
35,1.7387295,1,3.6374893e-06,0.00010836502
36,1.6078711,1,3.3637282e-06,1.9638019e-05
37,1.4581494,1,3.0505048e-06,2.1738895e-05
38,1.2415404,1,2.5973504e-06,8.4604916e-05
39,1.1325197,1,2.369275e-06,4.6413023e-08
40,1.1131014,1,2.328651e-06,0.00015961164
41,0.9605916,1,2.0095947e-06,0.00084807723
42,0.87197104,1,1.824197e-06,1.1227966e-05
43,0.73874342,1,1.5454797e-06,0.00033242445
44,0.65802442,1,1.3766125e-06,4.4159562e-05
45,0.61404028,1,1.2845959e-06,1.3613614e-05
46,0.56176362,1,1.1752312e-06,1.781003e-06
47,0.47880942,1,1.0016878e-06,0.0019225085
48,0.47221439,1,9.8789071e-07,0.0015116161
49,0.42741292,1,8.9416431e-07,0.00052973904
50,0.39199259,1,8.2006361e-07,0.00086071134
51,0.34366798,1,7.1896666e-07,5.6269835e-05
52,0.32172206,1,6.7305495e-07,0.00010235297
53,0.28668744,1,5.9976118e-07,0.00047381227
54,0.26735674,1,5.593206e-07,0.0011843834
55,0.2564938,1,5.3659492e-07,0.00015372746
56,0.22656912,1,4.7399134e-07,0.00013795439
57,0.2229889,1,4.6650138e-07,2.3024894e-05
58,0.21441681,1,4.4856825e-07,5.5301823e-07
59,0.18457046,1,3.8612852e-07,1.6998733e-05
60,0.16625103,1,3.4780357e-07,0.00088803024
61,0.15372533,1,3.2159932e-07,0.0012126941
62,0.14445163,1,3.0219838e-07,6.4985876e-07
63,0.1266217,1,2.6489748e-07,0.00012309087
64,0.12527711,1,2.6208455e-07,5.5541219e-05
65,0.11713694,1,2.4505499e-07,5.8788966e-05
66,0.11048682,1,2.3114269e-07,0.00051383294
67,0.10513874,1,2.199543e-07,0.00019536172
68,0.10156812,1,2.1248442e-07,0.00030546524
69,0.096399823,1,2.0167215e-07,0.00060057074
70,0.092097008,1,1.9267049e-07,1.3357651e-05
71,0.084909632,1,1.7763422e-07,3.4945019e-08
72,0.078132855,1,1.6345695e-07,3.5602292e-05
73,0.076343214,1,1.5971295e-07,0.00067130705
74,0.071593301,1,1.4977595e-07,0.00054200135
75,0.066125796,1,1.3833772e-07,6.0530546e-06
76,0.065243974,1,1.3649291e-07,0.00036485491
77,0.058446373,1,1.2227207e-07,7.1684731e-05
78,0.052959397,1,1.107931e-07,0.00049471688
79,0.048761713,1,1.0201138e-07,0.00023024276
80,0.046731434,1,9.7763962e-08,0.00083684878
81,0.044372069,1,9.2828079e-08,0.0003771141
82,0.042500239,1,8.8912139e-08,2.5150062e-06
83,0.037760856,1,7.8997166e-08,0.0010253851
84,0.034344235,1,7.1849463e-08,3.0262962e-05
85,0.03315199,1,6.9355242e-08,3.4356489e-05
86,0.029849469,1,6.244624e-08,7.2073652e-08
87,0.025524595,1,5.3398438e-08,1.9769711e-05
88,0.024572854,1,5.1407358e-08,0.00011073707
89,0.022105932,1,4.6246462e-08,2.0035531e-05
90,0.021528533,1,4.5038522e-08,0.00033466939
91,0.021420682,1,4.4812892e-08,0.00010861342
92,0.019897723,1,4.1626804e-08,0.00057696247
93,0.018849285,1,3.943343e-08,0.00051350787
94,0.016870396,1,3.5293519e-08,1.178744e-05
95,0.015149586,1,3.1693518e-08,1.8901055e-06
96,0.014653049,1,3.0654743e-08,2.6571504e-05
97,0.013199589,1,2.761405e-08,0.00041847116
98,0.01281994,1,2.6819808e-08,2.0253972e-06
99,0.012122985,1,2.5361752e-08,0.00015080159
100,0.011860751,1,2.4813148e-08,1.0367306e-05
101,0.010256198,1,2.1456362e-08,4.974642e-05
102,0.0096587329,1,2.0206442e-08,0.00052832842
103,0.0087147805,1,1.8231657e-08,5.0283132e-06
104,0.0083073219,1,1.7379238e-08,0.00053068853
105,0.007704273,1,1.6117636e-08,1.4686945e-06
106,0.0074496035,1,1.5584858e-08,0.00015032947
107,0.0072244748,1,1.511388e-08,0.00029234857
108,0.0068707845,1,1.4373946e-08,0.00010810615
109,0.0066194194,1,1.3848081e-08,0.00013249229
110,0.0064935452,1,1.3584747e-08,7.7071468e-08
111,0.0060140716,1,1.258167e-08,1.060034e-05
112,0.0057363642,1,1.2000695e-08,5.2577725e-07
113,0.0055776939,1,1.1668751e-08,0.00031129479
114,0.0054600343,1,1.1422602e-08,0.00024937648
115,0.0049368203,1,1.0328018e-08,7.6977702e-05
116,0.00471482,1,9.8635854e-09,2.7430462e-05
117,0.0046019884,1,9.6275372e-09,7.4642349e-05
118,0.0044504979,1,9.3106132e-09,3.8206845e-06
119,0.0042704845,1,8.9340183e-09,0.0015155799
120,0.0041265198,1,8.6328386e-09,0.00023244992
121,0.0038665469,1,8.0889652e-09,3.7714508e-06
122,0.0037506927,1,7.8465938e-09,3.8823299e-06
123,0.0037015988,1,7.7438875e-09,8.0470138e-06
124,0.0035044909,1,7.3315302e-09,1.2709172e-06
125,0.0033878924,1,7.0876015e-09,2.2041709e-05
126,0.0033415539,1,6.9906596e-09,0.00036097942
127,0.0031932181,1,6.6803354e-09,0.00073934435
128,0.0030417509,1,6.3634602e-09,0.001172071
129,0.0029761957,1,6.2263163e-09,0.00033386542
130,0.0028517332,1,5.9659357e-09,0.0029102224
131,0.0026863944,1,5.6200406e-09,0.0012129186
132,0.0025918663,1,5.4222843e-09,3.5888358e-05
133,0.0025842924,1,5.4064393e-09,0.0011286537
134,0.002471633,1,5.1707516e-09,0.00032698629
135,0.0023956004,1,5.0116885e-09,0.00056954807
136,0.0022494879,1,4.7060155e-09,0.0001244078
137,0.0021930432,1,4.587931e-09,0.00039588613
138,0.0021193379,1,4.4337367e-09,0.00052470017
139,0.0020243217,1,4.2349591e-09,0.00074050578
140,0.0019275386,1,4.032485e-09,2.40501e-05
141,0.001867824,1,3.9075599e-09,2.7234691e-05
142,0.0018112649,1,3.7892361e-09,2.6705694e-05
143,0.0017275345,1,3.6140688e-09,0.00027405186
144,0.001655744,1,3.4638803e-09,0.00011379504
145,0.001619795,1,3.3886735e-09,0.00031535546
146,0.0014876529,1,3.1122273e-09,8.2046425e-06
147,0.0014061417,1,2.9417027e-09,6.5660081e-05
148,0.0013761056,1,2.878866e-09,4.2733677e-05
149,0.0013460056,1,2.8158957e-09,1.4560588e-05
150,0.0013003091,1,2.7202967e-09,0.00077210653
151,0.0012176935,1,2.5474618e-09,0.00027018465
152,0.0011866269,1,2.4824692e-09,0.00019589324
153,0.0011286314,1,2.3611403e-09,5.1455171e-05
154,0.0010891544,1,2.2785531e-09,4.864964e-05
155,0.0010135623,1,2.1204115e-09,2.4111053e-05
156,0.00097600089,1,2.0418315e-09,9.7607625e-07
157,0.00095869328,1,2.0056233e-09,0.00091436539
158,0.00093294375,1,1.9517543e-09,0.00035855355
159,0.00088277231,1,1.8467937e-09,0.00023469777
160,0.00084902731,1,1.7761979e-09,5.8380899e-05
161,0.00083714673,1,1.7513432e-09,0.00021154212
162,0.00081070518,1,1.6960265e-09,2.1937865e-05
163,0.00077278259,1,1.616691e-09,3.9356372e-05
164,0.00074410375,1,1.5566937e-09,6.2029434e-05
165,0.00069674175,1,1.4576106e-09,3.189541e-05
166,0.00069187634,1,1.447432e-09,0.00070618902
167,0.00066322471,1,1.3874917e-09,5.5388965e-07
168,0.00064020292,1,1.3393292e-09,1.2039485e-09
169,0.00060067306,1,1.2566312e-09,0.00021752436
170,0.0005551864,1,1.1614714e-09,0.00096460494
171,0.00055290069,1,1.1566896e-09,0.00014141087
172,0.00052757472,1,1.1037067e-09,7.8582206e-05
173,0.00052435379,1,1.0969684e-09,0.0022336883
174,0.00048318333,1,1.0108382e-09,0.00011232606
175,0.00048140251,1,1.0071126e-09,0.00029814098
176,0.0004590726,1,9.6039758e-10,0.00051226393
177,0.00043614459,1,9.124313e-10,0.00016839929
178,0.00043554057,1,9.1116768e-10,1.9232211e-08
179,0.00040004785,1,8.3691552e-10,5.2846252e-05
180,0.00038063061,1,7.9629393e-10,0.00011289281
181,0.00037295323,1,7.8023253e-10,4.5678472e-05
182,0.00037037269,1,7.7483394e-10,0.0004157361
183,0.00035209925,1,7.3660521e-10,1.1643253e-05
184,0.00033534061,1,7.0154549e-10,1.2506395e-05
185,0.00031478575,1,6.5854393e-10,7.4965079e-05
186,0.00031249021,1,6.5374158e-10,0.00017348855
187,0.00030468977,1,6.3742275e-10,9.4490987e-05
188,0.00028902154,1,6.0464421e-10,3.4541653e-05
189,0.00028172754,1,5.8938487e-10,0.00070987802
190,0.0002737328,1,5.7265958e-10,0.00061595471
191,0.0002577531,1,5.3922943e-10,9.4067346e-05
192,0.00025232248,1,5.2786836e-10,0.00024157669
193,0.00024645974,1,5.1560329e-10,2.7135283e-05
194,0.00023703093,1,4.9587785e-10,4.0793049e-05
195,0.0002300931,1,4.8136364e-10,0.0004940008
196,0.00021748074,1,4.549781e-10,4.9765462e-06
197,0.00021182841,1,4.4315321e-10,9.7114346e-07
198,0.00020387145,1,4.2650693e-10,1.9735763e-07
199,0.00019811673,1,4.1446783e-10,0.00019181456
200,0.00019540224,1,4.0878902e-10,0.00094790289
201,0.00018885723,1,3.950966e-10,0.0017577277
202,0.00018524655,1,3.8754292e-10,0.0014342783
203,0.00017125177,1,3.582653e-10,0.00067308871
204,0.00016794533,1,3.5134811e-10,1.3549383e-06
205,0.00016737948,1,3.5016433e-10,0.00024067283
206,0.00015433482,1,3.2287439e-10,0.00040792775
207,0.00014986605,1,3.1352556e-10,0.0003928711
208,0.00014578993,1,3.0499815e-10,0.00083276947
209,0.00014156384,1,2.9615701e-10,0.00090059407
210,0.00013676962,1,2.8612732e-10,4.0048809e-05
211,0.00013413889,1,2.8062374e-10,0.00024203078
212,0.00013229502,1,2.7676629e-10,3.9335763e-06
213,0.00012484319,1,2.6117678e-10,0.00010150874
214,0.00012274704,1,2.5679155e-10,0.00082167389
215,0.00012119961,1,2.5355426e-10,0.00092445363
216,0.00011981838,1,2.5066467e-10,4.2414003e-05
217,0.00011604771,1,2.4277629e-10,1.3836046e-05
218,0.00011259377,1,2.3555052e-10,0.00092248464
219,0.00010555147,1,2.2081775e-10,0.00050350764
220,0.00010346743,1,2.1645785e-10,0.00023402029
221,0.00010138703,1,2.1210557e-10,0.00089422433
222,9.9575167e-05,1,2.0831509e-10,0.00048314635
223,9.6815765e-05,1,2.0254231e-10,7.7832609e-10
224,9.5082665e-05,1,1.989166e-10,0.0015771616
225,9.13677e-05,1,1.9114475e-10,0.00067347881
226,8.9255946e-05,1,1.8672688e-10,0.00012811418
227,8.7152503e-05,1,1.823264e-10,2.3837776e-06
228,8.4774291e-05,1,1.7735109e-10,3.7844223e-05
229,8.0941053e-05,1,1.693318e-10,3.8261984e-05
230,7.9451035e-05,1,1.6621463e-10,0.00024445833
231,7.6686535e-05,1,1.6043119e-10,0.0011403972
232,7.6145947e-05,1,1.5930026e-10,0.0004367503
233,7.2640961e-05,1,1.5196769e-10,9.7193243e-07
234,7.0395844e-05,1,1.4727082e-10,3.2402301e-05
235,6.7429119e-05,1,1.4106432e-10,0.00090567146
236,6.522051e-05,1,1.3644382e-10,0.00012603407
237,6.4525719e-05,1,1.3499029e-10,7.53573e-08
238,6.3279433e-05,1,1.3238301e-10,4.6882202e-05
239,6.1591392e-05,1,1.2885157e-10,0.00039325278
240,6.0402819e-05,1,1.2636503e-10,5.2968691e-05
241,5.871445e-05,1,1.2283289e-10,0.00015814225
242,5.746819e-05,1,1.2022567e-10,0.00033227397
243,5.5163326e-05,1,1.1540381e-10,6.6339814e-05
244,5.4742069e-05,1,1.1452252e-10,4.025606e-06
245,5.2334115e-05,1,1.0948499e-10,5.012122e-06
246,5.1163115e-05,1,1.0703521e-10,4.6781027e-05
247,4.9869557e-05,1,1.0432904e-10,3.4973541e-05
248,4.9078156e-05,1,1.0267339e-10,1.9873939e-05
249,4.8816944e-05,1,1.0212693e-10,0.00012125926
