r,J_learned,J_learned_std,count
15.034345,110.15615,2.9559713,3072
19.147742,110.92148,2.9479977,3072
21.252897,111.22885,2.9026611,3072
22.892312,111.40269,3.0183296,3072
24.273347,111.72698,2.9562536,3072
25.487424,111.64963,3.0608417,3072
26.656955,111.8288,2.9792391,3072
27.794286,111.89326,3.1088988,3072
28.851488,111.88877,3.0363201,3072
29.902347,111.93637,2.9931346,3072
30.914431,111.8995,3.1248305,3072
31.951327,111.81857,3.1574122,3072
32.991018,111.92577,3.0976174,3072
34.017855,111.93772,3.074608,3072
35.063077,111.93045,3.0795317,3072
36.11885,111.87284,3.1077542,3072
37.192577,111.85106,3.0587563,3072
38.244141,111.78506,3.1027581,3072
39.315776,111.78176,3.07441,3072
40.361925,111.7046,3.0447745,3072
41.406672,111.92694,3.0336149,3072
42.46908,111.77205,3.0212757,3072
43.490171,111.76352,3.0441652,3072
44.541492,111.92773,2.9557571,3072
45.608696,111.95106,2.9476236,3072
46.692043,112.08704,2.8932666,3072
47.756298,112.11126,2.9893918,3072
48.825835,112.10235,2.9096046,3072
49.923419,112.26896,2.9018214,3072
51.082989,112.38955,2.9038683,3072
52.285293,112.42171,2.9888779,3072
53.542129,112.50215,2.9067364,3072
54.869299,112.56056,2.8803096,3072
56.311604,112.64632,2.9562204,3072
57.83714,112.76171,2.8419814,3072
59.499568,112.92877,2.7825346,3072
61.43988,113.13633,2.8227003,3072
63.771741,113.39328,2.7412323,3072
66.884294,113.73943,2.6414908,3072
73.20303,114.83642,2.5678929,3072
