r,J_learned,J_learned_std,count
1.2988378,112.86738,2.5845271,6759
1.9872726,113.0941,2.6112782,6758
2.3643052,113.21253,2.567262,6759
2.6651587,113.31283,2.5989505,6758
2.923622,113.29837,2.6259403,6758
3.158468,113.29341,2.6463665,6759
3.3758498,113.31967,2.5970164,6758
3.579585,113.33199,2.5937731,6758
3.773575,113.4056,2.5671023,6759
3.9605442,113.334,2.6207996,6758
4.1448117,113.46263,2.5988012,6759
4.3219553,113.42385,2.638368,6758
4.4967501,113.46046,2.5818413,6758
4.669886,113.4623,2.5878291,6759
4.8414008,113.46515,2.6091062,6758
5.0143695,113.46876,2.600342,6758
5.1863998,113.4819,2.5590989,6759
5.3613849,113.52776,2.590972,6758
5.5373168,113.49985,2.5529029,6759
5.7170705,113.5221,2.5759815,6758
5.8970353,113.57789,2.5752631,6758
6.0770668,113.60324,2.5738222,6759
6.2606409,113.5205,2.582114,6758
6.4479902,113.60346,2.6153788,6758
6.6378765,113.59146,2.5920922,6759
6.8370011,113.65111,2.5972125,6758
7.0405732,113.66926,2.5848574,6759
7.2479999,113.6893,2.5822845,6758
7.4615024,113.70412,2.5890712,6758
7.685785,113.71621,2.5763082,6759
7.9160789,113.73512,2.5373893,6758
8.1554675,113.7585,2.5371853,6758
8.413522,113.75443,2.5042553,6759
8.6851038,113.92836,2.5263435,6758
8.9763628,113.95399,2.4894528,6759
9.3023042,114.04695,2.4879545,6758
9.6861038,114.17453,2.4329764,6758
10.140958,114.41471,2.4560788,6759
10.741923,114.6774,2.3803226,6758
11.942869,115.38326,2.3676536,6759
