r,J_learned,J_learned_std,count
1.3068225,108.39675,2.5742575,6759
1.9914074,108.65167,2.5815702,6758
2.3736827,108.71203,2.5874788,6759
2.6724958,108.77323,2.5664005,6758
2.9312819,108.84601,2.5796467,6758
3.1672133,108.9002,2.6674625,6759
3.3834521,108.87097,2.6544464,6758
3.5903282,108.90173,2.6133782,6758
3.7830486,108.94993,2.6297365,6759
3.9642967,108.91,2.6101655,6758
4.1455192,108.98537,2.5584994,6759
4.325521,108.96867,2.6222303,6758
4.5032687,108.96648,2.5799205,6758
4.6777711,109.05787,2.6107514,6759
4.8521462,109.00956,2.6003996,6758
5.0278866,108.9864,2.6608231,6758
5.2001602,109.04062,2.5621564,6759
5.3735248,109.02017,2.5602037,6758
5.5482289,109.06216,2.5619115,6759
5.7263852,109.07052,2.5640091,6758
5.905331,109.07139,2.6039625,6758
6.0866526,109.06443,2.603145,6759
6.2717596,109.10529,2.5624033,6758
6.4609692,109.16792,2.5693992,6758
6.651878,109.12594,2.5865631,6759
6.8469462,109.18326,2.5859127,6758
7.0452354,109.23873,2.5854639,6759
7.2503271,109.17807,2.5659384,6758
7.4667464,109.24629,2.5564777,6758
7.6875876,109.24971,2.5620378,6759
7.9193716,109.28284,2.5141365,6758
8.1632331,109.34449,2.5193108,6758
8.4168144,109.36142,2.5264234,6759
8.6888735,109.43938,2.5007748,6758
8.986928,109.48853,2.5055864,6759
9.3226544,109.60639,2.4553607,6758
9.6978527,109.71531,2.480031,6758
10.145359,109.91936,2.4082096,6759
10.762208,110.22963,2.3589508,6758
11.975441,110.9078,2.3370146,6759
