mode,mu,sr_weight,plain_weight,residual_power
1,549938.11,1,1,0.0054843215
2,24596.167,1,0.044725337,0.0041741225
3,8211.5872,1,0.014931839,0.0012885568
4,7805.5924,1,0.014193583,0.00037336282
5,6594.1271,1,0.011990671,0.0011412336
6,5658.7122,1,0.010289726,9.6397503e-05
7,5122.6004,1,0.0093148671,0.0012971335
8,1560.6542,1,0.0028378724,0.0043737223
9,773.91595,1,0.0014072783,0.044691552
10,713.44861,1,0.0012973253,7.3512011e-06
11,612.61839,1,0.001113977,0.0071256847
12,545.19092,1,0.00099136777,0.0014657634
13,512.97091,1,0.00093277934,0.0055702893
14,351.39873,1,0.00063897868,0.00029180445
15,341.79378,1,0.00062151318,0.00022693305
16,197.61038,1,0.00035933203,0.00097859959
17,168.77214,1,0.00030689296,0.003191287
18,134.88399,1,0.00024527121,0.027683786
19,134.01898,1,0.00024369829,0.0013211536
20,122.37717,1,0.00022252898,0.0011285346
21,111.45446,1,0.00020266727,0.0015942163
22,99.194318,1,0.0001803736,0.0075382605
23,89.251746,1,0.00016229416,0.0065886861
24,61.273584,1,0.00011141905,0.18788457
25,40.244028,1,7.3179194e-05,0.0027119429
26,35.703727,1,6.4923172e-05,0.0053001188
27,30.569419,1,5.5587017e-05,0.0034479606
28,25.543028,1,4.6447095e-05,0.049255859
29,23.736798,1,4.3162671e-05,0.0036004118
30,21.991466,1,3.9988984e-05,0.0028481861
31,20.536731,1,3.7343713e-05,0.008317405
32,19.966909,1,3.6307557e-05,0.0024632209
33,18.745489,1,3.4086542e-05,0.0043042186
34,17.869796,1,3.2494195e-05,0.002172609
35,16.701859,1,3.0370433e-05,6.5037302e-05
36,16.078305,1,2.9236572e-05,0.0019973161
37,13.927116,1,2.5324878e-05,0.00052783632
38,11.869758,1,2.1583806e-05,0.00073125649
39,10.60656,1,1.9286825e-05,0.00014587825
40,8.1706606,1,1.4857418e-05,0.0021203114
41,7.9427365,1,1.4442964e-05,0.00041080603
42,6.7879984,1,1.2343204e-05,0.0022735754
43,5.7709271,1,1.0493776e-05,0.00090091049
44,5.3254559,1,9.6837368e-06,0.00033259613
45,4.9195304,1,8.9456074e-06,6.4612213e-06
46,4.4620195,1,8.1136757e-06,0.00019954912
47,3.9581484,1,7.1974434e-06,0.0015635946
48,3.725678,1,6.7747223e-06,7.3684338e-05
49,3.6820043,1,6.6953066e-06,0.00090445821
50,3.1767033,1,5.7764742e-06,1.36488e-05
51,2.9994617,1,5.4541804e-06,0.0083568869
52,2.8867266,1,5.2491844e-06,0.0012613616
53,2.3631945,1,4.2972009e-06,1.7435061e-05
54,2.3317143,1,4.2399577e-06,0.00050285121
55,2.0367031,1,3.7035133e-06,0.00023854836
56,1.9400673,1,3.5277921e-06,1.8118679e-09
57,1.726266,1,3.1390186e-06,4.332e-07
58,1.5767227,1,2.8670911e-06,0.0013121079
59,1.5462575,1,2.8116936e-06,8.493337e-05
60,1.47187,1,2.6764285e-06,0.0019526419
61,1.3324007,1,2.4228194e-06,0.00076964712
62,1.0585173,1,1.9247936e-06,0.00032035763
63,0.87776668,1,1.596119e-06,0.0001445971
64,0.87168313,1,1.5850568e-06,0.00059757834
65,0.72136236,1,1.3117155e-06,0.0030885098
