mode,mu,sr_weight,plain_weight,residual_power
1,124334.4,1,1,0.0048148937
2,49102.209,1,0.39492056,8.8831534e-05
3,40101.275,1,0.32252761,0.0005035818
4,7004.054,1,0.056332392,0.0016298373
5,5908.9903,1,0.047524985,0.0031971361
6,5398.6533,1,0.043420434,0.0034293585
7,4946.977,1,0.039787679,0.023268995
8,3961.2574,1,0.031859707,0.0086347047
9,3325.3101,1,0.026744893,0.0032239884
10,2996.0166,1,0.024096442,1.2346248e-07
11,2369.2751,1,0.019055669,0.0093516385
12,2069.3888,1,0.016643736,0.0013637753
13,2008.828,1,0.016156656,7.2697825e-05
14,1875.8241,1,0.015086929,0.10552801
15,1696.1515,1,0.013641852,0.00048711933
16,1642.2279,1,0.013208155,0.0081046257
17,1438.4424,1,0.011569143,0.00049836289
18,1273.5131,1,0.010242645,0.00014805459
19,1254.3115,1,0.01008821,0.0036816529
20,1231.4047,1,0.0099039743,0.021677551
21,1048.5265,1,0.0084331171,0.0024361586
22,1010.6826,1,0.0081287453,0.023181428
23,939.68344,1,0.0075577111,0.0097618062
24,870.68043,1,0.0070027319,0.00036388618
25,822.84177,1,0.0066179738,0.02771897
26,741.3479,1,0.0059625327,0.019686578
27,698.34062,1,0.0056166326,0.020260335
28,668.67497,1,0.0053780369,0.066997315
29,640.25173,1,0.0051494337,8.8177865e-06
30,615.63932,1,0.0049514804,9.1086033e-05
31,564.28569,1,0.004538452,0.00063617776
32,554.50345,1,0.0044597751,0.0033114134
33,537.81326,1,0.0043255389,0.0068125164
34,499.63445,1,0.0040184733,2.3278555e-05
35,473.83548,1,0.0038109767,0.00026121449
36,442.69372,1,0.0035605089,6.5807921e-05
37,405.88395,1,0.0032644543,0.0091861127
38,389.79244,1,0.0031350331,0.027433635
39,380.56451,1,0.0030608144,0.039816053
40,354.86366,1,0.0028541069,0.022424632
41,340.66071,1,0.002739875,2.0778253e-05
42,328.17623,1,0.0026394646,0.0088895476
43,310.52223,1,0.0024974765,0.041876636
44,285.54708,1,0.0022966057,0.033918388
45,281.64374,1,0.0022652118,0.0084112032
46,275.88567,1,0.0022189006,0.0021671403
47,271.38295,1,0.0021826861,0.025729825
48,258.91018,1,0.0020823697,0.00017185673
49,251.25891,1,0.0020208319,0.016948835
50,241.51438,1,0.0019424583,0.00023562066
51,233.47707,1,0.0018778156,0.0019892084
52,228.20217,1,0.0018353905,0.00080508006
53,215.05588,1,0.0017296572,0.0065773583
54,211.45543,1,0.0017006994,0.0029127065
55,201.16958,1,0.0016179721,0.015245456
56,190.4208,1,0.0015315215,6.3991964e-08
57,183.21012,1,0.0014735272,9.3048371e-06
58,181.08486,1,0.0014564342,0.027900434
59,170.37475,1,0.0013702946,0.026640609
60,167.90931,1,0.0013504655,0.014675252
61,161.24479,1,0.0012968639,0.0084999504
62,155.58407,1,0.0012513357,0.024433542
63,153.96798,1,0.0012383378,0.0054093313
64,148.98592,1,0.0011982679,0.01289877
65,142.77765,1,0.0011483359,0.0056794514
66,139.92317,1,0.0011253778,0.008321083
67,136.75021,1,0.0010998582,0.0098489089
68,135.37233,1,0.0010887762,0.0041014108
69,131.72654,1,0.0010594537,0.0020022329
70,127.37271,1,0.0010244366,0.047091931
71,125.98019,1,0.0010132368,0.041790576
72,120.72339,1,0.00097095733,0.090161985
73,118.27522,1,0.00095126714,0.0028164584
74,117.41553,1,0.00094435279,0.033918459
75,115.08589,1,0.00092561585,0.041946766
