index,eigenvalue
1,182.42795
2,128.65609
3,106.28971
4,7.3483845
5,6.453111
6,3.8919147
7,3.2453271
8,2.4857181
9,2.1237919
10,1.5838505
11,1.4580345
12,1.1312626
13,1.0199988
14,0.74141785
15,0.64075256
16,0.59298188
17,0.55083364
18,0.44783296
19,0.38393625
20,0.37964092
21,0.29346206
22,0.28475649
23,0.2453449
24,0.23322175
25,0.21996319
26,0.21018614
27,0.20442295
28,0.19353629
29,0.17570929
30,0.15917654
31,0.14511441
32,0.13907758
33,0.12924509
34,0.12470005
35,0.11004838
36,0.10503155
37,0.091452675
38,0.084070861
39,0.078957941
40,0.075224728
41,0.072155668
42,0.069442483
43,0.068019769
44,0.065390573
45,0.059828036
46,0.058787149
47,0.05548993
48,0.052475352
49,0.047720733
50,0.04511574
51,0.044609165
52,0.043080041
53,0.042469815
54,0.042285095
55,0.038910025
56,0.037909395
57,0.036130217
58,0.034557552
59,0.034358607
60,0.033688573
61,0.033196243
62,0.031350943
63,0.02970819
64,0.028714479
65,0.027875762
66,0.026629455
67,0.025890574
68,0.025195713
69,0.024021054
70,0.023741987
71,0.023579064
72,0.022514508
73,0.02185556
74,0.021086738
75,0.020566221
76,0.019859082
77,0.019113216
78,0.018522347
79,0.018096302
80,0.017213124
81,0.016952614
82,0.016430653
83,0.015813587
84,0.015545616
85,0.014906677
86,0.014818448
87,0.014267768
88,0.013769478
89,0.013651465
90,0.013253467
91,0.013029185
92,0.012629559
93,0.012405085
94,0.012085228
95,0.011873056
96,0.011248162
97,0.011093716
98,0.010853716
99,0.010633724
100,0.010311996
101,0.010222869
102,0.010103933
103,0.0099087669
104,0.0095950022
105,0.0093323656
106,0.0093110396
107,0.0088019424
108,0.0087513645
109,0.008617978
110,0.0085230991
111,0.0083379074
112,0.0082472575
113,0.0081608919
114,0.0078863754
115,0.0077005848
116,0.007612767
117,0.007426023
118,0.0073072493
119,0.0071896357
120,0.0069925192
121,0.0068925225
122,0.0067878174
123,0.0065969963
124,0.0065560532
125,0.0064447937
126,0.0062530518
127,0.0061854064
128,0.00609496
129,0.0060629171
130,0.0058443273
131,0.0058023973
132,0.0056805253
133,0.0055850518
134,0.0055674685
135,0.0054554958
136,0.0052908498
137,0.0051820893
138,0.0050965395
139,0.0050154285
