mode,mu,sr_weight,plain_weight,residual_power
1,114206.05,1,1,0.0033303222
2,95113.102,1,0.83282013,0.15870801
3,62744.631,1,0.54939846,0.38297871
4,36077.025,1,0.31589415,0.051665223
5,25350.06,1,0.22196774,0.00029306379
6,14038.144,1,0.12291944,0.12435868
7,12244.07,1,0.10721034,0.38399329
8,6923.6545,1,0.060624233,0.0027073938
9,5916.0588,1,0.051801621,0.0063578885
10,5101.5799,1,0.04466996,0.024639958
11,3894.9894,1,0.034104929,0.0080900472
12,3457.0798,1,0.030270548,0.10468485
13,3195.3622,1,0.027978922,0.079911528
14,2690.5221,1,0.023558489,0.019591156
15,2399.3139,1,0.02100864,0.2635467
16,2103.8174,1,0.018421242,1.0996727
17,1604.1075,1,0.014045731,0.0017339606
18,1527.1672,1,0.013372033,0.089680932
19,1461.7936,1,0.012799616,0.0076970023
20,1383.5352,1,0.012114377,0.02719662
21,1162.4015,1,0.010178108,0.057451867
22,1057.1155,1,0.0092562123,0.23817223
23,928.57974,1,0.00813074,0.11231348
24,872.71904,1,0.007641618,1.5605944e-07
25,838.72971,1,0.0073440039,0.079366793
26,784.94153,1,0.0068730291,0.14902477
27,685.21195,1,0.0059997865,0.073699545
28,638.92623,1,0.005594504,0.097695401
29,615.838,1,0.0053923411,0.3023576
30,576.05539,1,0.0050440005,0.00027887387
31,554.25859,1,0.0048531454,0.0016893361
32,493.91139,1,0.0043247391,0.01912314
33,449.13052,1,0.0039326332,0.015168739
34,414.70326,1,0.0036311846,0.06343133
35,379.88046,1,0.0033262725,0.0011463456
36,361.6391,1,0.0031665492,0.024324791
37,346.77948,1,0.0030364369,0.048175917
38,327.73748,1,0.0028697032,0.27365074
39,309.07632,1,0.0027063042,0.29594949
40,288.6283,1,0.0025272592,0.00080500553
41,267.85915,1,0.0023454024,0.079435972
42,254.92966,1,0.0022321904,0.38888211
43,250.33431,1,0.0021919531,0.0031643964
44,238.21803,1,0.0020858617,0.094705016
45,220.25761,1,0.0019285983,0.26162295
46,203.48162,1,0.0017817061,0.2023708
47,183.29165,1,0.0016049206,0.061172513
48,176.4091,1,0.0015446563,0.15664253
49,171.89783,1,0.0015051552,0.36375589
50,156.25637,1,0.0013681969,0.14203744
51,152.18843,1,0.0013325776,0.51919797
52,150.15639,1,0.0013147849,0.12982018
53,138.03682,1,0.0012086647,0.011482197
