r,J_learned,J_learned_std,count
0.45066425,9.9689281,0.80842535,3072
0.73418608,10.102514,0.81622404,3072
0.89713975,10.136517,0.84482071,3072
1.0232559,10.233757,0.83490712,3072
1.1304462,10.203181,0.82264447,3072
1.2253216,10.211347,0.84018031,3072
1.3109599,10.266897,0.82541985,3072
1.3931928,10.270525,0.84984568,3072
1.4694384,10.289385,0.82833159,3072
1.541399,10.288185,0.82787004,3072
1.611066,10.31958,0.83344873,3072
1.6785336,10.330037,0.84504489,3072
1.7427587,10.338653,0.82835713,3072
1.805453,10.377744,0.86029388,3072
1.8678119,10.33318,0.82637897,3072
1.9307778,10.368103,0.83760306,3072
1.9939309,10.382185,0.82423147,3072
2.0554351,10.397613,0.83847369,3072
2.1155874,10.393064,0.83355171,3072
2.1770518,10.41753,0.82854641,3072
2.238881,10.426735,0.81470763,3072
2.3006096,10.450451,0.78471245,3072
2.3623462,10.453089,0.8094677,3072
2.4263278,10.465981,0.8041555,3072
2.4920456,10.466198,0.79680853,3072
2.5582266,10.475229,0.7830539,3072
2.6266317,10.511325,0.77819252,3072
2.6974226,10.520624,0.79180583,3072
2.7710401,10.579622,0.7597133,3072
2.8485788,10.58483,0.76342941,3072
2.9286306,10.626666,0.7683914,3072
3.013882,10.667668,0.76233208,3072
3.1038597,10.689839,0.73447903,3072
3.204112,10.72353,0.73862378,3072
3.31337,10.762856,0.73692415,3072
3.4367685,10.841508,0.72464982,3072
3.5821827,10.900159,0.71372631,3072
3.765188,10.993348,0.694405,3072
4.0173953,11.108913,0.66616551,3072
4.5562182,11.426756,0.65461154,3072
