r,J_learned,J_learned_std,count
0.4435024,10.07943,0.80940425,3072
0.72383368,10.224517,0.81237052,3072
0.88988738,10.304982,0.81577874,3072
1.0193955,10.337844,0.8480534,3072
1.1266804,10.360899,0.84908421,3072
1.2220553,10.370175,0.84117241,3072
1.309157,10.412687,0.81747489,3072
1.3906401,10.432725,0.84179593,3072
1.4658133,10.424382,0.82735668,3072
1.5384754,10.451006,0.85168062,3072
1.6083931,10.453853,0.84831636,3072
1.6740628,10.470481,0.83410634,3072
1.7362324,10.461087,0.84033984,3072
1.8002997,10.491497,0.82804128,3072
1.8636075,10.522009,0.835472,3072
1.9258305,10.4919,0.8585054,3072
1.9862889,10.52204,0.84157431,3072
2.0459363,10.548159,0.81868985,3072
2.1066784,10.571368,0.82561182,3072
2.1679481,10.562248,0.8217864,3072
2.2293052,10.566075,0.82954489,3072
2.2920896,10.603387,0.82392712,3072
2.3560603,10.594604,0.81344013,3072
2.4207887,10.602598,0.80158596,3072
2.4874841,10.609211,0.81252885,3072
2.5527864,10.646777,0.78194235,3072
2.620294,10.642939,0.80569812,3072
2.6915574,10.687756,0.79823553,3072
2.7649262,10.703647,0.77475176,3072
2.8408481,10.725206,0.77704731,3072
2.9228279,10.743753,0.75122698,3072
3.008073,10.790747,0.76856445,3072
3.1006115,10.820474,0.76248379,3072
3.1988503,10.872639,0.73574926,3072
3.3062281,10.903695,0.7284876,3072
3.4262667,10.959209,0.69977033,3072
3.5706846,11.047484,0.70169922,3072
3.7497965,11.160321,0.69503902,3072
4.0006377,11.247222,0.67466837,3072
4.5380259,11.5814,0.6556855,3072
