index,eigenvalue
1,52.248624
2,48.863209
3,45.382186
4,8.9219577
5,8.1760998
6,0.78584207
7,0.58284808
8,0.55610639
9,0.45200139
10,0.42800279
11,0.39841898
12,0.37771891
13,0.36372628
14,0.32034927
15,0.30779369
16,0.28754654
17,0.2631472
18,0.23948277
19,0.13326108
20,0.12162087
21,0.11556075
22,0.11074434
23,0.10229175
24,0.098539428
25,0.097220274
26,0.089619851
27,0.084121538
28,0.078015936
29,0.076372236
30,0.072028087
31,0.070921726
32,0.068963396
33,0.063870878
34,0.0620086
35,0.061820338
36,0.059459431
37,0.055949874
38,0.053267232
39,0.050518481
40,0.049918213
41,0.048568876
42,0.047648244
43,0.04427475
44,0.042404566
45,0.04150696
46,0.038831664
47,0.038473425
48,0.037771223
49,0.036639142
50,0.034478189
51,0.033267617
52,0.03222174
53,0.030411156
54,0.029404776
55,0.028635012
56,0.028051594
57,0.027535393
58,0.025921261
59,0.025774566
60,0.024922804
61,0.024405026
62,0.024149046
63,0.023048021
64,0.022839945
65,0.022136059
66,0.021279059
67,0.020378055
68,0.019981833
69,0.019481805
70,0.019326922
71,0.018687592
72,0.018143037
73,0.018036201
74,0.017302812
75,0.016835726
76,0.016281909
77,0.015822803
78,0.015251238
79,0.014888245
80,0.01439782
81,0.014383194
82,0.013766593
83,0.013215491
84,0.013139764
85,0.012787432
86,0.012547281
87,0.012225468
88,0.01199184
89,0.011612433
90,0.011424311
91,0.011269885
92,0.011004113
93,0.010703128
94,0.010604616
95,0.010311813
96,0.010013608
97,0.0097549316
98,0.0097381113
99,0.0095371211
100,0.0094290925
101,0.0092781529
102,0.0091918732
103,0.0089307618
104,0.0087251182
105,0.0083859401
106,0.0082762011
107,0.0081886643
108,0.0080999608
109,0.0078587106
110,0.0077665601
111,0.0076657574
112,0.0076223271
113,0.0073378684
114,0.0072058375
115,0.0071396888
116,0.0068634535
117,0.0067818329
118,0.0065347022
119,0.0064519997
120,0.0064445213
121,0.0063712851
122,0.0063566909
123,0.006297424
124,0.006129012
125,0.005953772
126,0.0059393684
127,0.0058337264
128,0.0058059962
129,0.0056543027
130,0.0056173435
131,0.0055172065
132,0.0053753731
133,0.0052126845
134,0.0051785536
135,0.0051652279
136,0.0051515811
137,0.0049169775
138,0.0048657665
139,0.0048031104
140,0.0047697615
141,0.0046681416
142,0.0046293846
143,0.0045139177
144,0.0043877183
145,0.0043339688
146,0.00423948
147,0.0041585824
148,0.0041134759
149,0.0040314574
150,0.003961082
151,0.0039473314
152,0.0038858619
153,0.0038208421
154,0.0037882954
155,0.0037487059
156,0.003630436
157,0.0035679398
158,0.0035353494
159,0.0034910158
160,0.0034619191
161,0.0034461831
162,0.0033720621
163,0.0033433871
164,0.003270874
165,0.0032535712
166,0.0031688362
167,0.0031569106
168,0.003129649
169,0.0031119321
170,0.0030797895
171,0.0030556978
172,0.0030127263
173,0.0029819554
174,0.002950386
175,0.0028756915
176,0.0028643757
177,0.0028284195
178,0.0027597108
179,0.0027432569
180,0.0027148665
181,0.0026909007
182,0.0026432461
183,0.0026381367
184,0.0025948361
185,0.002564637
186,0.0025608087
187,0.0025101824
188,0.0024909911
189,0.0024713296
190,0.0024432802
191,0.0024090166
192,0.0023972529
193,0.0023625209
194,0.002321829
195,0.0022910486
196,0.0022605954
197,0.0022317933
198,0.0022222224
199,0.0021889602
200,0.0021649735
201,0.0021443788
202,0.0021242604
203,0.0020953769
204,0.00207297
205,0.0020465239
206,0.0020328485
207,0.002017296
208,0.0019889515
209,0.0019642623
210,0.0019495859
