mode,mu,sr_weight,plain_weight,residual_power
1,107005.18,1,1,0.00038230979
2,100071.85,1,0.93520566,0.11921312
3,92942.716,1,0.86858145,6.8658988e-05
4,18272.169,1,0.17075967,0.028491893
5,16744.652,1,0.1564845,0.029327044
6,1609.4046,1,0.015040436,0.079905394
7,1193.6729,1,0.011155281,0.17410456
8,1138.9059,1,0.010643465,0.00021016038
9,925.69884,1,0.008650972,0.0040660909
10,876.54972,1,0.0081916567,0.00090612886
11,815.96207,1,0.0076254444,0.0099472294
12,773.56832,1,0.0072292603,0.0077486028
13,744.91143,1,0.0069614518,0.0012637404
14,656.07531,1,0.006131248,0.010967769
15,630.36148,1,0.0058909435,0.028684003
16,588.89532,1,0.005503428,0.0066572513
17,538.92546,1,0.0050364425,0.014606536
18,490.46071,1,0.004583523,0.34167274
19,272.91868,1,0.0025505184,0.026338172
20,249.07954,1,0.0023277334,0.010963041
21,236.66841,1,0.0022117472,0.00090204376
22,226.80441,1,0.0021195647,5.8297884e-06
23,209.49351,1,0.0019577885,0.13795763
24,201.80875,1,0.0018859717,0.011077479
25,199.10712,1,0.0018607241,0.079352095
26,183.54145,1,0.0017152576,0.015938787
27,172.28091,1,0.001610024,4.9702127e-06
28,159.77664,1,0.0014931673,0.00063165734
29,156.41034,1,0.0014617081,0.002906451
30,147.51352,1,0.0013785643,0.10167858
31,145.2477,1,0.0013573893,0.00046517528
32,141.23703,1,0.0013199084,0.0012712916
33,130.80756,1,0.0012224413,0.0014084677
34,126.99361,1,0.0011867987,0.15758702
35,126.60805,1,0.0011831955,0.091111692
36,121.77292,1,0.0011380095,0.034896145
37,114.58534,1,0.0010708392,0.011651071
38,109.09129,1,0.0010194954,0.1779082
39,103.46185,1,0.00096688634,0.017934267
40,102.2325,1,0.00095539766,0.03642202
41,99.469057,1,0.00092957233,0.028337676
42,97.583605,1,0.00091195213,0.029889211
43,90.674687,1,0.00084738594,0.0019172188
44,86.84455,1,0.000811592,0.075779261
45,85.006254,1,0.0007944125,0.010168164
46,79.527247,1,0.0007432093,0.050472371
47,78.793574,1,0.00073635287,0.0033405701
48,77.355465,1,0.00072291326,0.11992389
49,75.036962,1,0.00070124606,0.0046718137
50,70.61133,1,0.00065988701,0.00010114937
51,68.132079,1,0.00063671756,0.018728344
52,65.990123,1,0.00061670025,0.04580904
53,62.282047,1,0.00058204701,0.057342573
54,60.220981,1,0.00056278565,0.028025738
55,58.644505,1,0.00054805294,0.060740283
56,57.449665,1,0.00053688675,0.00048829728
57,56.392486,1,0.00052700705,0.0020127814
58,53.086742,1,0.00049611374,3.3939383e-08
59,52.786311,1,0.00049330612,0.052519835
60,51.041902,1,0.00047700401,0.017447967
61,49.981494,1,0.00046709414,0.03934442
62,49.457246,1,0.00046219486,0.058512596
63,47.202347,1,0.00044112206,0.06509729
64,46.776207,1,0.00043713964,0.013329071
65,45.334649,1,0.00042366778,0.045842481
66,43.579512,1,0.00040726543,0.042850865
67,41.734258,1,0.0003900209,0.0064255504
68,40.922793,1,0.00038243749,0.016751427
69,39.898737,1,0.00037286733,0.0030180055
70,39.581537,1,0.00036990299,0.20012738
71,38.272189,1,0.00035766668,0.0013079353
72,37.15694,1,0.0003472443,0.1452144
73,36.938141,1,0.00034519955,0.00803881
74,35.436159,1,0.00033116301,0.040905965
75,34.479567,1,0.00032222334,0.083743904
76,33.345349,1,0.00031162368,0.11815705
77,32.405101,1,0.00030283674,0.016818551
78,31.234535,1,0.0002918974,0.046828389
79,30.491126,1,0.00028495,0.1489565
80,29.486735,1,0.00027556362,0.19251868
81,29.456781,1,0.00027528369,0.014307914
82,28.193983,1,0.0002634824,0.0055015084
83,27.065325,1,0.00025293471,0.069730604
84,26.910237,1,0.00025148536,0.044345738
85,26.18866,1,0.00024474197,0.015578248
86,25.696831,1,0.00024014567,0.00070417308
87,25.037758,1,0.00023398641,0.033642198
88,24.559289,1,0.00022951495,0.0014435052
89,23.782264,1,0.00022225338,0.097729341
90,23.396989,1,0.00021865286,0.15176824
91,23.080724,1,0.00021569725,0.039342579
92,22.536424,1,0.00021061058,0.26509647
93,21.920007,1,0.00020484995,0.073530197
94,21.718254,1,0.00020296451,0.00013760559
95,21.118592,1,0.00019736046,0.020177711
96,20.507869,1,0.00019165305,0.1300917
97,19.9781,1,0.00018670217,0.037850232
98,19.943652,1,0.00018638024,0.035975691
99,19.532024,1,0.00018253344,0.0009850945
100,19.310781,1,0.00018046585,0.0044694738
101,19.001657,1,0.00017757698,0.0028540137
102,18.824956,1,0.00017592565,0.040214362
103,18.2902,1,0.00017092817,0.0052070407
104,17.869042,1,0.0001669923,0.087760173
