index,eigenvalue
1,14.605019
2,0.36063482
3,0.15746615
4,0.056510097
5,0.037597973
6,0.026444091
7,0.0081348115
8,0.0072538394
9,0.0056324296
10,0.0037884072
11,0.00264948
12,0.0022042812
13,0.0018273591
14,0.0013122856
15,0.00091460303
16,0.00068627589
17,0.00052352082
18,0.00042981289
19,0.00036164205
20,0.00035918374
21,0.00030539509
22,0.0002701185
23,0.00023023384
24,0.00020473667
25,0.00017946897
26,0.00013999451
27,0.00013278714
28,0.00011276014
29,9.5819471e-05
30,8.3996759e-05
31,7.4984719e-05
32,6.5870637e-05
33,5.7377119e-05
34,5.4768887e-05
35,4.681223e-05
36,4.2754014e-05
37,3.427038e-05
38,3.0995951e-05
39,2.5803215e-05
40,2.4338078e-05
41,2.1657781e-05
42,1.9821407e-05
43,1.7860193e-05
44,1.7007288e-05
45,1.5070204e-05
46,1.3815467e-05
47,1.1834066e-05
48,1.1203071e-05
49,1.0187107e-05
50,9.2226809e-06
51,7.8449165e-06
52,7.2961667e-06
53,6.0364693e-06
54,5.5463862e-06
55,5.4412464e-06
56,5.087924e-06
57,4.6978772e-06
58,4.3713905e-06
59,4.244951e-06
60,3.5824966e-06
61,3.4195533e-06
62,3.2203158e-06
63,3.0607786e-06
64,2.7819456e-06
65,2.5137755e-06
66,2.3042909e-06
67,2.1845346e-06
68,2.1300231e-06
69,2.0265915e-06
70,1.8462549e-06
71,1.7761315e-06
72,1.6517796e-06
73,1.542458e-06
74,1.4527035e-06
75,1.3974338e-06
76,1.3677297e-06
77,1.3019362e-06
78,1.2256654e-06
79,1.1879788e-06
80,1.1593509e-06
81,1.0714754e-06
82,1.0664888e-06
83,9.7975688e-07
84,9.4732499e-07
85,9.3051602e-07
86,8.7163409e-07
87,7.9736675e-07
88,7.7153639e-07
89,7.1517536e-07
90,6.6826336e-07
91,6.5566719e-07
92,6.3256344e-07
93,5.9417979e-07
94,5.7177367e-07
95,5.6282607e-07
96,5.4582761e-07
97,5.2949611e-07
98,4.9946791e-07
99,4.8128695e-07
100,4.7014017e-07
101,4.3940831e-07
102,4.2607405e-07
103,4.1753205e-07
104,4.0812741e-07
105,3.8963666e-07
106,3.7729341e-07
107,3.5587544e-07
108,3.4981832e-07
109,3.2345768e-07
110,3.0442321e-07
111,2.9870119e-07
112,2.9052976e-07
113,2.779935e-07
114,2.6894203e-07
115,2.5412627e-07
116,2.4794416e-07
117,2.4136992e-07
118,2.3331844e-07
119,2.2479417e-07
120,2.1605801e-07
121,2.1350473e-07
122,2.0091701e-07
123,1.9949692e-07
124,1.9777646e-07
125,1.9078872e-07
126,1.7617358e-07
127,1.73815e-07
128,1.6769249e-07
129,1.6503667e-07
130,1.6070646e-07
131,1.5321958e-07
132,1.4905281e-07
133,1.3832912e-07
134,1.3646885e-07
135,1.3405073e-07
136,1.2620085e-07
137,1.2053488e-07
138,1.1914921e-07
139,1.1594351e-07
140,1.1455276e-07
141,1.0901838e-07
142,1.0065855e-07
143,9.8656968e-08
144,9.6058667e-08
145,9.5080201e-08
146,9.0147664e-08
147,8.7286335e-08
148,8.5161967e-08
149,8.4659197e-08
150,8.3176049e-08
151,7.8638114e-08
152,7.5518741e-08
153,7.3855553e-08
154,7.1880046e-08
155,6.9188423e-08
156,6.6391312e-08
157,6.450451e-08
158,6.4066641e-08
159,6.0113429e-08
160,5.952049e-08
161,5.6896225e-08
162,5.4491488e-08
163,5.4057698e-08
164,5.312447e-08
165,5.2290028e-08
166,5.1010847e-08
167,4.9199414e-08
168,4.7974876e-08
169,4.7685171e-08
170,4.6061878e-08
171,4.4540549e-08
172,4.3015641e-08
173,4.225841e-08
174,4.1456457e-08
175,4.1233144e-08
176,3.9142503e-08
