r,J_learned,J_learned_std,count,J_exact
12.788927,5.7008492,0.47756386,205,-2.5369005
16.219064,6.391258,0.10313155,205,-1.8618603
17.879932,6.6805221,0.071594686,205,-1.5675922
19.062175,6.8792237,0.050259313,205,-1.3688576
20.017003,7.0302287,0.039364629,204,-1.2142355
20.813735,7.1539803,0.036538667,205,-1.0889509
21.595814,7.2706683,0.036065098,205,-0.96907922
22.33059,7.3791675,0.028814675,205,-0.8591159
22.927819,7.4626245,0.025916432,204,-0.77154578
23.519043,7.5476339,0.026524757,205,-0.68638695
24.092121,7.6267731,0.027875016,205,-0.60524165
24.613806,7.6976537,0.024881985,205,-0.53252949
25.103793,7.7641175,0.024151683,205,-0.46520655
25.587494,7.8287754,0.024470788,204,-0.39964273
26.074383,7.8914274,0.020712145,205,-0.33451922
26.563054,7.9539116,0.024264531,205,-0.27001277
27.062354,8.0200039,0.025389253,205,-0.20496368
27.532962,8.0757355,0.022264803,204,-0.14442702
27.991,8.1334253,0.023952611,205,-0.086210133
28.455176,8.1901409,0.02080762,205,-0.027902494
28.903301,8.2444182,0.022751904,205,0.027746696
29.418417,8.3061769,0.021370338,205,0.090955088
29.904923,8.3616427,0.022446742,204,0.14992518
30.405591,8.4200602,0.02284952,205,0.20989285
30.901891,8.4775699,0.021546389,205,0.26863549
31.409168,8.5345567,0.019451031,205,0.3279732
31.922295,8.5918031,0.022746118,204,0.38728901
32.434704,8.6477892,0.023715032,205,0.44583067
32.986318,8.7066514,0.021017168,205,0.5080985
33.586512,8.7716847,0.024069501,205,0.57498673
34.183173,8.8352648,0.022310555,205,0.6406132
34.859427,8.9053892,0.025391856,204,0.71397742
35.573388,8.9810542,0.026409456,205,0.79029455
36.370619,9.0629643,0.024405899,205,0.87417596
37.181371,9.1429159,0.030320539,205,0.95808149
38.17109,9.2440922,0.031835738,204,1.0586665
39.420152,9.3644492,0.040315313,205,1.1828381
40.916863,9.5094172,0.044799518,205,1.3277589
42.808297,9.6900757,0.068629921,205,1.5052208
47.840995,10.147171,0.28655367,205,1.9495904
