mode,mu,sr_weight,plain_weight,residual_power
1,36309.716,1,1,7.1612367e-05
2,907.5981,1,0.024996012,0.00012608914
3,802.96734,1,0.022114393,0.0024083218
4,598.83561,1,0.016492434,8.8539252e-06
5,350.63067,1,0.0096566624,1.9798085e-05
6,201.05753,1,0.0055372929,5.6209505e-07
7,186.23795,1,0.0051291493,6.2429176e-05
8,151.32385,1,0.0041675858,5.8692032e-05
9,70.562916,1,0.0019433618,2.3366644e-06
10,62.247277,1,0.0017143422,4.7465259e-06
11,57.918014,1,0.0015951106,2.7391544e-06
12,46.851932,1,0.0012903415,1.2110151e-06
13,40.545808,1,0.0011166655,4.0428886e-06
14,29.648235,1,0.00081653724,1.112984e-05
15,26.288427,1,0.00072400532,5.6852076e-05
16,20.385697,1,0.00056143918,3.7207188e-05
17,18.636474,1,0.00051326412,1.0456599e-08
18,18.396245,1,0.00050664801,4.7140938e-05
19,16.429606,1,0.00045248513,1.9759511e-05
20,15.421419,1,0.0004247188,2.9414607e-06
21,12.235089,1,0.00033696461,3.2912488e-06
22,11.08795,1,0.00030537144,7.2746752e-06
23,8.1581326,1,0.00022468181,6.9648287e-07
24,6.8130562,1,0.00018763728,2.0959313e-05
25,6.3888717,1,0.00017595488,8.2166351e-06
26,5.8776103,1,0.00016187431,2.2602441e-08
27,5.4537715,1,0.00015020144,1.420611e-06
28,5.1323074,1,0.00014134805,3.8350283e-09
29,4.5965995,1,0.0001265942,3.4366575e-06
30,4.0554796,1,0.00011169131,3.2161355e-05
31,3.5801765,1,9.860106e-05,1.0301628e-07
32,3.2679964,1,9.000336e-05,1.1694937e-05
33,3.0035936,1,8.2721485e-05,4.1386168e-05
34,2.9790842,1,8.2046476e-05,9.5620587e-07
35,2.9055046,1,8.0020032e-05,4.3099591e-06
36,2.6529071,1,7.3063284e-05,1.9283902e-06
37,2.3578781,1,6.4937939e-05,2.3890155e-06
38,2.2247879,1,6.1272524e-05,2.016659e-05
39,2.0739481,1,5.7118269e-05,5.2311926e-06
40,1.9271338,1,5.3074881e-05,1.3276782e-06
41,1.7934847,1,4.9394072e-05,9.9679497e-08
42,1.780334,1,4.903189e-05,3.0109475e-06
43,1.6004002,1,4.4076362e-05,1.8380877e-07
44,1.5188681,1,4.18309e-05,2.417355e-07
45,1.4691558,1,4.0461781e-05,2.3368317e-06
46,1.3593001,1,3.7436265e-05,3.0871518e-07
47,1.2695502,1,3.4964476e-05,3.4715394e-05
48,1.2504961,1,3.443971e-05,1.8177891e-08
49,1.2074848,1,3.3255143e-05,4.5787821e-06
50,1.1583089,1,3.1900798e-05,2.5753308e-06
51,1.1441552,1,3.1510993e-05,4.1926758e-06
52,0.98195705,1,2.704392e-05,6.7326113e-06
53,0.91514546,1,2.5203873e-05,3.3699778e-08
54,0.84591745,1,2.3297275e-05,3.2830339e-06
55,0.72036859,1,1.9839555e-05,2.0539958e-05
56,0.69999934,1,1.9278569e-05,1.3950747e-05
57,0.68873389,1,1.8968309e-05,1.741865e-05
58,0.64571005,1,1.7783396e-05,5.6094851e-06
59,0.59113997,1,1.628049e-05,5.1277684e-07
60,0.56334775,1,1.5515069e-05,5.2384144e-12
61,0.54489317,1,1.5006814e-05,4.1884656e-10
62,0.50311947,1,1.3856332e-05,1.3652949e-06
63,0.4839759,1,1.3329102e-05,2.1353053e-08
64,0.46236938,1,1.273404e-05,1.1543484e-07
65,0.4434068,1,1.2211795e-05,1.0272388e-06
66,0.4150999,1,1.1432199e-05,1.4087241e-05
67,0.39733057,1,1.0942817e-05,1.0904098e-09
68,0.3883586,1,1.0695721e-05,1.2278597e-06
69,0.37940609,1,1.0449162e-05,6.5859676e-08
70,0.35433273,1,9.7586204e-06,8.0965541e-08
71,0.34860275,1,9.6008118e-06,5.5192875e-06
72,0.32562549,1,8.9679989e-06,1.1915678e-06
73,0.31930597,1,8.7939541e-06,1.1109614e-06
74,0.31178661,1,8.5868646e-06,1.7478268e-06
75,0.30976073,1,8.53107e-06,5.3948272e-06
76,0.28347581,1,7.8071615e-06,3.5283657e-09
77,0.27884546,1,7.6796376e-06,4.6846201e-07
78,0.27813719,1,7.6601312e-06,9.9957681e-06
79,0.25562254,1,7.040059e-06,3.3711776e-05
80,0.25307596,1,6.9699239e-06,1.4562202e-08
81,0.24792654,1,6.8281046e-06,2.0697848e-06
82,0.23771077,1,6.5467539e-06,1.0458579e-05
83,0.23003862,1,6.3354563e-06,2.082921e-06
84,0.22197581,1,6.1133998e-06,1.976597e-07
85,0.2099912,1,5.7833336e-06,3.0041184e-07
86,0.20712067,1,5.7042769e-06,1.8860434e-07
87,0.20392599,1,5.6162928e-06,9.7082326e-07
88,0.19350592,1,5.3293151e-06,2.5285128e-08
89,0.19105024,1,5.2616836e-06,4.6329861e-08
90,0.18680602,1,5.1447943e-06,1.1501156e-06
91,0.17391145,1,4.7896671e-06,6.7678503e-09
92,0.16611134,1,4.5748456e-06,1.2011351e-06
93,0.16416597,1,4.5212683e-06,5.5838257e-07
94,0.15947303,1,4.3920209e-06,2.8522485e-07
95,0.15653323,1,4.3110563e-06,3.1011265e-07
96,0.15296396,1,4.2127555e-06,2.8031645e-08
97,0.14942743,1,4.1153566e-06,7.4546737e-07
98,0.14140878,1,3.8945163e-06,2.1560649e-07
99,0.13877632,1,3.8220161e-06,1.6759548e-09
100,0.1349915,1,3.7177791e-06,3.198786e-07
101,0.13281356,1,3.6577967e-06,8.0487039e-07
102,0.12768401,1,3.5165248e-06,2.8880249e-07
103,0.12544836,1,3.454953e-06,1.1451671e-06
104,0.12267713,1,3.3786309e-06,3.6224011e-06
105,0.11964126,1,3.2950206e-06,1.2887818e-06
106,0.11563043,1,3.1845589e-06,5.8755069e-06
107,0.11172638,1,3.0770381e-06,1.0256566e-07
108,0.10706742,1,2.9487266e-06,1.8682253e-07
109,0.1058886,1,2.9162608e-06,9.226217e-07
110,0.1011109,1,2.7846789e-06,5.4460108e-07
111,0.098026505,1,2.6997321e-06,2.120392e-07
112,0.096133645,1,2.6476011e-06,9.2389036e-10
113,0.093125498,1,2.5647543e-06,4.6808141e-06
114,0.091015729,1,2.5066494e-06,1.1232192e-09
115,0.088644409,1,2.4413413e-06,1.2277182e-07
116,0.088156985,1,2.4279173e-06,1.3930383e-08
117,0.086649817,1,2.3864086e-06,7.8561865e-08
118,0.082327504,1,2.2673685e-06,2.6774112e-06
119,0.078241947,1,2.1548488e-06,1.4155283e-06
120,0.077176679,1,2.1255104e-06,3.7685592e-07
121,0.075439564,1,2.0776688e-06,1.9526909e-06
122,0.073777234,1,2.0318868e-06,1.0570664e-07
123,0.072714276,1,2.0026121e-06,7.388712e-08
124,0.069742607,1,1.9207698e-06,4.7501857e-07
125,0.068317256,1,1.8815145e-06,2.0980959e-06
126,0.064482642,1,1.775906e-06,9.9101569e-08
127,0.063835417,1,1.7580809e-06,8.0999074e-08
128,0.062204178,1,1.7131552e-06,1.3340634e-10
129,0.06025201,1,1.6593909e-06,2.8831946e-07
130,0.060141221,1,1.6563396e-06,2.1083818e-06
131,0.058984146,1,1.6244728e-06,2.1979422e-06
132,0.058708386,1,1.6168781e-06,2.39719e-07
133,0.057096948,1,1.5724978e-06,1.5002749e-06
134,0.055635044,1,1.5322357e-06,1.16582e-06
135,0.053805866,1,1.4818587e-06,6.1663878e-07
136,0.051941927,1,1.4305242e-06,2.420619e-07
137,0.050433379,1,1.3889775e-06,1.7532996e-06
138,0.049302754,1,1.3578392e-06,3.3256283e-08
139,0.048037717,1,1.322999e-06,8.6934351e-06
140,0.046620526,1,1.2839684e-06,5.4527261e-07
141,0.045908648,1,1.2643626e-06,3.316233e-06
142,0.044259986,1,1.2189571e-06,4.7422322e-07
143,0.042910419,1,1.1817889e-06,2.2882991e-06
144,0.042229658,1,1.1630402e-06,1.5506271e-06
145,0.04070421,1,1.121028e-06,3.4940579e-07
146,0.03922569,1,1.0803084e-06,9.4840474e-07
147,0.039130206,1,1.0776787e-06,2.2266023e-07
148,0.038226418,1,1.0527876e-06,4.3323525e-07
149,0.037363406,1,1.0290195e-06,4.5404631e-08
150,0.036621546,1,1.0085881e-06,7.467112e-08
151,0.035507548,1,9.7790764e-07,4.2393501e-10
152,0.034322287,1,9.4526456e-07,1.8424073e-08
153,0.033250952,1,9.1575909e-07,2.3146278e-07
154,0.032753976,1,9.0207196e-07,3.3488986e-08
155,0.032472573,1,8.9432187e-07,2.0128086e-07
156,0.031633502,1,8.7121315e-07,8.2717159e-08
157,0.030934536,1,8.5196305e-07,1.6969982e-07
158,0.03014945,1,8.3034111e-07,1.6147665e-06
159,0.029786995,1,8.203588e-07,1.3892832e-06
160,0.029344395,1,8.0816923e-07,3.4433929e-08
161,0.028200872,1,7.7667564e-07,3.3660163e-08
162,0.027560603,1,7.590421e-07,1.4580373e-07
163,0.027140614,1,7.4747525e-07,8.0832892e-07
164,0.026613135,1,7.3294803e-07,1.1121149e-06
165,0.026227504,1,7.2232744e-07,1.9842901e-07
166,0.025334297,1,6.9772778e-07,8.0903253e-07
167,0.025111911,1,6.9160308e-07,2.3818349e-11
168,0.024234932,1,6.6745033e-07,1.1854591e-11
169,0.02394485,1,6.5946125e-07,4.2468838e-07
170,0.023698247,1,6.5266959e-07,4.9118535e-08
171,0.022963413,1,6.3243164e-07,6.6650824e-08
172,0.022431312,1,6.1777714e-07,8.2732406e-07
173,0.022035713,1,6.06882e-07,7.8105593e-08
174,0.021803104,1,6.0047575e-07,2.5281638e-07
175,0.021104428,1,5.8123364e-07,2.4219111e-07
176,0.020770279,1,5.7203089e-07,1.6731255e-06
177,0.020705508,1,5.7024703e-07,2.180422e-08
178,0.019955846,1,5.4960072e-07,1.4976057e-07
179,0.01940337,1,5.3438506e-07,2.2809874e-07
180,0.018856723,1,5.1932994e-07,2.2093831e-09
181,0.018500015,1,5.0950591e-07,2.9453214e-07
182,0.018069599,1,4.976519e-07,2.2186123e-08
183,0.018003864,1,4.958415e-07,9.6650798e-07
184,0.017633004,1,4.8562769e-07,8.3918905e-07
185,0.017513195,1,4.8232806e-07,5.5129879e-07
186,0.016699458,1,4.5991708e-07,3.8220524e-07
187,0.016456932,1,4.5323771e-07,5.175698e-07
188,0.016165037,1,4.4519865e-07,1.860359e-06
189,0.016143718,1,4.4461152e-07,7.8550046e-08
190,0.015941928,1,4.3905407e-07,1.0270828e-07
191,0.015550091,1,4.2826255e-07,1.3628462e-06
192,0.015140045,1,4.1696954e-07,1.4520084e-06
193,0.014816029,1,4.0804586e-07,4.4441856e-09
194,0.014584749,1,4.016762e-07,8.6906955e-08
195,0.014437592,1,3.9762337e-07,1.7113421e-07
196,0.014189183,1,3.9078199e-07,3.8117844e-07
197,0.013973461,1,3.8484082e-07,3.2647518e-06
198,0.013726984,1,3.7805264e-07,5.6686381e-09
199,0.013487694,1,3.7146239e-07,1.2070804e-07
200,0.01310916,1,3.6103724e-07,1.5431507e-06
201,0.012718707,1,3.5028384e-07,2.0711984e-07
202,0.012480319,1,3.4371846e-07,4.7186508e-09
203,0.012202743,1,3.3607378e-07,2.2911036e-07
204,0.012051591,1,3.3191092e-07,4.6884062e-08
205,0.011807614,1,3.2519159e-07,9.5013495e-11
206,0.01173943,1,3.2331375e-07,6.4647119e-07
207,0.011548826,1,3.1806435e-07,6.5808899e-08
208,0.011320526,1,3.1177678e-07,5.7660302e-08
209,0.010969781,1,3.0211697e-07,2.4661019e-08
210,0.010842177,1,2.9860264e-07,1.6762692e-07
211,0.010637333,1,2.9296106e-07,7.7883038e-10
212,0.010509369,1,2.8943683e-07,1.2652461e-07
213,0.010356386,1,2.8522355e-07,2.0959189e-07
214,0.010150932,1,2.7956516e-07,9.5347002e-08
215,0.010021977,1,2.7601364e-07,2.1970788e-07
216,0.0099158811,1,2.7309168e-07,2.1649418e-07
217,0.0097652427,1,2.6894297e-07,1.3164575e-07
218,0.0096768657,1,2.6650899e-07,2.0803062e-07
219,0.0092880332,1,2.5580022e-07,2.7753616e-07
220,0.0091426133,1,2.5179523e-07,2.7638897e-08
221,0.008925126,1,2.4580545e-07,6.0922753e-08
222,0.0087830436,1,2.4189238e-07,2.450853e-07
223,0.0085027082,1,2.3417171e-07,9.6150276e-11
224,0.0084273246,1,2.3209558e-07,5.7024682e-09
225,0.0082526403,1,2.2728463e-07,2.9372847e-08
226,0.0081269651,1,2.2382343e-07,5.3822112e-09
227,0.0080445617,1,2.2155397e-07,6.4261349e-10
228,0.0079277318,1,2.1833638e-07,4.1612309e-07
229,0.0078314999,1,2.1568607e-07,3.9720367e-07
230,0.0077740519,1,2.141039e-07,2.9437302e-07
231,0.0073415014,1,2.021911e-07,1.0685743e-08
232,0.0073126851,1,2.0139747e-07,3.7908369e-09
233,0.0072676482,1,2.0015712e-07,5.2781977e-08
234,0.0072066674,1,1.9847766e-07,2.4094648e-07
235,0.0070782425,1,1.9494073e-07,2.2353761e-07
236,0.0070196437,1,1.9332687e-07,9.3009477e-08
237,0.0068695115,1,1.891921e-07,1.2885003e-08
238,0.0067846022,1,1.8685363e-07,9.5531542e-09
239,0.0065945943,1,1.8162065e-07,2.2344287e-10
240,0.0065035013,1,1.7911188e-07,1.3204249e-07
241,0.0064447934,1,1.7749501e-07,7.6823563e-07
242,0.0063451754,1,1.7475145e-07,5.0034065e-07
243,0.0063172092,1,1.7398123e-07,1.001276e-07
244,0.0061850107,1,1.7034038e-07,2.1159133e-09
245,0.0061637409,1,1.6975459e-07,4.3069185e-07
246,0.0060501083,1,1.6662505e-07,1.9013836e-07
247,0.0059389188,1,1.635628e-07,2.225505e-10
248,0.0058742219,1,1.6178099e-07,8.5176501e-08
249,0.0058031928,1,1.5982479e-07,2.6321875e-07
250,0.0056887853,1,1.5667391e-07,4.8017625e-07
251,0.0056521876,1,1.5566598e-07,2.0463274e-07
252,0.0055223534,1,1.5209024e-07,3.1620088e-07
253,0.0054640554,1,1.5048466e-07,1.0956658e-07
254,0.0053440456,1,1.4717949e-07,3.5396987e-07
255,0.0052334062,1,1.4413239e-07,1.0432435e-07
256,0.0051048018,1,1.4059052e-07,2.7328091e-08
257,0.0050212114,1,1.3828837e-07,1.8141325e-07
258,0.0050090625,1,1.3795378e-07,1.3250654e-08
259,0.0048548734,1,1.3370728e-07,1.9867396e-07
260,0.004780504,1,1.3165909e-07,5.411339e-10
261,0.004719012,1,1.2996555e-07,1.1801131e-06
262,0.0046685556,1,1.2857593e-07,1.1558555e-07
263,0.0046092305,1,1.2694207e-07,1.5466286e-10
264,0.0045537313,1,1.2541358e-07,1.2531293e-07
265,0.0045121768,1,1.2426913e-07,6.1572622e-09
266,0.0043369674,1,1.1944372e-07,1.3503055e-07
267,0.0042976685,1,1.1836139e-07,1.7157115e-08
268,0.0041876628,1,1.1533174e-07,2.3145896e-09
269,0.0041303119,1,1.1375225e-07,4.1159226e-08
270,0.0041238357,1,1.1357389e-07,1.8460403e-08
271,0.0040151782,1,1.1058137e-07,2.7028653e-07
272,0.0039859139,1,1.0977541e-07,1.5217975e-07
273,0.0038753514,1,1.0673042e-07,1.5273188e-08
274,0.0038358817,1,1.056434e-07,9.4245443e-09
275,0.0037452852,1,1.0314829e-07,5.2019136e-08
276,0.003738409,1,1.0295892e-07,2.1605233e-08
277,0.0036767531,1,1.0126086e-07,3.6151294e-09
278,0.0036366794,1,1.001572e-07,1.4830395e-07
279,0.0035880006,1,9.8816544e-08,1.5032284e-07
280,0.0035229904,1,9.7026107e-08,1.6496015e-09
281,0.0034871365,1,9.6038661e-08,1.4487958e-07
282,0.0034776579,1,9.5777613e-08,6.6444384e-08
283,0.0034420657,1,9.4797373e-08,6.4770709e-08
284,0.0033322296,1,9.1772397e-08,6.3942703e-09
285,0.0033297901,1,9.1705209e-08,3.5789448e-07
286,0.0032529745,1,8.9589643e-08,1.0735952e-07
287,0.0032472573,1,8.9432188e-08,1.6895232e-08
288,0.0032149328,1,8.8541943e-08,5.5562942e-09
289,0.0031895101,1,8.7841781e-08,1.5980057e-07
290,0.0031080242,1,8.5597592e-08,1.2257813e-07
291,0.0030327277,1,8.3523863e-08,1.8432225e-08
292,0.0030227364,1,8.3248694e-08,1.2450106e-11
293,0.0029930633,1,8.2431472e-08,3.3036108e-08
294,0.0029337352,1,8.0797526e-08,1.058106e-07
295,0.0028825703,1,7.9388402e-08,2.4884062e-10
296,0.0028388992,1,7.8185664e-08,6.6591106e-08
297,0.0028050113,1,7.7252361e-08,1.6098176e-10
298,0.0027651073,1,7.6153373e-08,3.0133119e-07
299,0.0027257984,1,7.5070774e-08,3.3322928e-07
300,0.002717503,1,7.4842311e-08,2.6009011e-08
301,0.0026847926,1,7.3941439e-08,2.9237996e-07
302,0.0026759037,1,7.3696631e-08,2.4457137e-07
303,0.0026552279,1,7.31272e-08,1.000697e-08
304,0.0025672782,1,7.0704993e-08,2.8656614e-07
305,0.0025439755,1,7.0063216e-08,2.5889566e-08
306,0.0025410462,1,6.9982541e-08,2.8461662e-07
307,0.0025245206,1,6.9527414e-08,2.6347425e-08
308,0.0024630484,1,6.7834416e-08,1.6067544e-07
309,0.0024006382,1,6.6115587e-08,2.9530245e-07
310,0.0023876049,1,6.575664e-08,7.3443351e-08
311,0.0023540477,1,6.4832447e-08,3.0930448e-08
312,0.0023074002,1,6.3547735e-08,3.3258903e-08
313,0.0022646366,1,6.236999e-08,3.7075927e-07
314,0.0022350819,1,6.1556028e-08,4.9538309e-10
315,0.0021878558,1,6.0255382e-08,6.1561849e-08
316,0.0021751943,1,5.9906674e-08,1.4018915e-07
317,0.0021691931,1,5.9741396e-08,2.7960648e-09
318,0.0021411267,1,5.8968425e-08,1.6971332e-07
319,0.0020908746,1,5.7584439e-08,1.4717924e-07
320,0.002084462,1,5.740783e-08,1.0008252e-07
321,0.0020695405,1,5.6996881e-08,1.2353782e-09
322,0.0020429289,1,5.6263975e-08,1.8631807e-08
323,0.0020206345,1,5.5649968e-08,4.7036759e-09
324,0.0019682383,1,5.4206931e-08,5.7119328e-10
325,0.0019472206,1,5.3628087e-08,1.8519385e-07
326,0.0019324184,1,5.3220423e-08,1.7287085e-08
327,0.0019179548,1,5.2822082e-08,1.6526613e-07
328,0.0018810932,1,5.1806883e-08,2.2452214e-07
329,0.0018649268,1,5.1361646e-08,4.1170238e-09
330,0.0018188634,1,5.0093021e-08,1.6624122e-08
331,0.0018087293,1,4.981392e-08,5.5752537e-08
332,0.0017902616,1,4.9305306e-08,8.3110218e-08
333,0.0017756877,1,4.8903927e-08,3.6309403e-07
334,0.0017552133,1,4.8340044e-08,1.8538854e-08
335,0.0017372939,1,4.7846531e-08,6.4916178e-08
