mode,mu,sr_weight,plain_weight,residual_power
1,10218.845,1,1,0.0066592705
2,553.54131,1,0.054168678,0.0029175684
3,421.32576,1,0.041230273,0.00063096482
4,354.99615,1,0.034739362,1.3221548e-06
5,119.18346,1,0.011663105,5.5161783e-05
6,88.887396,1,0.0086983801,0.00023807561
7,79.169953,1,0.0077474465,0.00027014299
8,50.457276,1,0.0049376693,8.6352764e-05
9,48.442095,1,0.0047404668,4.5162657e-06
10,19.179272,1,0.0018768532,0.00012654622
11,10.945845,1,0.0010711431,0.001383123
12,6.8282899,1,0.00066820566,0.00029572781
13,2.8389116,1,0.00027781141,4.4408141e-05
14,2.2374977,1,0.00021895799,9.091287e-05
15,1.393315,1,0.00013634761,9.4512796e-05
16,1.0255194,1,0.00010035571,0.00063887725
17,0.88943628,1,8.7038828e-05,0.00017632474
18,0.68120312,1,6.666146e-05,0.00016133556
19,0.46747106,1,4.5745979e-05,0.0016392725
20,0.36117792,1,3.53443e-05,0.003559909
21,0.35846849,1,3.507916e-05,0.00079777043
22,0.29850265,1,2.9210998e-05,0.0023391201
23,0.22841367,1,2.2352201e-05,0.00034293125
24,0.22126771,1,2.1652908e-05,0.00016977188
25,0.16946951,1,1.6584018e-05,0.0021406496
26,0.16128358,1,1.5782956e-05,0.00028820339
27,0.12592618,1,1.2322937e-05,0.00050666086
28,0.12059172,1,1.1800915e-05,0.0016034177
29,0.10975953,1,1.0740894e-05,0.00083720521
30,0.10901906,1,1.0668433e-05,0.0021987386
31,0.085731272,1,8.3895267e-06,0.00012017519
32,0.074194966,1,7.2606021e-06,0.00073746647
33,0.060969229,1,5.9663523e-06,0.00087387061
34,0.054444539,1,5.3278565e-06,0.00013057903
35,0.050385047,1,4.930601e-06,5.3582108e-05
36,0.04281149,1,4.1894647e-06,0.00076194413
37,0.039677627,1,3.8827899e-06,0.00089552488
38,0.037949983,1,3.7137253e-06,0.0035116394
39,0.030992915,1,3.0329177e-06,0.00077876255
40,0.028491365,1,2.7881199e-06,0.0020752538
41,0.025582628,1,2.5034756e-06,0.00097194663
42,0.023772014,1,2.3262917e-06,0.0015718856
43,0.021178101,1,2.0724555e-06,0.001554727
44,0.0198456,1,1.9420591e-06,0.00085310168
45,0.019128898,1,1.8719237e-06,2.1276812e-07
46,0.017728159,1,1.7348496e-06,0.00019431221
47,0.015140977,1,1.481672e-06,0.00030348864
48,0.014049097,1,1.3748225e-06,0.00045004438
49,0.013642769,1,1.3350598e-06,0.00047413754
50,0.012719306,1,1.2446912e-06,4.9849862e-05
51,0.011505276,1,1.1258882e-06,0.00018698675
52,0.011134275,1,1.0895825e-06,2.7252591e-05
53,0.010724079,1,1.0494414e-06,6.4182244e-05
54,0.010112621,1,9.8960513e-07,9.2515133e-05
55,0.0096782484,1,9.4709809e-07,0.00012637023
56,0.0087686964,1,8.5809077e-07,0.00055136152
57,0.0083112517,1,8.1332596e-07,7.0599528e-05
58,0.0079951565,1,7.8239338e-07,0.00019381643
59,0.0071680811,1,7.0145708e-07,7.364501e-05
60,0.0067424296,1,6.598035e-07,1.203532e-05
61,0.0066413959,1,6.4991651e-07,3.7199873e-06
62,0.0064255114,1,6.2879039e-07,4.4443932e-05
63,0.0057113759,1,5.5890622e-07,4.8471507e-05
64,0.0053837615,1,5.2684639e-07,0.0003864761
65,0.0050326809,1,4.924902e-07,0.00024046099
66,0.0046724575,1,4.572393e-07,3.6046953e-05
67,0.0044429658,1,4.3478161e-07,5.0811457e-05
68,0.0041626193,1,4.0734734e-07,1.7311407e-06
69,0.0038643025,1,3.7815454e-07,1.0344484e-05
70,0.0036011683,1,3.5240464e-07,1.4420941e-07
71,0.0034639345,1,3.3897515e-07,1.2854393e-05
72,0.0031835354,1,3.1153574e-07,4.0873569e-05
73,0.0030716957,1,3.0059128e-07,6.5043861e-06
74,0.0028774022,1,2.8157804e-07,0.00011965232
75,0.0026973476,1,2.6395818e-07,0.00020942856
76,0.002438987,1,2.3867541e-07,1.2409268e-06
77,0.0022955582,1,2.2463969e-07,4.9977261e-06
78,0.0021681983,1,2.1217646e-07,4.2505555e-09
79,0.0020827961,1,2.0381914e-07,4.8068516e-06
80,0.0019506379,1,1.9088634e-07,6.9314891e-05
81,0.0018217584,1,1.7827439e-07,0.00020293832
82,0.0017650894,1,1.7272886e-07,0.00012824846
83,0.0016799703,1,1.6439924e-07,0.00014854739
84,0.001653647,1,1.6182329e-07,1.2742183e-06
85,0.0015187293,1,1.4862045e-07,9.6483508e-06
86,0.0014259538,1,1.3954158e-07,2.8198837e-06
87,0.0013817327,1,1.3521418e-07,1.1969622e-06
88,0.0012709376,1,1.2437194e-07,3.6285306e-05
89,0.0012133582,1,1.1873732e-07,2.0099423e-07
90,0.0011748688,1,1.149708e-07,6.7628202e-05
91,0.0011480881,1,1.1235009e-07,9.3584997e-08
92,0.0010628707,1,1.0401085e-07,7.2934082e-09
93,0.0010496849,1,1.0272051e-07,2.9147157e-05
94,0.0010025901,1,9.8111886e-08,4.5436576e-06
95,0.00098388455,1,9.6281387e-08,3.3087927e-05
96,0.00091501053,1,8.9541485e-08,2.9011545e-06
97,0.00089600436,1,8.7681571e-08,1.1884817e-05
98,0.00082406122,1,8.0641329e-08,7.3969618e-05
99,0.00079351296,1,7.7651924e-08,7.0990889e-06
100,0.00076675939,1,7.5033862e-08,8.6470516e-08
101,0.00073630601,1,7.2053742e-08,1.4035457e-11
102,0.00068734712,1,6.7262702e-08,6.6618697e-06
103,0.00068480781,1,6.701421e-08,2.1691596e-05
104,0.00063366802,1,6.2009751e-08,7.0605832e-06
105,0.00062368232,1,6.1032566e-08,4.7202735e-05
106,0.00060736093,1,5.9435381e-08,5.2812051e-06
107,0.00059942397,1,5.8658683e-08,7.4042844e-06
108,0.00057718178,1,5.6482096e-08,6.0980471e-05
109,0.00053311827,1,5.2170111e-08,2.4040097e-07
110,0.00051516814,1,5.041354e-08,6.0512531e-09
111,0.00047940894,1,4.6914201e-08,3.1988602e-06
112,0.00045737156,1,4.4757658e-08,6.3404051e-08
113,0.00044873959,1,4.3912947e-08,1.3164991e-07
114,0.00042893401,1,4.1974804e-08,1.3624235e-06
115,0.00042482477,1,4.1572681e-08,5.5976972e-06
116,0.00040464369,1,3.9597792e-08,3.8484883e-06
117,0.00037740522,1,3.6932278e-08,7.0834284e-06
118,0.00036824634,1,3.6036005e-08,5.1311317e-07
119,0.00034649884,1,3.3907829e-08,5.8634142e-08
120,0.00034372006,1,3.3635902e-08,5.4686416e-07
