r,J_learned,J_learned_std,count,J_exact
1.9629547,1.4393531,0.2247189,205,-1.5424273
2.8703163,1.8245962,0.0642102,205,-1.1452191
3.310641,1.9878833,0.042169389,205,-0.97671341
3.6642348,2.1117595,0.033767128,205,-0.85042438
3.9581918,2.2085151,0.027335701,204,-0.75078904
4.1923487,2.2835322,0.02701736,205,-0.67456678
4.4247494,2.355088,0.025445427,205,-0.60145519
4.642724,2.4219287,0.024737309,205,-0.53502388
4.8276078,2.4746504,0.021981445,204,-0.48020306
5.0130921,2.5278249,0.02220225,205,-0.42653406
5.1973918,2.5786109,0.021487619,205,-0.37446072
5.3656292,2.6226192,0.019587591,205,-0.32796443
5.5309655,2.6672542,0.018552981,205,-0.28319276
5.6871861,2.7078379,0.018182903,204,-0.2416955
5.831136,2.746595,0.018775023,205,-0.20412451
5.9810067,2.7845748,0.020301797,205,-0.16566304
6.1354141,2.8231585,0.019624915,205,-0.1267113
6.2906094,2.8612701,0.019045833,204,-0.088225685
6.4302479,2.8963926,0.022762578,205,-0.054148124
6.578632,2.9301542,0.018483877,205,-0.018488643
6.7343433,2.9685869,0.021282006,205,0.018339538
6.8896725,3.0028694,0.016830776,205,0.054493006
7.0396671,3.040189,0.020934265,204,0.088868902
7.2117674,3.0786626,0.020202665,205,0.12768372
7.3759871,3.1154873,0.020389707,205,0.16411677
7.5305905,3.1487196,0.020069628,205,0.19789457
7.7081363,3.1879927,0.022084495,204,0.23608081
7.8778658,3.2239712,0.020177344,205,0.27200161
8.0564336,3.2619182,0.020979349,205,0.30919681
8.2384671,3.3022015,0.022466894,205,0.34650532
8.4315183,3.3411162,0.019750466,205,0.38542316
8.6506519,3.3868253,0.024847759,204,0.42881835
8.9050008,3.4380793,0.021655796,205,0.47818659
9.151463,3.4866336,0.02405171,205,0.52504034
9.4193037,3.5389136,0.022991752,205,0.57490719
9.7113425,3.5951079,0.026500337,204,0.62808606
10.062616,3.6613208,0.027815398,205,0.69048107
10.570839,3.7565595,0.037162665,205,0.77789578
11.2684,3.8835834,0.047267507,205,0.89278602
12.838503,4.1506579,0.16328972,205,1.1324624
