mode,mu,sr_weight,plain_weight,residual_power
1,7610.0642,1,1,9.7727122e-05
2,1283.5668,1,0.16866702,5.6566705e-07
3,1000.8955,1,0.1315226,3.4574911e-06
4,313.46208,1,0.041190465,2.8783291e-05
5,228.99235,1,0.030090725,4.2127894e-07
6,211.0404,1,0.02773175,6.9997143e-10
7,188.42416,1,0.024759865,2.6438249e-07
8,168.61351,1,0.022156647,4.7804213e-07
9,62.471889,1,0.0082091145,2.6324996e-06
10,47.334887,1,0.0062200378,0.00012912311
11,26.665881,1,0.0035040284,3.8362297e-05
12,24.534008,1,0.0032238897,1.9899509e-06
13,18.400566,1,0.0024179252,5.6151821e-06
14,11.408015,1,0.0014990695,0.00021254392
15,9.2686508,1,0.0012179465,4.7554655e-05
16,7.7621342,1,0.0010199828,5.4284232e-07
17,6.2061397,1,0.00081551738,1.7147484e-05
18,5.5183896,1,0.00072514363,1.0954509e-05
19,3.7989237,1,0.00049919733,2.0420143e-06
20,3.6397206,1,0.00047827726,9.1073085e-05
21,3.4031196,1,0.00044718671,8.9850651e-06
22,3.171737,1,0.0004167819,3.4536628e-05
23,2.0551305,1,0.00027005429,6.7257364e-05
24,1.8646493,1,0.00024502412,2.2218723e-07
25,1.4265939,1,0.00018746148,9.5072338e-09
26,1.1591779,1,0.0001523217,7.3874724e-06
27,1.1351874,1,0.00014916922,1.0354752e-05
28,0.84924545,1,0.00011159504,1.7981254e-05
29,0.82476909,1,0.00010837873,0.00024011271
30,0.79635928,1,0.00010464554,3.1892756e-05
31,0.75525051,1,9.9243645e-05,0.0001114649
32,0.70077658,1,9.2085502e-05,0.0002086345
33,0.5725588,1,7.5237053e-05,1.4758106e-06
34,0.5378044,1,7.0670153e-05,2.2825328e-06
35,0.46855137,1,6.1569963e-05,1.51609e-05
36,0.42489113,1,5.5832792e-05,9.0906537e-07
37,0.38801948,1,5.0987675e-05,1.2002152e-05
38,0.36491121,1,4.7951135e-05,6.1959203e-06
39,0.35068379,1,4.608158e-05,1.0451552e-05
40,0.33850486,1,4.448121e-05,7.4405598e-06
41,0.31301576,1,4.1131815e-05,2.5687715e-05
42,0.28641613,1,3.7636494e-05,3.9136483e-06
43,0.27987457,1,3.6776899e-05,8.8084867e-06
44,0.26597859,1,3.49509e-05,3.1160146e-05
45,0.25455825,1,3.3450211e-05,0.00016374587
46,0.22542574,1,2.9622055e-05,7.1594122e-05
47,0.21591017,1,2.8371662e-05,1.0287446e-05
48,0.21221486,1,2.788608e-05,4.572965e-05
49,0.19358171,1,2.5437592e-05,5.5508811e-05
50,0.18384052,1,2.4157552e-05,2.6819436e-09
51,0.17379167,1,2.2837083e-05,0.00010451212
52,0.16504029,1,2.1687109e-05,0.00013537021
53,0.15917507,1,2.091639e-05,9.6338691e-06
54,0.15040321,1,1.9763724e-05,4.8342056e-07
55,0.14244842,1,1.8718426e-05,2.3690372e-05
56,0.13180305,1,1.7319571e-05,0.00010361636
57,0.12916691,1,1.6973169e-05,0.00011661659
58,0.11881997,1,1.561353e-05,4.6106989e-05
59,0.11153599,1,1.465638e-05,2.1912614e-06
60,0.10631678,1,1.397055e-05,8.1965393e-08
61,0.10248975,1,1.3467659e-05,3.7636526e-05
62,0.10031628,1,1.3182054e-05,0.0003870991
63,0.093831581,1,1.2329933e-05,7.1569481e-06
64,0.088078069,1,1.1573893e-05,2.8738343e-05
65,0.083332747,1,1.0950334e-05,1.5873225e-05
66,0.074384537,1,9.7744953e-06,8.4532165e-05
67,0.066496503,1,8.7379688e-06,3.2975708e-05
68,0.063962502,1,8.4049885e-06,8.5619071e-05
69,0.061624591,1,8.0977755e-06,0.00038342712
70,0.057109549,1,7.5044766e-06,0.00014849326
71,0.055976587,1,7.3555998e-06,6.4412446e-06
72,0.052026748,1,6.8365715e-06,4.4181992e-05
73,0.047778938,1,6.2783882e-06,4.6439283e-05
74,0.047079703,1,6.1865054e-06,4.7835559e-05
75,0.041140788,1,5.4061026e-06,1.694039e-05
76,0.04005275,1,5.263129e-06,4.3785831e-05
77,0.038380229,1,5.0433515e-06,5.4604674e-06
78,0.036952531,1,4.8557449e-06,2.211511e-05
79,0.034955829,1,4.5933685e-06,1.2315676e-05
80,0.032226689,1,4.234746e-06,7.0667104e-07
81,0.030502857,1,4.008226e-06,0.00013403986
82,0.02846151,1,3.739983e-06,6.7103528e-05
83,0.027794413,1,3.652323e-06,4.7190038e-07
84,0.024638917,1,3.2376753e-06,3.0185943e-05
85,0.023987902,1,3.1521288e-06,4.8334495e-06
86,0.022674688,1,2.9795659e-06,4.5933616e-05
87,0.021445309,1,2.8180194e-06,3.0494465e-06
88,0.02085817,1,2.7408665e-06,1.8755812e-05
89,0.020653797,1,2.7140108e-06,9.5146901e-06
90,0.019750626,1,2.5953298e-06,0.00014752374
91,0.019344197,1,2.5419229e-06,1.311333e-05
92,0.018719812,1,2.4598757e-06,1.1251346e-05
93,0.017585669,1,2.3108436e-06,1.5544783e-05
94,0.016889478,1,2.2193608e-06,1.9299239e-05
95,0.016244949,1,2.1346665e-06,7.885912e-06
96,0.015297873,1,2.0102161e-06,3.4998014e-05
97,0.015082986,1,1.9819787e-06,2.4090159e-05
98,0.014791836,1,1.9437202e-06,1.339295e-05
99,0.014378876,1,1.8894553e-06,7.073421e-06
100,0.013786505,1,1.8116148e-06,4.5693383e-06
101,0.013070781,1,1.7175651e-06,1.8634553e-07
102,0.012808921,1,1.6831555e-06,6.6447168e-05
103,0.012515743,1,1.6446305e-06,1.0294661e-05
104,0.011755926,1,1.5447867e-06,3.5618623e-06
105,0.011503983,1,1.5116802e-06,2.1713939e-05
106,0.011262651,1,1.4799679e-06,9.6394385e-06
107,0.01064425,1,1.398707e-06,7.3302874e-05
108,0.010630963,1,1.3969611e-06,5.9160044e-05
109,0.010101,1,1.3273212e-06,7.4606807e-05
110,0.0096644819,1,1.2699606e-06,3.2164758e-07
111,0.0095490593,1,1.2547935e-06,2.2423416e-05
112,0.0092597266,1,1.2167738e-06,3.6721873e-06
113,0.0088902321,1,1.1682204e-06,2.7651391e-05
114,0.0087464512,1,1.1493269e-06,1.2773636e-05
115,0.0084833105,1,1.1147489e-06,3.9402548e-06
116,0.0084071372,1,1.1047393e-06,2.9009984e-05
117,0.0080678907,1,1.0601607e-06,0.00012030294
118,0.0079675543,1,1.046976e-06,8.0162268e-06
119,0.0078856118,1,1.0362083e-06,1.9160707e-05
120,0.0075461573,1,9.9160232e-07,1.048811e-05
121,0.0070904353,1,9.3171819e-07,2.7904701e-05
122,0.0069844879,1,9.1779618e-07,0.00022151096
123,0.0067366036,1,8.8522296e-07,3.2814025e-06
124,0.0065908918,1,8.6607571e-07,3.1341577e-05
