index,eigenvalue
1,4.9870179
2,4.0129199
3,3.7344296
4,1.5160863
5,1.4301854
6,0.23614592
7,0.076956972
8,0.030975031
9,0.017788988
10,0.0131161
11,0.010825608
12,0.0081780397
13,0.0078018447
14,0.0020141044
15,0.0015480926
16,0.0014795475
17,0.0011251587
18,0.00081779834
19,0.00061478441
20,0.00054092255
21,0.00053212038
22,0.00046402683
23,0.00038930635
24,0.00036192953
25,0.00027380213
26,0.00026861769
27,0.0002071008
28,0.0001465877
29,0.00012123241
30,0.00011141464
31,9.3272502e-05
32,7.642228e-05
33,7.1650971e-05
34,6.4449357e-05
35,5.7920792e-05
36,4.6679212e-05
37,4.5259343e-05
38,4.2719528e-05
39,3.8312039e-05
40,3.7157463e-05
41,3.2509241e-05
42,2.9526966e-05
43,2.8399191e-05
44,2.4572486e-05
45,2.4037631e-05
46,2.2113919e-05
47,1.887884e-05
48,1.7212387e-05
49,1.4836969e-05
50,1.3378903e-05
51,1.2654694e-05
52,1.1645363e-05
53,1.0140357e-05
54,9.5440226e-06
55,8.8803076e-06
56,7.9620203e-06
57,7.0397759e-06
58,6.8445614e-06
59,6.072028e-06
60,5.9045755e-06
61,5.4765407e-06
62,5.2344515e-06
63,4.9827118e-06
64,4.3636855e-06
65,4.2306386e-06
66,3.7542737e-06
67,3.4433515e-06
68,3.3957616e-06
69,3.0175475e-06
70,2.9113171e-06
71,2.781091e-06
72,2.6572649e-06
73,2.2924755e-06
74,2.2264538e-06
75,2.0896365e-06
76,2.0273251e-06
77,1.941882e-06
78,1.7226285e-06
79,1.656901e-06
80,1.5689253e-06
81,1.4815227e-06
82,1.4595055e-06
83,1.3507724e-06
84,1.3249014e-06
85,1.309841e-06
86,1.0976739e-06
87,9.9619937e-07
88,9.6882852e-07
89,9.1840707e-07
90,8.9866597e-07
91,8.0522569e-07
92,7.7358682e-07
93,6.9711649e-07
94,6.9408859e-07
95,6.9046097e-07
96,5.9438661e-07
97,5.7086649e-07
98,5.6604398e-07
99,5.4987577e-07
100,5.3904122e-07
101,4.9807319e-07
102,4.7270408e-07
103,4.5650435e-07
104,4.0526933e-07
105,4.0252616e-07
106,3.8375079e-07
107,3.6509112e-07
108,3.5285108e-07
109,3.4629382e-07
110,3.2553943e-07
111,3.092167e-07
112,2.8916639e-07
113,2.7853298e-07
114,2.713436e-07
115,2.6251491e-07
116,2.5745506e-07
117,2.4328665e-07
118,2.3724771e-07
119,2.2179417e-07
120,2.1700077e-07
121,2.0268338e-07
122,1.9806592e-07
123,1.8952541e-07
124,1.7671377e-07
125,1.6851609e-07
126,1.5889581e-07
127,1.5821401e-07
128,1.3861179e-07
129,1.3370883e-07
130,1.3058694e-07
131,1.2921073e-07
132,1.2310197e-07
133,1.1916387e-07
134,1.0746988e-07
135,1.0389582e-07
136,1.0046441e-07
137,9.8664186e-08
138,8.8977132e-08
139,8.8678872e-08
140,8.492463e-08
141,8.1122576e-08
142,7.7379462e-08
143,7.469413e-08
144,7.1264529e-08
145,7.0279585e-08
146,6.910747e-08
147,6.5419291e-08
148,6.4313493e-08
149,6.1690164e-08
150,5.867461e-08
151,5.7624354e-08
152,5.3962553e-08
153,5.2244567e-08
154,5.1033863e-08
155,4.9998662e-08
156,4.8772807e-08
157,4.5249313e-08
158,4.4847866e-08
159,4.3143725e-08
160,4.0061115e-08
161,3.8623984e-08
162,3.7511183e-08
163,3.7078828e-08
164,3.6486302e-08
165,3.5128448e-08
166,3.3124607e-08
167,3.1693358e-08
168,3.1141934e-08
169,2.9474675e-08
170,2.9018332e-08
171,2.780969e-08
172,2.7208083e-08
173,2.5367723e-08
174,2.4995014e-08
175,2.3066846e-08
176,2.1601126e-08
177,2.1316019e-08
178,2.0997363e-08
179,2.0611645e-08
180,2.0422395e-08
181,1.9419274e-08
182,1.8806872e-08
183,1.7536657e-08
184,1.704032e-08
185,1.623549e-08
186,1.5417256e-08
187,1.5025274e-08
188,1.4792134e-08
189,1.3992e-08
190,1.3891804e-08
191,1.3411223e-08
192,1.2707975e-08
193,1.2386256e-08
194,1.2120069e-08
195,1.1784716e-08
196,1.1494165e-08
197,1.0651703e-08
198,1.0460499e-08
199,1.0100747e-08
200,9.791947e-09
201,9.4045086e-09
202,9.071676e-09
203,8.9415822e-09
204,8.7729561e-09
205,8.2734147e-09
206,8.0090654e-09
207,7.9458953e-09
208,7.7698431e-09
209,7.6069978e-09
210,7.4038404e-09
211,7.0919731e-09
212,6.7753037e-09
213,6.5890281e-09
214,6.4085566e-09
215,6.3330995e-09
216,5.9919108e-09
217,5.9061989e-09
218,5.6802192e-09
219,5.6492244e-09
220,5.4839332e-09
221,5.2866715e-09
222,5.1981443e-09
223,5.0041816e-09
224,4.7755405e-09
225,4.690445e-09
226,4.5142742e-09
227,4.4468935e-09
228,4.4058425e-09
229,4.164253e-09
230,4.0065732e-09
231,3.9697996e-09
232,3.9155298e-09
233,3.6937592e-09
234,3.5397657e-09
235,3.4845496e-09
236,3.4112183e-09
237,3.311687e-09
238,3.2417171e-09
239,3.2128562e-09
240,3.0944967e-09
241,2.9953424e-09
242,2.9224202e-09
243,2.8762751e-09
244,2.8578429e-09
245,2.7877208e-09
246,2.6165775e-09
247,2.5524204e-09
248,2.4932271e-09
249,2.4211946e-09
250,2.3825749e-09
251,2.2181146e-09
252,2.1864442e-09
253,2.0852763e-09
254,2.0262499e-09
255,2.0162429e-09
256,1.9455095e-09
257,1.9292901e-09
258,1.885875e-09
259,1.85477e-09
260,1.7385745e-09
261,1.7058145e-09
262,1.6881393e-09
263,1.5902664e-09
264,1.5645988e-09
265,1.5361626e-09
266,1.512898e-09
267,1.4640121e-09
268,1.4129092e-09
269,1.3585726e-09
270,1.3505106e-09
271,1.2799919e-09
